OBJECTID,COUNTY,COUNTY_ID,DESIGNATIO,DESCRIPTIO,HWY_NAME,BILL,DEDICATED,EFFECTIVE_,District,Local_Name,BILL_URL,CreationDa,Creator,EditDate,Editor,MemId,Shape_Leng,LOCAL_RES,GlobalID,Shape__Length
1,Lake,11,Staff Sergeant Michael A. Bock Memorial Highway,"That portion of S.R. 44/South Street between C.R. 44/Main Street and U.S. 27/S.R. 25/14th Street in Lake County is designated as ""Staff Sergeant Michael A. Bock Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,5,South Street, ,, ,, ,1,3682.26627279,1,f41a17ea-c05f-4fad-9eb7-b86a5b6705dc,4205.75517854103
2,Lake,11,Sergeant Jess Thomas Memorial Highway,"That portion of S.R. 50 between the Sumter County line and Lee Road in Lake County is designated as ""Sergeant Jess Thomas Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,5,, ,, ,, ,2,2828.56538745,1,4340ac12-3925-4339-9cf7-cbae3ddb8b8b,3219.98284818725
4,Duval,72,Jim Tullis Memorial Boulevard,"That portion of S.R. 109/University Boulevard between Clifton Avenue and Fort Caroline Road in Duval County is designated as ""Jim Tullis Memorial Boulevard.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,2,University Boulevard, ,, ,, ,4,4984.61142349,1,21ac93eb-f0cb-4e3a-94f8-cf6fa8b2c58f,5798.43637708488
5,Bay,46,Allan Bense Highway,"That portion of U.S. 231/S.R. 75 between the Jackson County line and U.S. 98B/S.R. 30 in Bay County is designated as ""Allan Bense Highway.""",US-231,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,3,, ,, ,, ,5,54254.145354,0,36b91bbb-7988-4aa0-99f4-3a49add5dbb8,62910.6833575022
6,Brevard,70,"Dr. Martin Luther King Jr., Memorial Highway","That portion of S.R. 519/Fiske Boulevard located within the corporate limits of the City of Cocoa in Brevard County is designated as ""Dr. Martin Luther King Jr., Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,5,Fiske Boulevard, ,, ,, ,6,2696.71081504,0,662589b0-786d-45cb-ad2f-408d70ed2096,3079.42645471574
7,Broward,86,Dr. Von Mizell Drive,"That portion of S.R. A1A/Ocean Drive between S.R. 822/Sheridan Street and Cambridge Street in Broward County is designated as ""Dr. Von Mizell Drive.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,4,Ocean Drive, ,, ,, ,7,2061.04020611,0,11c28ca5-5a48-4909-abb9-6bf343bffc79,2305.61883148998
8,Broward,86,Robert L. Clark Memorial Highway,"That portion of U.S. 1/S.R. 5/N.E. 6th Avenue between Ponce de Leon Drive and S.R. 84/S.E. 24th Street in Broward County is designated as ""Robert L. Clark Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,4,N.E. 6th Avenue, ,, ,, ,8,1892.61387448,0,26feb5fd-618a-4378-98af-38a6e63f6555,2118.27353676697
9,Citrus,2,Sheriff Charles Simeon Dean Highway,"That portion of S.R. 44 between the Sumter County line and U.S. 41/S.R. 44/S.R. 45 in Citrus County is designated as ""Sheriff Charles Simeon Dean Highway.""",SR-44,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,7,, ,, ,, ,9,10787.3190257,0,17d10efe-cf4a-4d59-8574-0b1118b66b84,12314.9213683023
10,Gadsden,50,James Harold Thompson Highway,"That portion of U.S. 90/S.R. 10 between Gretna and Chattahoochee in Gadsden County is designated as ""James Harold Thompson Highway.""",US-90,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,3,, ,, ,, ,10,16490.9630427,0,e7faf215-4079-4a01-b491-ab59d7de5f7b,19170.1246920045
11,Gulf,51,Gulf County Veterans Memorial Highway,"That portion of S.R. 71 between Knowles Avenue and the Calhoun County line in Gulf County is designated as ""Gulf County Veterans Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,3,, ,, ,, ,11,47876.1625394,0,76fa6b39-a214-4ba8-8895-2be7ced38957,55372.1306605409
