name,wikipedia_url,Does_Sam_Think_is_real,match_confidence,original_designation,OBJECTID,status,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Allan Bense,https://en.wikipedia.org/wiki/Allan_Bense,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Allan Bense was an American businessman and politician born on October 25, 1947. He served as the Speaker of the Florida House of Representatives from 2004 to 2006, marking a significant period in Florida's political history. Bense was also a prominent real estate developer in Panama City, Florida, contributing to the region's economic growth. He passed away on July 10, 2014, leaving behind a legacy in both business and state governance.",,1947-10-25,2014-07-10,not found,"Panama City, Florida, United States",male,no,yes,no,no
Carmelau Monestime,https://en.wikipedia.org/wiki/Carmelau_Monestime,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Carmelau Monestime was a notable figure whose specific birth and death dates are not documented in the provided content. He is recognized for his contributions, though the exact nature of his achievements remains unclear from the available information. His profession and historical significance are not detailed in the given data. Further research would be required to fully understand his life and impact.",,,,not found,not found,not found,no,no,no,no
Senator Paul B. Steinberg,https://en.wikipedia.org/wiki/Paul_B._Steinberg,yes,75,,,Found,TRUE,seq=16.2; human:+40; fl:+10; us:+5,"Paul B. Steinberg was an American attorney and politician known for his service in the New Jersey General Assembly. Born in 1924, he served in the U.S. Army during World War II before pursuing a legal and political career. Steinberg practiced law in New Jersey and was actively involved in state-level politics during the mid-20th century. His contributions included legislative work and advocacy, though specific dates of his death are not widely documented in the provided content.",,1924-01-01,,not found,not found,male,no,yes,yes,no
Larcenia Bullard,https://en.wikipedia.org/wiki/Larcenia_Bullard,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Larcenia Bullard was a Florida politician who served in the Florida House of Representatives from 2000 to 2008. Born in 1947, she became the first African-American woman to represent Miami-Dade County in the state legislature. Bullard was known for her advocacy on education, healthcare, and social justice issues during her tenure. Her political career marked significant progress for minority representation in Florida government.",,1947-01-01,,not found,not found,female,no,yes,no,no
C. Bette Wimbish,https://en.wikipedia.org/wiki/C._Bette_Wimbish,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"C. Bette Wimbish was an American civil rights activist and attorney born in 1924. She became the first African American woman to graduate from the University of Florida Levin College of Law in 1965, breaking racial barriers in higher education. Wimbish was actively involved in political activism, advocating for desegregation and equal rights during the Civil Rights Movement. She passed away in 2019, leaving a legacy as a trailblazer in law and social justice.","[""Florida A&M University, Bachelor's degree"", 'University of Florida Levin College of Law, Juris Doctor (1965)']",1924-01-01,2019-01-01,not found,not found,female,no,yes,no,no
Albert W. Gilchrist,https://en.wikipedia.org/wiki/Albert_W._Gilchrist,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Albert Wallach Gilchrist was born on January 15, 1858, in Charleston, South Carolina, and became a prominent American politician. He served as the 20th Governor of Florida from 1909 to 1913, advocating for progressive reforms including education and infrastructure development. Gilchrist was also involved in the Confederate military during his youth and later practiced law before entering politics. He died on May 15, 1926, leaving behind a mixed legacy that includes both achievements and controversies related to racial policies of his era.","['University of Virginia (studied law)', 'Admitted to the Florida Bar, 1883']",1858-01-15,1926-05-15,"Charleston, South Carolina, United States","Gainesville, Florida, United States",male,no,yes,yes,no
Claude Pepper,https://en.wikipedia.org/wiki/Claude_Pepper,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Claude Pepper was an American politician born on September 8, 1900, who served as a U.S. Senator and later as a Representative from Florida. Known for his progressive views, he championed social welfare programs like Social Security and Medicare, leaving a lasting impact on American policy. Pepper was a prominent figure in Florida politics, holding roles in state government before his federal career. He passed away on May 30, 1989, after a decades-long career dedicated to public service and advocacy for the elderly.","['University of Alabama, Bachelor of Arts', 'Harvard Law School, Bachelor of Laws']",1900-09-08,1989-05-30,"Dudleyville, Alabama, United States","Washington, D.C., United States",male,no,yes,no,no
Billy Bowlegs III,https://en.wikipedia.org/wiki/Billy_Bowlegs_III,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Billy Bowlegs III (1939–2019) was a prominent leader of the Seminole Tribe of Florida, serving as its chairman for over three decades. Born into a family with deep Seminole heritage, he played a pivotal role in advocating for tribal sovereignty and economic development, including the establishment of successful gaming enterprises. His leadership helped transform the tribe's financial stability and cultural preservation efforts during the late 20th and early 21st centuries. Bowlegs is remembered as a key figure in modern Seminole history and a champion of Native American rights.",,1939-01-01,2019-01-01,"Florida, United States",not found,male,no,yes,no,no
Bill Pearce,https://en.wikipedia.org/wiki/Bill_Pearce_%28politician%29,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Bill Pearce was an American politician known for his contributions in local government. Born in 1934, he served as a member of the Utah State Senate, representing District 21 from 1993 to 2000. Pearce was affiliated with the Republican Party and played a role in shaping state policies during his tenure. His political career marked him as a notable figure in Utah's legislative history.",,1934-01-01,,not found,not found,male,no,yes,no,no
Don Sutton,https://en.wikipedia.org/wiki/Don_Sutton,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Donald Howard Sutton was an American professional baseball pitcher born on April 2, 1945, who played 23 seasons in Major League Baseball (MLB), primarily for the Los Angeles Dodgers. Known for his durability and consistency, he won 324 games, earned five All-Star selections, and was inducted into the Baseball Hall of Fame in 1998. After retiring as a player, Sutton became a respected broadcaster, working for teams like the Atlanta Braves and Washington Nationals. He passed away on January 19, 2021, leaving a legacy as one of the most accomplished pitchers in MLB history.","['J.C. Wharton High School', 'Gulf Coast Community College']",1945-04-02,2021-01-19,"Clio, Alabama, United States","Rancho Mirage, California, United States",male,yes,no,no,no
