name,original_designation,county,wikipedia_url,status,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Michael A. Bock,Staff Sergeant Michael A. Bock Memorial Highway,Lake,Not Found,Not Found,,,,,,,,,,,
Jess Thomas,Sergeant Jess Thomas Memorial Highway,Lake,https://en.wikipedia.org/wiki/Jess_Thomas,Found,,,,,,,,,,,
Ronald Gaffney,Specialist Ronald Gaffney Memorial Highway,Lake,https://en.wikipedia.org/wiki/Frank_Gaffney,Found,,,,,,,,,,,
Jim Tullis,Jim Tullis Memorial Boulevard,Duval,https://en.wikipedia.org/wiki/Jim_Tullis,Found,,,,,,,,,,,
Allan Bense,Allan Bense Highway,Bay,https://en.wikipedia.org/wiki/Allan_Bense,Found,,,,,,,,,,,
Martin Luther King Jr,"Dr. Martin Luther King Jr., Memorial Highway",Brevard,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr,Found,,,,,,,,,,,
Von Mizell,Dr. Von Mizell Drive,Broward,https://en.wikipedia.org/wiki/Von_Mizell,Found,,,,,,,,,,,
Robert L. Clark,Robert L. Clark Memorial Highway,Broward,https://en.wikipedia.org/wiki/Robert_L._Clark,Found,,,,,,,,,,,
Charles Simeon Dean,Sheriff Charles Simeon Dean Highway,Citrus,Not Found,Not Found,,,,,,,,,,,
James Harold Thompson,James Harold Thompson Highway,Gadsden,https://en.wikipedia.org/wiki/James_Harold_Thompson,Found,,,,,,,,,,,
