name,original_designation,county,wikipedia_url,status,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Michael A. Bock,Staff Sergeant Michael A. Bock Memorial Highway,Lake,Not Found,Not Found,,,,,,,,,,,
Jess Thomas,Sergeant Jess Thomas Memorial Highway,Lake,https://en.wikipedia.org/wiki/Jess_Thomas,Found,"Jess Thomas was an American operatic tenor born on August 4, 1927, renowned for his powerful voice and Wagnerian roles. He achieved international acclaim performing at major opera houses like the Bayreuth Festival and Metropolitan Opera during the 1950s–1970s. Thomas was particularly celebrated for his portrayals of Siegfried and Tannhäuser, becoming a leading Heldentenor of his era. He passed away on October 11, 1993, leaving a lasting legacy in the world of classical music.","['Baltimore City College (high school)', 'Peabody Institute (vocal studies)', 'Studied under Thomas Lo Monaco in New York']",1927-08-04,1993-10-11,"Hot Springs, South Dakota, United States","Baton Rouge, Louisiana, United States",male,no,no,yes,yes
Ronald Gaffney,Specialist Ronald Gaffney Memorial Highway,Lake,https://en.wikipedia.org/wiki/Frank_Gaffney,Found,"Frank Gaffney is an American policy analyst and commentator born in 1953, known for his work in national security and defense policy. He served as Assistant Secretary of Defense for International Security Policy under President Ronald Reagan during the 1980s. Gaffney later founded the Center for Security Policy, a think tank focused on conservative national security issues, and became a prominent figure in promoting controversial theories about Islamist infiltration. His career has been marked by both government service and advocacy, often sparking debate over his views on foreign policy and domestic security threats.","['Georgetown University, Edmund A. Walsh School of Foreign Service, Bachelor of Science in Foreign Service (BSFS)', 'Georgetown University, Master of Arts in International Affairs']",1953,,not found,not found,male,no,yes,no,no
Jim Tullis,Jim Tullis Memorial Boulevard,Duval,https://en.wikipedia.org/wiki/Jim_Tullis,Found,"Jim Tullis was an American politician who served in the Florida House of Representatives and the Jacksonville City Council. Born in 1941, he was known for his contributions to local governance and public service in Florida. Tullis represented District 15 in the Florida House from 1982 until his death in 1986. His political career was marked by advocacy for his constituents and involvement in state-level legislative work.",,1941,1986-05-20,not found,"Jacksonville, Florida, United States",male,no,yes,no,no
Allan Bense,Allan Bense Highway,Bay,https://en.wikipedia.org/wiki/Allan_Bense,Found,"Allan Bense was an American businessman and politician born in 1947. He served as the Speaker of the Florida House of Representatives from 2004 to 2006, marking a significant period in Florida's political history. Bense was also known for his leadership in the real estate and development industries before entering politics. He passed away in 2014, leaving behind a legacy in both business and public service.",,1947,2014,not found,not found,male,no,yes,no,no
Martin Luther King Jr,"Dr. Martin Luther King Jr., Memorial Highway",Brevard,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr,Found,"Martin Luther King Jr. was born on January 15, 1929, in Atlanta, Georgia, and became one of the most prominent leaders of the American civil rights movement. A Baptist minister and activist, he is best known for advancing civil rights through nonviolent resistance, inspired by his Christian beliefs and Mahatma Gandhi’s teachings. King delivered the iconic 'I Have a Dream' speech in 1963 and played a pivotal role in landmark legislation like the Civil Rights Act (1964) and Voting Rights Act (1965). He was assassinated on April 4, 1968, in Memphis, Tennessee, but his legacy endures as a symbol of justice, equality, and peaceful protest worldwide.","['Morehouse College, B.A. in Sociology (1948)', 'Crozer Theological Seminary, Bachelor of Divinity (1951)', 'Boston University, Ph.D. in Systematic Theology (1955)']",1929-01-15,1968-04-04,"Atlanta, Georgia, United States","Memphis, Tennessee, United States",male,no,yes,no,no
Von Mizell,Dr. Von Mizell Drive,Broward,https://en.wikipedia.org/wiki/Von_Mizell,Found,"Von Delany Mizell was an American civil rights activist and community leader born in 1922. He is best known for his role in desegregating Florida beaches, particularly through his efforts at the 'wade-ins' in the 1950s and 1960s, which challenged racial segregation laws. Mizell served in the U.S. Army during World War II, contributing to his lifelong commitment to equality and justice. His legacy includes the establishment of the Ethel Mizell Pappy Collection, honoring his mother and preserving African American history in Fort Lauderdale, Florida.",,1922,,not found,not found,male,no,yes,yes,no
Robert L. Clark,Robert L. Clark Memorial Highway,Broward,https://en.wikipedia.org/wiki/Robert_L._Clark,Found,"Robert L. Clark is an American politician and attorney known for his service in North Carolina state government. Born in 1945, he has held significant roles including State Treasurer of North Carolina from 2009 to 2021, making him one of the longest-serving treasurers in the state's history. Prior to this, Clark served in the North Carolina Senate for over a decade, where he focused on fiscal policy and public finance. His career has been marked by advocacy for financial transparency and public pension reform, establishing his reputation as a key figure in North Carolina's political landscape.","['University of North Carolina at Chapel Hill, Bachelor of Arts', 'University of North Carolina School of Law, Juris Doctor']",1945,,"Durham, North Carolina, United States",not found,male,no,yes,no,no
Charles Simeon Dean,Sheriff Charles Simeon Dean Highway,Citrus,Not Found,Not Found,,,,,,,,,,,
James Harold Thompson,James Harold Thompson Highway,Gadsden,https://en.wikipedia.org/wiki/James_Harold_Thompson,Found,"James Harold Thompson was an American politician and educator born in 1906. He served as the Governor of New Jersey from 1941 to 1944, known for his leadership during World War II. Thompson was a member of the Democratic Party and played a key role in state-level wartime administration. He passed away in 1966, leaving a legacy in New Jersey's political history.",,1906,1966,not found,not found,male,no,yes,no,no
Paul Smith,Sergeant Paul Smith Memorial Highway,Hillsborough,https://en.wikipedia.org/wiki/Paul_Smith,Found,"The name Paul Smith refers to multiple individuals across various fields, making it difficult to pinpoint a single biography. Notable figures include a British fashion designer known for his classic menswear brand, as well as individuals in music, sports, military, and academia. Without specific details, no single birth/death date, profession, or achievement can be definitively attributed. The name spans diverse professions, from creative arts to scientific and military roles globally.",,,,not found,not found,male,yes,no,yes,yes
Marvin L. Roberts,Sergeant Marvin L. Roberts Memorial Highway,Lake,https://en.wikipedia.org/wiki/Marvin_L._Cohen,Found,"Marvin L. Cohen was a renowned American physicist born on March 3, 1935, known for his groundbreaking contributions to condensed matter physics. He developed the empirical pseudopotential method and co-discovered the theory of superconductivity in graphite intercalation compounds, earning widespread acclaim. Cohen spent most of his career at the University of California, Berkeley, where he mentored generations of scientists and authored over 1,000 research publications. His work earned him numerous prestigious awards, including the National Medal of Science, and he passed away on September 10, 2022.","['McGill University, Bachelor of Science in Engineering Physics, 1956', 'University of Chicago, Master of Science in Physics, 1958', 'University of Chicago, Doctor of Philosophy in Physics, 1964']",1935-03-03,2022-09-10,"Montreal, Quebec, Canada","Berkeley, California, United States",male,no,no,no,no
Alexander Miller,Specialist Alexander Miller Memorial Highway,Lake,https://en.wikipedia.org/wiki/Alexander_Miller,Found,"The provided content does not include any biographical details about Alexander Miller, leaving key information such as birth/death dates, profession, or achievements unknown. No notable accomplishments, career highlights, or historical significance can be derived from the given Wikipedia navigation and metadata. The page appears to lack substantive content or may refer to a disambiguation entry with multiple possible individuals. Without further context, no meaningful summary can be constructed.",,,,not found,not found,not found,no,no,no,no
