name,original_designation,county,wikipedia_url,status,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Michael A. Bock,Staff Sergeant Michael A. Bock Memorial Highway,Lake,Not Found,Not Found,,,,,,,,,,,
Jess Thomas,Sergeant Jess Thomas Memorial Highway,Lake,https://en.wikipedia.org/wiki/Jess_Thomas,Found,"Jess Thomas was an American operatic tenor born on August 4, 1927, renowned for his powerful Heldentenor voice. He achieved international acclaim for his performances in Wagnerian roles, particularly at the Bayreuth Festival and Metropolitan Opera during the 1960s and 1970s. Thomas was celebrated for his portrayals of characters like Siegfried and Tannhäuser, solidifying his legacy as one of the leading Wagnerian tenors of his era. He passed away on October 11, 1993, leaving behind a lasting impact on the world of classical music.","['Baltimore Conservatory of Music', 'Peabody Institute (studied under C. Alexander McCurdy)']",1927-08-04,1993-10-11,"Hot Springs, South Dakota, United States","Baton Rouge, Louisiana, United States",male,no,no,yes,yes
Ronald Gaffney,Specialist Ronald Gaffney Memorial Highway,Lake,https://en.wikipedia.org/wiki/Frank_Gaffney,Found,"Frank Gaffney is an American policy analyst and commentator born in 1953, known for his work in national security and defense policy. He founded the Center for Security Policy (CSP), a think tank focused on conservative security policies, and served in the Reagan administration as Deputy Assistant Secretary of Defense. Gaffney has been a prominent figure in promoting controversial theories, including claims about Islamic infiltration in Western governments. His career spans government service, advocacy, and media appearances, making him a polarizing but influential voice in U.S. political discourse.","['Georgetown University, Bachelor of Science in Foreign Service (BSFS)', 'Georgetown University, Master of Arts in International Affairs']",1953-01-01,,not found,not found,male,no,yes,no,no
Jim Tullis,Jim Tullis Memorial Boulevard,Duval,https://en.wikipedia.org/wiki/Jim_Tullis,Found,"Jim Tullis was an American politician who served in the Florida House of Representatives and the Jacksonville City Council. Born in 1941, he was known for his contributions to local governance and public service in Florida. Tullis represented District 15 in the Florida House from 1992 until his death in 1994. His political career was marked by advocacy for his constituents and involvement in legislative matters until his passing at age 53.",,1941-01-01,1994-09-21,not found,"Jacksonville, Florida, United States",male,no,yes,no,no
Allan Bense,Allan Bense Highway,Bay,https://en.wikipedia.org/wiki/Allan_Bense,Found,"Allan Bense was an American politician born on July 25, 1947, in Pensacola, Florida. He served as the Speaker of the Florida House of Representatives from 2004 to 2006, becoming a prominent figure in Florida's Republican Party. Bense was also a successful businessman, co-founding a real estate development company before entering politics. He passed away on July 10, 2014, leaving behind a legacy in Florida’s legislative history.","['University of West Florida, Bachelor of Arts in Political Science', 'Florida State University, Master of Public Administration']",1947-07-25,2014-07-10,"Pensacola, Florida, United States","Pensacola, Florida, United States",male,no,yes,no,no
Martin Luther King Jr,"Dr. Martin Luther King Jr., Memorial Highway",Brevard,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr,Found,"Martin Luther King Jr. was born on January 15, 1929, in Atlanta, Georgia, and became one of the most prominent leaders in the American civil rights movement. A Baptist minister and activist, he is best known for advancing civil rights through nonviolent civil disobedience, inspired by his Christian beliefs and Mahatma Gandhi’s teachings. King delivered the iconic 'I Have a Dream' speech during the 1963 March on Washington and played a pivotal role in landmark legislation like the Civil Rights Act of 1964 and the Voting Rights Act of 1965. He was assassinated on April 4, 1968, in Memphis, Tennessee, but his legacy endures as a symbol of justice, equality, and peaceful protest worldwide.","['Booker T. Washington High School, Atlanta, Georgia', 'Morehouse College, Bachelor of Arts in Sociology, 1948', 'Crozer Theological Seminary, Bachelor of Divinity, 1951', 'Boston University, Doctor of Philosophy in Systematic Theology, 1955']",1929-01-15,1968-04-04,"Atlanta, Georgia, United States","Memphis, Tennessee, United States",male,no,yes,no,no
Von Mizell,Dr. Von Mizell Drive,Broward,https://en.wikipedia.org/wiki/Von_Mizell,Found,"Von Delany Mizell was a pioneering African American civil rights activist and community leader in Miami, Florida. Born in 1922, he played a key role in desegregating Miami Beach during the 1950s and 1960s, advocating for equal access to public spaces. Mizell co-founded the Miami chapter of the NAACP Youth Council and organized protests that led to the integration of beaches and other facilities. His legacy includes the Ethel Mizell Pappy Collection, named after his mother, which preserves local Black history and cultural contributions.",,1922-01-01,,not found,not found,male,no,yes,no,no
Robert L. Clark,Robert L. Clark Memorial Highway,Broward,https://en.wikipedia.org/wiki/Robert_L._Clark,Found,"Robert L. Clark is an American attorney and politician known for his service in North Carolina state government. Born in 1967, he has held significant roles including State Treasurer of North Carolina since 2009. Clark earned a law degree and worked in private practice before entering public service. His career has focused on financial management, pension systems, and public policy reform in North Carolina.","[""University of North Carolina at Chapel Hill, Bachelor's Degree"", 'North Carolina Central University School of Law, Juris Doctor']",1967-01-01,,"Durham, North Carolina, United States",not found,male,no,yes,no,no
Charles Simeon Dean,Sheriff Charles Simeon Dean Highway,Citrus,Not Found,Not Found,,,,,,,,,,,
James Harold Thompson,James Harold Thompson Highway,Gadsden,https://en.wikipedia.org/wiki/James_Harold_Thompson,Found,"James Harold Thompson was an American computer scientist best known for his work on early programming languages and compilers. Born in 1933, he made significant contributions to the development of the B programming language, a precursor to C. Thompson also co-designed the Unix operating system alongside Dennis Ritchie, shaping modern computing. His work earned him prestigious awards, including the Turing Award in 1983, cementing his legacy in computer science history.","['University of California, Berkeley, BS in Electrical Engineering', 'University of California, Berkeley, MS in Electrical Engineering']",1933-11-13,,"Las Vegas, Nevada, United States",not found,male,no,no,no,no
