name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Michael A. Bock,Staff Sergeant Michael A. Bock Memorial Highway,Lake,https://en.wikipedia.org/wiki/Fedor_von_Bock,Found,10.7,true,seq=9.7; mil:+15; fl-miss:-10; county-miss:-8,"Fedor von Bock was a German field marshal born on December 3, 1880, who served prominently in both World War I and World War II. He commanded key military operations, including the invasions of Poland and the Soviet Union, earning a reputation as a skilled but controversial strategist. Bock was known for his strict discipline and loyalty to the German military establishment, though he later clashed with Adolf Hitler over strategic decisions. He died on May 4, 1945, under unclear circumstances while traveling to meet British forces at the end of World War II.","['Prussian Military Academy (Preußische Hauptkadettenanstalt)', 'German War College (Preußische Kriegsakademie)']",1880-12-03,1945-05-04,"Küstrin, Brandenburg, German Empire","near Oldenburg, Lower Saxony, Nazi Germany",male,no,no,yes,no
Jess Thomas,Sergeant Jess Thomas Memorial Highway,Lake,https://en.wikipedia.org/wiki/Jess_Thomas,Found,0.0,true,seq=20.0; mil-missing:-50; fl-miss:-10; county-miss:-8,"Jess Thomas was an American operatic tenor born on August 4, 1927, renowned for his powerful Heldentenor voice. He achieved international acclaim for his performances in Wagnerian roles, particularly at the Bayreuth Festival and Metropolitan Opera during the 1960s and 1970s. Thomas was celebrated for his portrayals of Siegfried, Tristan, and Tannhäuser, becoming a leading figure in 20th-century opera. He passed away on October 11, 1993, leaving a lasting legacy in the world of classical music.","['Baltimore Conservatory of Music', 'Peabody Institute (studied under Rosa Ponselle)']",1927-08-04,1993-10-11,"Hot Springs, South Dakota, United States","Baton Rouge, Louisiana, United States",male,no,no,yes,yes
Ronald Gaffney,Specialist Ronald Gaffney Memorial Highway,Lake,https://en.wikipedia.org/wiki/Frank_Gaffney,Found,0.0,true,seq=14.8; mil-missing:-50; fl-miss:-10; county-miss:-8; us:+5,"Frank Gaffney is an American policy analyst and commentator born in 1953, known for his work in national security and defense policy. He founded the Center for Security Policy (CSP), a think tank focused on conservative security issues, and served in the Reagan administration as Acting Assistant Secretary of Defense. Gaffney has been a prominent figure in promoting controversial theories, including claims about Islamic infiltration in Western governments. His career spans government service, advocacy, and media appearances, often sparking debate over his views on foreign policy and extremism.","['Georgetown University, Bachelor of Science in Foreign Service (BSFS)', 'Georgetown University, Master of Arts in International Studies']",1953-01-01,,not found,not found,male,no,yes,no,no
Jim Tullis,Jim Tullis Memorial Boulevard,Duval,https://en.wikipedia.org/wiki/James_B._Fuller,Found,61.6,true,seq=9.6; last-mismatch:-4; human:+40; fl:+10; county:+8,"James B. Fuller was an American politician who served in public office during the 20th century. He began his career in the Florida House of Representatives, where he contributed to state legislation. Fuller later became the Duval County Clerk of Courts, overseeing judicial administration in the region. His political career reflects his dedication to public service in Florida, though specific birth and death dates remain undocumented in available sources.",,,,not found,not found,male,no,yes,no,no
Allan Bense,Allan Bense Highway,Bay,https://en.wikipedia.org/wiki/Allan_Bense,Found,67.0,true,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Allan Bense was an American politician born on October 25, 1947, in Pensacola, Florida. He served as the Speaker of the Florida House of Representatives from 2004 to 2006, becoming a prominent figure in Florida's Republican Party. Bense was also known for his business career, particularly in the banking and real estate sectors. He passed away on July 10, 2014, leaving behind a legacy in Florida politics and business leadership.","['University of West Florida, Bachelor of Arts in Political Science', 'University of Florida, Master of Business Administration']",1947-10-25,2014-07-10,"Pensacola, Florida, United States","Pensacola, Florida, United States",male,no,yes,no,no
Martin Luther King Jr,"Dr. Martin Luther King Jr., Memorial Highway",Brevard,https://en.wikipedia.org/wiki/Martin_Luther_King_station,Found,20.2,true,seq=16.2; last-mismatch:-4; fl:+10; county-miss:-8,"This content describes Martin Luther King station, a transit facility, rather than the biographical details of Martin Luther King Jr. itself. Martin Luther King Jr. was an American Baptist minister and civil rights leader born on January 15, 1929, and assassinated on April 4, 1968. He is best known for advancing civil rights through nonviolent resistance, delivering iconic speeches like 'I Have a Dream,' and leading pivotal movements such as the Montgomery Bus Boycott. His legacy endures as a symbol of equality, justice, and peaceful activism in the United States and globally.","['Morehouse College, Bachelor of Arts in Sociology', 'Crozer Theological Seminary, Bachelor of Divinity', 'Boston University, Doctor of Philosophy in Systematic Theology']",1929-01-15,1968-04-04,"Atlanta, Georgia, United States","Memphis, Tennessee, United States",male,no,yes,no,no
Von Mizell,Dr. Von Mizell Drive,Broward,https://en.wikipedia.org/wiki/Eula_Johnson,Found,63.0,true,seq=3.6; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,"Eula Johnson was a civil rights activist best known for her leadership in the 1960s desegregation efforts in St. Augustine, Florida. Born in 1916, she played a pivotal role in organizing protests and sit-ins as president of the local NAACP Youth Council. Her advocacy contributed significantly to the passage of the Civil Rights Act of 1964. Johnson's courageous work left a lasting legacy in the fight for racial equality in the American South.",,1916-01-01,,not found,not found,female,no,yes,no,no
Robert L. Clark,Robert L. Clark Memorial Highway,Broward,https://en.wikipedia.org/wiki/Plantation%2C_Florida,Found,23.0,true,seq=3.5; last-mismatch:-4; fl:+10; county:+8; us:+5,"The provided content describes Plantation, Florida, a city rather than a person. Founded through land drainage projects between 1855 and 1930, it was officially incorporated in 1953 after initial development phases. The city expanded significantly during the 1960s and 1970s under Gulfstream Land and Development. Today, it is a suburban community in Broward County known for its planned neighborhoods and family-friendly environment.",,,,not found,not found,not found,no,no,no,no
Charles Simeon Dean,Sheriff Charles Simeon Dean Highway,Citrus,https://en.wikipedia.org/wiki/Simeon_Bamire,Found,0.0,true,seq=10.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,"Simeon Bamire is a Nigerian academic and professor known for his contributions to agricultural economics and rural development. Born in Nigeria, he has held significant positions in higher education, including roles at the Federal University of Agriculture, Abeokuta. Bamire's work focuses on sustainable agricultural practices, policy formulation, and capacity building in Africa. He is recognized for his research and leadership in advancing agricultural education and innovation in Nigeria.","['Federal University of Agriculture, Abeokuta, PhD in Agricultural Economics', 'Obafemi Awolowo University, MSc in Agricultural Economics', 'University of Ibadan, BSc in Agriculture']",,,not found,not found,male,no,no,no,no
James Harold Thompson,James Harold Thompson Highway,Gadsden,https://en.wikipedia.org/wiki/Harold_Sebring,Found,11.3,true,seq=10.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"Harold Sebring was an American lawyer, judge, and football coach born in 1893. He served in World War I before attending college and later coaching football while studying law. Sebring became a prominent legal figure, serving as a judge and dean of a law school. He passed away in 1980, leaving a legacy in both legal and athletic fields.","[""University of Michigan (Bachelor's degree)"", 'University of Michigan Law School (Law degree)']",1893-01-01,1980-01-01,not found,not found,male,yes,no,yes,no
