name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Michael A. Bock,Staff Sergeant Michael A. Bock Memorial Highway,Lake,Not Found,Not Found,50.7,false,seq=9.7; human:+40; mil:+15; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Jess Thomas,Sergeant Jess Thomas Memorial Highway,Lake,Not Found,Not Found,2.0,false,seq=3.8; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Ronald Gaffney,Specialist Ronald Gaffney Memorial Highway,Lake,Not Found,Not Found,2.2,false,seq=6.2; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Jim Tullis,Jim Tullis Memorial Boulevard,Duval,Not Found,Not Found,63.0,false,seq=1.9; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,,,,,,,,,,,
Allan Bense,Allan Bense Highway,Bay,Not Found,Not Found,67.0,false,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Martin Luther King Jr,"Dr. Martin Luther King Jr., Memorial Highway",Brevard,Not Found,Not Found,49.0,false,seq=8.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Von Mizell,Dr. Von Mizell Drive,Broward,https://en.wikipedia.org/wiki/Von_Delany_Mizell,Found,78.0,true,seq=14.8; human:+40; fl:+10; county:+8,"Von Delany Mizell was an American professional football player born on August 13, 1940. He played as a defensive back in the National Football League (NFL) during the 1960s, primarily for the Pittsburgh Steelers. Mizell was known for his contributions to the sport during a transformative era in the NFL. He passed away on September 21, 2011, leaving behind a legacy in professional football.",,1940-08-13,2011-09-21,not found,not found,male,yes,no,no,no
Robert L. Clark,Robert L. Clark Memorial Highway,Broward,Not Found,Not Found,63.1,false,seq=6.1; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,,,,,,,,,,,
Charles Simeon Dean,Sheriff Charles Simeon Dean Highway,Citrus,Not Found,Not Found,41.0,false,seq=10.0; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8,,,,,,,,,,,
James Harold Thompson,James Harold Thompson Highway,Gadsden,Not Found,Not Found,67.0,false,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Paul Smith,Sergeant Paul Smith Memorial Highway,Hillsborough,Not Found,Not Found,62.0,false,seq=16.7; human:+40; mil:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
