name,original_designation,county,candidate_title,match_confidence,validation_notes
Michael A. Bock,Staff Sergeant Michael A. Bock Memorial Highway,Lake,Fedor von Bock,50.7,seq=9.7; human:+40; mil:+15; fl-miss:-10; county-miss:-8
Jess Thomas,Sergeant Jess Thomas Memorial Highway,Lake,"Don't ask, don't tell",2.0,seq=3.8; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5
Ronald Gaffney,Specialist Ronald Gaffney Memorial Highway,Lake,Special Activities Center,2.2,seq=6.2; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5
Jim Tullis,Jim Tullis Memorial Boulevard,Duval,Stan Jordan,63.0,seq=1.9; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Allan Bense,Allan Bense Highway,Bay,Allan Bense,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Martin Luther King Jr,"Dr. Martin Luther King Jr., Memorial Highway",Brevard,Robert Hayling,49.0,seq=8.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Robert L. Clark,Robert L. Clark Memorial Highway,Broward,Jack Roland Murphy,63.1,seq=6.1; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Charles Simeon Dean,Sheriff Charles Simeon Dean Highway,Citrus,Simeon Bamire,41.0,seq=10.0; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8
James Harold Thompson,James Harold Thompson Highway,Gadsden,James Harold Thompson,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Paul Smith,Sergeant Paul Smith Memorial Highway,Hillsborough,Paul Ray Smith,62.0,seq=16.7; human:+40; mil:+15; fl-miss:-10; county-miss:-8; us:+5
Marvin L. Roberts,Sergeant Marvin L. Roberts Memorial Highway,Lake,Jesse L. Brown,18.7,seq=7.7; last-mismatch:-4; human:+40; mil:+15; fl-miss:-10; county-miss:-8; us:+5; roman:-25
Alexander Miller,Specialist Alexander Miller Memorial Highway,Lake,Doris Miller,74.9,seq=12.9; human:+40; mil:+15; fl-miss:-10; county:+8; us:+5
Chris Daniels,Sheriff Chris Daniels Memorial Highway,Lake,Sue Rahr,42.0,seq=3.8; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
CK Steele,CK Steele Memorial Highway,Leon,Charles Kenzie Steele,58.0,seq=12.0; human:+40; fl:+10; county-miss:-8
Tony Forgione,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,Bebe Neuwirth,27.0,seq=4.6; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Bill Myers,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,Bill Myers (author),47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
R.C. Sproul,Dr. R.C. Sproul Way,Seminole,Mary Fallin,43.0,seq=5.5; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
David G. Ledgerwood,David G. Ledgerwood Memorial Highway,Volusia,Judy Ledgerwood,45.1,seq=14.1; human:+40; fl-miss:-10; county-miss:-8; us:+5
Candice Ellize Francois,Candice Ellize Francois Street,Broward,,0.0,no-candidates
John U. Lloyd,John U. Lloyd Bridge,Broward,Von Delany Mizell,60.0,seq=8.0; last-mismatch:-4; human:+40; fl:+10; county:+8
Wilbur Barry,Wilbur Barry Highway,Escambia,Dan Mullen,47.0,seq=1.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Helen Gordon Davis,Helen Gordon Davis Boulevard,Hillsborough,Helen Davis,67.0,seq=15.2; human:+40; fl:+10; county-miss:-8; us:+5
A. Hagood Ellzey,Deputy A. Hagood Ellzey Memorial Highway,Levy,,0.0,no-candidates
Trooper Patrick Ambroise,Trooper Patrick Ambroise Memorial Highway,Miami-Dade,List of U.S. police officers killed in 2010,0.0,seq=5.4; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5; nobility:-40
Christopher Smith,Deputy Christopher Smith Memorial Highway,Multiple Counties,Christopher J. Mahoney,58.4,seq=14.4; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Rep. J. Troy Peacock,Rep. J. Troy Peacock Bridge,Jackson,Wankard Pooser,63.0,seq=4.7; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Benedict J. Thomas,Lieutenant Benedict J. Thomas Memorial Highway,Hillsborough,Thomas Sanders (entertainer),48.5,seq=7.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Trooper John C. Hagerty,Trooper John C. Hagerty Memorial Highway,Polk,John Kennedy (Louisiana politician),0.0,seq=8.0; last-mismatch:-4; human:+40; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5
Trooper Joseph Sawtell Jr,Trooper Joseph Sawtell Jr. Memorial Highway,Brevard,Varèse Sarabande albums discography,0.0,seq=6.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5
Steven G. Greco,Sergeant Steven G. Greco Memorial Highway,Broward,Gulf War,2.0,seq=3.5; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5
"George A. Brown, III","Sergeant George A. Brown, III Memorial Highway",Columbia,George Vancouver,35.0,seq=10.0; last-mismatch:-4; human:+40; mil:+15; fl-miss:-10; county:+8; us:+5; pre1900:-35
Trooper Bradley S. Glascock,Trooper Bradley S. Glascock Memorial Highway,Miami-Dade,List of bass guitarists,0.0,seq=8.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40
Trooper Lindell J. Gibbons,Trooper Lindell J. Gibbons Memorial Highway,Collier,List of wrongful convictions in the United States,0.0,seq=5.3; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40
Trooper Robert P. McDermon,Trooper Robert P. McDermon Memorial Highway,Duval,,0.0,no-candidates
Robert L. Shevin,Robert L. Shevin Way,Miami-Dade,James Uthmeier,47.0,seq=2.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Cleo L. Tomlinson,"Trooper Merle J. Cook, Trooper Robert L. Pruitt, Trooper Cleo L. Tomlinson, Jr. Memorial Highway",St. Johns,July 1981,0.0,seq=3.1; last-mismatch:-4; le-missing:-50; fl:+10; county-miss:-8
Trooper Luther P. Daniel,Trooper Luther P. Daniel Memorial Highway,Miami-Dade,Assata Shakur,42.0,seq=2.2; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
William T. Bishop,Sergeant William T. Bishop Memorial Highway,Alachua,"Archdiocese for the Military Services, USA",17.0,seq=4.7; last-mismatch:-4; mil:+15; rel:+15; fl-miss:-10; county-miss:-8; us:+5
Trooper Halley Strickland,Trooper Halley Strickland Memorial Highway,Brevard,2012 Queen's Birthday Honours (Australia),0.0,seq=3.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8
"Martin Luther King, Jr","Martin Luther King, Jr., Boulevard",Brevard,Robert Hayling,48.8,seq=7.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
David C. Hobbs,Sheriff David C. Hobbs Memorial Highway,Jefferson,Parkland high school shooting,17.5,seq=6.5; last-mismatch:-4; le:+15; fl:+10; county-miss:-8
John C. Baxter,"Sergeant John C. Baxter, Jr. Memorial Highway",Manatee,Lockheed Martin C-130J Super Hercules,2.3,seq=6.3; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5
Patrolman Royston E. Walker,Patrolman Royston E. Walker Memorial Highway,Dixie,1991 Special Honours,0.0,seq=6.0; last-mismatch:-4; fl-miss:-10; county-miss:-8
Daniel Hinton,Sergeant Daniel Hinton Memorial Highway,Lee,Jack Hinton,59.3,seq=13.3; human:+40; mil:+15; fl-miss:-10; county-miss:-8; us:+5
Jorge P. Castano,Jorge P. Castano Way,Miami-Dade,Pedro Hernandez (artist),63.0,seq=5.2; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Sherman L. Scott,"Trooper Sherman L. Scott, Jr. Memorial Highway",Baker,L. Scott Caldwell,45.7,seq=9.7; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Trooper Richard Howell,Trooper Richard Howell Memorial Highway,Orange,Assata Shakur,42.0,seq=5.7; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Frederick J. Groves,"Troopers Herman T. Morris and Frederick J. Groves, Jr. Memorial Highway",Palm Beach,Wyatt Earp,37.0,seq=1.4; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8
Trooper Wilburn A. Kelly,Trooper Wilburn A. Kelly Memorial Highway,St. Johns,No Kings protests (June 2025),0.0,seq=2.9; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5
Trooper Edwin J. Gasque,Trooper Edwin J. Gasque Memorial Highway,Duval,List of accidents and incidents involving military aircraft (1950–1954),0.0,seq=4.9; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40
SSGT Edward C. Sheffield,SSGT Edward C. Sheffield Memorial Bridge,Taylor,Charles Lindbergh,27.0,seq=3.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Trooper Alvin V. Kohler,Trooper Alvin V. Kohler Memorial Highway,Miami-Dade,2009 in video games,0.0,seq=6.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8
Trooper Elmer C. Barnett,Trooper Elmer C. Barnett Memorial Highway,Miami-Dade,Jon Corzine,42.9,seq=6.9; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Trooper Chelsea Richard,Trooper Chelsea Richard Memorial Highway,Marion,2025 in the United States,2.0,seq=4.2; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5
Trooper Milan D. Hendrix,Trooper Milan D. Hendrix Memorial Highway,Escambia,List of Yes concert tours (1980s–90s),0.0,seq=5.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40
Officer Lance Christian Whitaker,Officer Lance Christian Whitaker Highway,Duval,Kasim Reed,27.0,seq=2.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
