GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level
06001,"Alameda County, California",38.7,126240,1057400,16.3,0.8,6.1,0.2,76.7,28.2,9.6,2.1,51.5,88.9,5.2,9.2
06003,"Alpine County, California",41.1,110781,466100,8.8,0.0,5.9,0.0,85.3,58.6,0.0,28.1,42.1,96.3,3.6,12.3
06005,"Amador County, California",49.9,81526,422800,10.3,0.3,4.6,0.3,84.5,73.7,1.9,5.0,22.4,91.0,6.1,7.8
06007,"Butte County, California",36.3,68574,408700,16.5,0.5,2.4,0.1,80.5,66.6,1.7,4.3,31.7,90.3,7.1,18.3
06009,"Calaveras County, California",52.0,79877,441800,10.0,0.6,3.2,0.1,86.1,77.4,1.2,3.8,22.2,93.3,5.9,13.4
06011,"Colusa County, California",35.7,75149,375100,59.7,0.0,2.6,0.0,37.7,31.4,1.4,3.2,14.5,73.2,8.4,10.8
06013,"Contra Costa County, California",40.3,125727,830800,18.0,0.8,8.3,0.2,72.7,39.3,8.2,2.6,44.9,89.6,5.9,8.3
06015,"Del Norte County, California",40.8,66780,319600,14.9,0.5,4.3,0.0,80.4,61.1,2.9,10.3,21.0,85.5,6.4,11.6
06017,"El Dorado County, California",46.1,106190,640500,10.4,0.4,3.2,0.1,85.8,74.1,0.8,2.5,38.8,94.9,4.8,8.3
06019,"Fresno County, California",33.2,71434,362600,49.8,0.4,3.8,0.1,45.9,27.0,4.2,3.1,23.9,78.6,8.5,18.7
06021,"Glenn County, California",35.9,70487,338400,42.1,0.0,1.9,0.1,55.9,48.6,0.6,3.8,16.5,80.3,7.4,12.4
06023,"Humboldt County, California",39.6,61135,418800,10.8,0.5,2.3,0.3,86.2,70.2,1.1,8.6,32.1,91.5,8.7,18.9
06025,"Imperial County, California",33.0,56393,279500,82.7,0.3,2.5,0.1,14.4,9.4,2.2,2.7,16.1,71.8,12.6,19.6
