Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
100Th Infantry Battalion,,,,,,https://en.wikipedia.org/wiki/100th_Infantry_Battalion
10Th Mountain Division,,,,,,https://en.wikipedia.org/wiki/10th_Mountain_Division
1St Class Sean K Mitchell,,,,,,
442Nd Regimental Combat Team,,,,,,https://en.wikipedia.org/wiki/442nd_Infantry_Regiment_(United_States)
Abiel Barron,,,,,,
Adolfo Camarillo,businessperson,male,,1864-10-28,1958-12-10,https://en.wikipedia.org/wiki/Adolfo_Camarillo
Alan S Hart,,,,,,
Alex Madonna,,,,,,
Alice Peña Bulos,,,,,,
All America City,,,,,,https://en.wikipedia.org/wiki/All-America_City_Award
Alpine State,,,,,,https://en.wikipedia.org/wiki/Alpine_states
Amber Dubois,,,,,,
Amelia Earhart,aircraft pilot,female,,1891-01-15,1939-01-05,https://en.wikipedia.org/wiki/Amelia_Earhart
And Medal Of Valor Recipient Waldron G Karp,,,,,,
Antelope Valley,,,,,,https://en.wikipedia.org/wiki/Antelope_Valley
Archie Moore,boxer,male,,1913-12-13,1998-12-09,https://en.wikipedia.org/wiki/Archie_Moore
Armed Forces,,,,,,https://en.wikipedia.org/wiki/Military
Army Specialist Eduardo Silva,,,,,,
Army Specialist Juan Miguel Mendez Covarrubias,,,,,,
Army Specialist Roger Lee,,,,,,
Arnold C Garcia,,,,,,
Arroyo Seco Parkway,,,,,,https://en.wikipedia.org/wiki/Arroyo_Seco_Parkway
Arthur H Breed Jr,,,,,,
Avenue Of The Giants,,,,,,https://en.wikipedia.org/wiki/Avenue_of_the_Giants
Bakersfield Allamerica City,,,,,,
Bakersfield Maricopa And Ventura,,,,,,
Ben Hulse,politician,male,,1894-09-24,1961-03-02,https://en.wikipedia.org/wiki/Ben_Hulse
Bernie Richter,politician,male,,1931-09-07,1999-10-25,https://en.wikipedia.org/wiki/Bernie_Richter
Betty Meltzer,,,,,,
Biggswillows Road,,,,,,
Bill C Bean Jr,,,,,,
Bill Whitehurst,,,,,,
Blue Star,,,,,,
Border Friendship,,,,,,
Border Patrol Agent Jarod Charles Dittman,,,,,,
Border Patrol Agent Robert W Rosas Jr,,,,,,
Brian Walker,author,,,,,
Bruce Lee,film director,male,,1940-11-27,1973-07-20,https://en.wikipedia.org/wiki/Bruce_Lee
Buffalo Soldiers,,,,,,https://en.wikipedia.org/wiki/Buffalo_Soldier
Burbank Police Matthew Pavelka Memoria,,,,,,
Cal Fire Firefighter Braden Varney,,,,,,
Cal Fire Firefighter Christopher Lee Douglas,,,,,,
Cal Fire Firefighter Cory Iverson,,,,,,
Calfire Firefighter Andrew Maloney,,,,,,
Calfire Firefighter Matt Will,,,,,,
Calfire William R Clayton,,,,,,
California Corrections Youth Authority Counselor Ineasie M Baker,,,,,,
California Delta,,,,,,https://en.wikipedia.org/wiki/Sacramento%E2%80%93San_Joaquin_River_Delta
California Patrol Brent William Clearman,,,,,,
California Patrol Charles D Goss,,,,,,
California Patrol David W Copleman,,,,,,
California Patrol Earl Scott,,,,,,
California Patrol Franke A Story,,,,,,
California Patrol Justin W Mcgrory,,,,,,
California Patrol Officers James E Pence Jr Roger D Gore Walter C Frago And George M Alleyn,,,,,,
California Patrol Phillip Dennis Ortiz,,,,,,
California Small Business Owners,,,,,,
California Wildland Firefighters,,,,,,
Caltrans Leadworker Gary Wayne Smith,,,,,,
Caltrans Maintenance Lead Worker Michael Flea Feliciano,,,,,,
Caltrans Maintenance Leadworker Jaime Obeso,,,,,,
Capital City,,,,,,https://en.wikipedia.org/wiki/Capital_city
Carleton E Forbes,,,,,,
Cdf Firefighter Chris Kanton,,,,,,
Cdf Firefighter Eva Marie Schicke,,,,,,
Cdf Firefighter John D Guthrie,,,,,,
Central Yosemite,,,,,,
Cesar Chavez,trade unionist,male,,1927-03-31,1993-04-23,https://en.wikipedia.org/wiki/Cesar_Chavez
Charles Brown,actor,male,,1887-07-01,1948-11-25,https://en.wikipedia.org/wiki/Charles_D._Brown
Charles I Walter,,,,,,
Chino Valley,,,,,,"https://en.wikipedia.org/wiki/Chino_Valley,_Arizona"
Chiura Obata Great Nature,,,,,,
Chp A Donald Hoover,,,,,,
Chp Alfred R Turner,,,,,,
Chp Ambers O Sonny Shewmaker,,,,,,
Chp Andre Maurice Moye Jr,,,,,,
Chp Andrew Andy Stevens,,,,,,
Chp Archie E Nichols,,,,,,
Chp Artie J Hubbard,,,,,,
Chp Charles Chuck Sorenson,,,,,,
Chp Charles Lilly,,,,,,
Chp Charles T Smith,,,,,,
Chp Christopher D Lydon,,,,,,
Chp Dale E Newby,,,,,,
Chp Dan N Benavides,,,,,,
Chp Daniel J Muehlhausen,,,,,,
Chp David M Romero,,,,,,
Chp David W Manning,,,,,,
Chp Don J Burt,,,,,,
Chp Douglas Scott Russell,,,,,,
Chp Earl Scott,,,,,,
Chp Erick S Manny,,,,,,
Chp Ernest R Felio,,,,,,
Chp Hugo Olazar,,,,,,
Chp James J Schumacher Jr,,,,,,
Chp John Bailey,,,,,,
Chp John Jack Armatoski,,,,,,
Chp John P Miller,,,,,,
Chp John Pedro,,,,,,
Chp Johnny R Martinez,,,,,,
Chp Joseph P Sanders,,,,,,
Chp Kirk Griess,,,,,,
Chp Larry L Wetterling And San Bernardino County Sheriffs Alfred E Stewart,,,,,,
Chp Lucas F Chellew,,,,,,
Chp Michael Allen Brandt,,,,,,
Chp Michael Elvin Walker,,,,,,
Chp Officers Brian Law And Juan Gonzalez,,,,,,
Chp Officers Gayle W Wood Jr And James E Mccabe,,,,,,
Chp Officers Harold E Horine And Bill Leiphardt,,,,,,
Chp Officers Irvine And Stovall,,,,,,
Chp Officers Walter Frago And Roger Gore,,,,,,
Chp Paul C Jarske,,,,,,
Chp Reuben F Rios Sr,,,,,,
Chp Richard D Duvall,,,,,,
Chp Robert Franklin Dickey,,,,,,
Chp Robert J Quirk,,,,,,
Chp Saul Martinez,,,,,,
Chp Scott M Greenly,,,,,,
Chp Sean Nava,,,,,,
Chp Stephen M Linen Jr,,,,,,
Chp Steven L Licon,,,,,,
Chp Thomas J Steiner,,,,,,
Chp Thomas P Coleman,,,,,,
Chp Thomas R Adams,,,,,,
Chp William Ivan Casselman,,,,,,
Chp William P Sniffen,,,,,,
Christopher Meadows,painter,male,,1863-01-01,1947-01-01,
Civilian Women Volunteers All Wars,,,,,,
Clarence Ward Boulevard,,,,,,
Colonel Charles Young,,,,,,
Colonel Nguyen Thi Hanh Nhons Disabled,,,,,,
Colonel Seth Jethro Nehring,,,,,,
Colonel William R Bill Lucius,,,,,,
Colonel Young Oak Kim United States Army,,,,,,
Congressman George E Brown Jr,,,,,,
Corporal Luis Carlos Ruan,,,,,,
Corporal Ronil Singh,,,,,,
Correctional Jesus Jesse Sanchez,,,,,,
Correctional Jose Rivera,,,,,,
Correctional Manuel A Gonzalez Jr,,,,,,
Costa Mesa,,,,,,"https://en.wikipedia.org/wiki/Costa_Mesa,_California"
Costa Mesa Fire Michael Kreza,,,,,,
Crynthia And Erling Hjertager,,,,,,
Dana Cowell,,,,,,
Daniel Broeske,,,,,,
Daniel Sakai,researcher,male,,,,
Darnell Andrew Calhoun,,,,,,
Darrell Keith Lee Gary Wayne Wolfley And Sergio Carrera Jr,,,,,,
Dave Chetcuti,,,,,,
Dave Ghilarducci,,,,,,
David E Pierson And Bill Freeman,,,,,,
David F Mobilio,,,,,,
