County,Median_Age,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,GEOID,Median_Household_Income,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS
"Autauga County, Alabama",39.2,197900,1.8,1.0,0.5,0.4,96.3,71.7,20.0,0.8,01001,69841,28.3,90.3,2.5,10.7,01,001
"Baldwin County, Alabama",43.7,287000,3.0,0.4,1.8,0.4,94.4,81.4,7.9,1.6,01003,75019,32.8,91.7,3.2,10.5,01,003
"Barbour County, Alabama",40.7,109900,4.1,0.1,1.7,0.2,94.0,43.7,46.9,0.9,01005,44290,11.5,77.8,5.7,21.9,01,005
"Bibb County, Alabama",41.3,132600,1.6,0.6,1.2,0.0,96.6,73.7,20.7,1.9,01007,51215,11.5,80.3,10.0,20.5,01,007
"Blount County, Alabama",40.9,169700,9.2,0.1,0.6,0.2,89.9,85.0,1.3,1.7,01009,61096,15.6,82.7,5.8,14.1,01,009
"Bullock County, Alabama",40.4,79400,3.2,0.0,2.5,0.0,94.3,21.1,71.2,0.1,01011,36723,9.0,74.0,5.9,25.7,01,011
"Butler County, Alabama",42.2,99700,1.3,0.0,0.3,0.0,98.4,50.7,44.7,0.8,01013,44881,13.8,87.6,6.8,21.0,01,013
"Calhoun County, Alabama",39.0,149500,3.0,0.6,0.7,0.1,95.6,69.8,21.6,1.3,01015,55826,20.5,86.1,6.4,17.5,01,015
"Chambers County, Alabama",41.5,129700,1.7,0.2,1.6,0.2,96.3,53.9,39.7,0.8,01017,49295,14.6,83.6,5.0,15.5,01,017
"Cherokee County, Alabama",47.4,165900,1.4,0.0,0.3,0.0,98.3,90.7,3.7,1.8,01019,50769,15.9,83.9,3.4,14.5,01,019
"Chilton County, Alabama",39.5,142300,8.5,0.1,1.2,0.0,90.1,77.1,9.2,2.3,01021,61873,15.2,84.2,5.4,13.6,01,021
"Choctaw County, Alabama",47.0,111800,0.0,0.2,0.9,0.0,98.9,56.6,38.1,2.3,01023,44483,13.9,84.2,5.5,19.5,01,023
"Clarke County, Alabama",42.5,126400,0.6,0.1,0.5,0.0,98.9,51.2,45.3,0.6,01025,49167,15.4,85.3,13.2,20.5,01,025
"Clay County, Alabama",43.8,144700,2.4,0.0,0.6,0.1,96.8,79.3,13.0,0.9,01027,51852,15.2,82.8,3.5,16.5,01,027
"Cleburne County, Alabama",42.3,144200,1.5,0.0,0.4,0.0,98.0,92.5,3.9,0.9,01029,53319,18.2,85.4,1.5,13.2,01,029
"Coffee County, Alabama",38.8,180300,4.7,2.0,2.2,0.4,90.6,67.9,15.9,2.7,01031,64672,21.5,86.0,4.3,17.6,01,031
"Colbert County, Alabama",42.3,161600,2.5,0.1,0.5,0.1,96.7,77.4,15.8,1.4,01033,56736,20.3,87.5,3.3,16.9,01,033
"Conecuh County, Alabama",46.3,101300,0.2,0.3,0.3,0.0,99.1,50.1,45.4,0.9,01035,42266,13.1,87.5,8.3,27.6,01,035
"Coosa County, Alabama",50.3,111800,0.3,1.9,0.2,0.0,97.6,64.3,29.7,1.2,01037,57063,14.9,82.8,5.1,11.6,01,037
"Covington County, Alabama",42.8,142500,1.0,0.3,0.6,0.0,98.1,82.5,11.7,1.4,01039,50886,17.2,86.2,4.6,18.0,01,039
"Crenshaw County, Alabama",42.4,108400,1.5,0.0,0.3,0.0,98.2,70.1,23.3,1.2,01041,49040,16.8,82.6,4.9,16.2,01,041
"Cullman County, Alabama",41.1,180500,3.9,0.2,0.7,0.1,95.1,90.2,1.1,1.5,01043,60916,19.1,85.0,4.2,13.9,01,043
"Dale County, Alabama",38.0,129100,4.1,1.9,0.7,0.3,93.1,66.5,20.7,2.1,01045,53955,19.3,85.7,6.8,18.7,01,045
