State,Median_Age,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,GEOID,Median_Household_Income,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS
Alabama,39.3,195100,3.1,0.5,1.6,0.2,94.6,63.8,25.9,1.6,01,62027,27.8,88.1,4.8,15.6,01
Alaska,35.6,333300,3.6,1.0,2.3,0.3,92.9,58.3,3.0,20.2,02,89336,31.2,93.5,5.8,10.2,02
Arizona,38.8,358900,26.8,0.7,3.3,0.3,69.0,53.4,4.4,6.0,04,76872,32.6,89.1,5.2,12.8,04
Arkansas,38.4,175300,6.2,0.3,2.2,0.1,91.2,68.4,14.8,2.4,05,58773,25.1,88.6,5.1,16.0,05
California,37.6,695400,32.3,0.6,6.7,0.3,60.2,34.6,5.3,2.8,06,96334,36.5,84.6,6.4,12.0,06
Colorado,37.5,502200,15.8,0.7,5.5,0.2,77.8,65.7,3.8,2.9,08,92470,44.7,92.8,4.5,9.4,08
Connecticut,41.2,343200,1.8,8.2,7.4,0.4,82.2,63.0,9.9,1.2,09,93760,41.9,91.3,5.6,10.0,09
Delaware,41.5,326800,3.6,3.1,3.8,0.2,89.3,59.0,21.4,1.4,10,82855,35.3,91.4,5.1,10.7,10
District of Columbia,34.9,724600,2.1,0.8,8.2,0.4,88.4,36.6,42.5,1.6,11,106287,63.6,92.8,6.5,14.5,11
Florida,42.6,325000,3.3,5.5,10.8,7.1,73.3,51.4,14.8,1.2,12,71711,33.2,89.6,4.8,12.6,12
Georgia,37.4,272900,5.5,1.1,3.7,0.4,89.3,49.8,31.0,1.5,13,74664,34.2,89.0,5.1,13.5,13
Hawaii,40.6,808200,3.3,3.3,3.1,0.1,90.2,21.1,1.8,2.6,15,98317,35.5,92.9,5.0,10.0,15
Idaho,37.1,376000,10.8,0.4,2.1,0.1,86.7,79.3,0.7,2.8,16,74636,31.2,91.7,3.7,10.6,16
Illinois,38.9,250500,14.2,1.7,2.4,0.2,81.5,58.7,13.6,1.5,17,81702,37.2,90.3,5.8,11.7,17
Indiana,38.0,201600,5.7,0.8,1.7,0.1,91.6,76.1,9.1,1.3,18,70051,28.8,90.2,4.3,12.2,18
Iowa,38.6,195900,4.9,0.3,1.6,0.1,93.0,83.1,3.8,1.2,19,73147,30.9,93.2,3.6,11.0,19
