OBJECTID,COUNTY,COUNTY_ID,DESIGNATIO,DESCRIPTIO,HWY_NAME,BILL,DEDICATED,EFFECTIVE_,District,Local_Name,BILL_URL,CreationDa,Creator,EditDate,Editor,MemId,Shape_Leng,LOCAL_RES,GlobalID,Shape__Length,BILL_DESCRIPTION,BILL_YEAR,wikipedia_url_sam,Does_Sam_Think_is_real,dob_sam,status,match_confidence,validated,validation_notes,summary,education,dod_sam,place_of_birth,place_of_death,gender_sam,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music,Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw,Clean_Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,Noah_Thinks_is_Real
1,Lake,11.0,Staff Sergeant Michael A. Bock Memorial Highway,"That portion of S.R. 44/South Street between C.R. 44/Main Street and U.S. 27/S.R. 25/14th Street in Lake County is designated as ""Staff Sergeant Michael A. Bock Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,5.0,South Street, ,, ,, ,1.0,3682.26627279,1.0,f41a17ea-c05f-4fad-9eb7-b86a5b6705dc,4205.75517854103,,,Not Found,no,,Not Found,10.7,False,seq=9.7; mil:+15; fl-miss:-10; county-miss:-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lake,11.0,Sergeant Jess Thomas Memorial Highway,"That portion of S.R. 50 between the Sumter County line and Lee Road in Lake County is designated as ""Sergeant Jess Thomas Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,5.0,, ,, ,, ,2.0,2828.56538745,1.0,4340ac12-3925-4339-9cf7-cbae3ddb8b8b,3219.98284818725,,,Not Found,no,,Not Found,0.0,False,seq=20.0; mil-missing:-50; fl-miss:-10; county-miss:-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Duval,72.0,Jim Tullis Memorial Boulevard,"That portion of S.R. 109/University Boulevard between Clifton Avenue and Fort Caroline Road in Duval County is designated as ""Jim Tullis Memorial Boulevard.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018.0,2.0,University Boulevard, ,, ,, ,4.0,4984.61142349,1.0,21ac93eb-f0cb-4e3a-94f8-cf6fa8b2c58f,5798.43637708488,E. 105th Street in Miami Shores Village in Miami-Dade County is designated as “Hugh Anderson Boulevard.,2012.0,https://en.wikipedia.org/wiki/James_B._Fuller,no,,Found,61.6,True,seq=9.6; last-mismatch:-4; human:+40; fl:+10; county:+8,"James B. Fuller was an American politician who served in public office during the 20th century. He was a member of the Florida House of Representatives, contributing to state-level governance and legislative processes. Fuller later held the position of Duval County Clerk of Courts, overseeing administrative and judicial operations in the county. His career reflects a commitment to public service within Florida’s political and legal systems.",,,not found,not found,male,no,yes,no,no,,,,,,,,,,,,,Jim Tullis,politician,,male,1941-11-03,2017-10-14,https://en.wikipedia.org/wiki/Jim_Tullis,True
5,Bay,46.0,Allan Bense Highway,"That portion of U.S. 231/S.R. 75 between the Jackson County line and U.S. 98B/S.R. 30 in Bay County is designated as ""Allan Bense Highway.""",US-231,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,3.0,, ,, ,, ,5.0,54254.145354,0.0,36b91bbb-7988-4aa0-99f4-3a49add5dbb8,62910.6833575022,,,https://en.wikipedia.org/wiki/Allan_Bense,yes,1947-10-25,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Allan Bense was an American businessman and politician born on October 25, 1947. He served as the Speaker of the Florida House of Representatives from 2004 to 2006, marking a significant period in Florida's political history. Bense was also known for his leadership in the Republican Party and his advocacy for conservative policies. He passed away on July 10, 2014, leaving behind a legacy in Florida politics and business.",,2014-07-10,not found,not found,male,no,yes,no,no,,,,,,,,,,,,,Allan Bense,politician,,male,1951-10-06,,https://en.wikipedia.org/wiki/Allan_Bense,True
6,Brevard,70.0,"Dr. Martin Luther King Jr., Memorial Highway","That portion of S.R. 519/Fiske Boulevard located within the corporate limits of the City of Cocoa in Brevard County is designated as ""Dr. Martin Luther King Jr., Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,5.0,Fiske Boulevard, ,, ,, ,6.0,2696.71081504,0.0,662589b0-786d-45cb-ad2f-408d70ed2096,3079.42645471574,oS.R. 109/University Boulevard between Clifton Avenue and Fort Caroline Road in DuvalCounty is designated as “Jim Tullis memorial Boulevard.,2018.0,Not Found,no,,Not Found,20.2,False,seq=16.2; last-mismatch:-4; fl:+10; county-miss:-8,,,,,,,,,,,,,,,,,,,,,,,Dr. Martin Luther King Jr.,pastor,African Americans,male,1929-01-15,1968-04-04,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,True
7,Broward,86.0,Dr. Von Mizell Drive,"That portion of S.R. A1A/Ocean Drive between S.R. 822/Sheridan Street and Cambridge Street in Broward County is designated as ""Dr. Von Mizell Drive.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,4.0,Ocean Drive, ,, ,, ,7.0,2061.04020611,0.0,11c28ca5-5a48-4909-abb9-6bf343bffc79,2305.61883148998,,,https://en.wikipedia.org/wiki/Eula_Johnson,no,1916-01-01,Found,63.0,True,seq=3.6; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,"Eula Johnson was a civil rights activist best known for her leadership in the 1960s desegregation efforts in St. Augustine, Florida. Born in 1916, she played a pivotal role in organizing protests and sit-ins against racial segregation, working closely with figures like Dr. Martin Luther King Jr. As president of the local NAACP Youth Council, she mentored young activists and helped coordinate nonviolent demonstrations that contributed to the passage of the Civil Rights Act of 1964. Johnson's advocacy left a lasting impact on the civil rights movement, though her exact death date remains less documented in widely available sources.",,,"St. Augustine, Florida, United States",not found,female,no,yes,no,no,,,,,,,,,,,,,,,,,,,,
8,Broward,86.0,Robert L. Clark Memorial Highway,"That portion of U.S. 1/S.R. 5/N.E. 6th Avenue between Ponce de Leon Drive and S.R. 84/S.E. 24th Street in Broward County is designated as ""Robert L. Clark Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,4.0,N.E. 6th Avenue, ,, ,, ,8.0,1892.61387448,0.0,26feb5fd-618a-4378-98af-38a6e63f6555,2118.27353676697,,,Not Found,no,,Not Found,23.0,False,seq=3.5; last-mismatch:-4; fl:+10; county:+8; us:+5,,,,,,,,,,,,,,,,,,,,,,,Robert L. Clark,lawyer,,male,1872-01-31,,https://en.wikipedia.org/wiki/Robert_L._Clark,False
9,Citrus,2.0,Sheriff Charles Simeon Dean Highway,"That portion of S.R. 44 between the Sumter County line and U.S. 41/S.R. 44/S.R. 45 in Citrus County is designated as ""Sheriff Charles Simeon Dean Highway.""",SR-44,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,7.0,, ,, ,, ,9.0,10787.3190257,0.0,17d10efe-cf4a-4d59-8574-0b1118b66b84,12314.9213683023,,,Not Found,no,,Not Found,0.0,False,seq=10.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Gadsden,50.0,James Harold Thompson Highway,"That portion of U.S. 90/S.R. 10 between Gretna and Chattahoochee in Gadsden County is designated as ""James Harold Thompson Highway.""",US-90,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,3.0,, ,, ,, ,10.0,16490.9630427,0.0,e7faf215-4079-4a01-b491-ab59d7de5f7b,19170.1246920045,,,Not Found,no,,Not Found,11.3,False,seq=10.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,,,,,,,,,,,,,James Harold Thompson,politician,,male,1944-11-10,,https://en.wikipedia.org/wiki/James_Harold_Thompson,True
11,Gulf,51.0,Gulf County Veterans Memorial Highway,"That portion of S.R. 71 between Knowles Avenue and the Calhoun County line in Gulf County is designated as ""Gulf County Veterans Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,3.0,, ,, ,, ,11.0,47876.1625394,0.0,76fa6b39-a214-4ba8-8895-2be7ced38957,55372.1306605409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
