Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw
Deputy Sheriff Donta Manuel,https://www.odmp.org/agency/2997-palm-beach-county-sheriffs-office-florida,https://www.odmp.org/officer/19071-deputy-sheriff-donta-j-manuel,Deputy Sheriff Donta J. Manuel,33,13 years,5213,Struck by vehicle,,"DONTA J. MANUEL Deputy Sheriff Donta Manuel and Deputy Sheriff Jonathan Wallace were struck and killed by a patrol car while attempting to remove stop sticks from the roadway on State Road 715, near Lake Okeechobee. A stolen vehicle that was being pursued by other deputies had just passed over the stop sticks and the two deputies ran into the road to remove them. It is believed that, because of the darkness, the deputies did not observe how fast the pursuing units were following behind the suspect vehicle. One of the pursuing patrol cars struck both deputies, killing them. The driver of that patrol car was seriously injured and flown to a local hospital. One of the suspects in the stolen car was apprehended a short time later. Deputy Manuel had served with the Palm Beach County Sheriff's Office for 13 years. He is survived by his wife and three children.","BIO Age 33 Tour 13 years Badge 5213 INCIDENT DETAILS Cause Struck by vehicle Spike Strips, Stolen Vehicle, Vehicle Pursuit Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Struck by vehicle
Deputy Sheriff Jonathan Wallace,https://www.odmp.org/agency/2997-palm-beach-county-sheriffs-office-florida,https://www.odmp.org/officer/19072-deputy-sheriff-jonathan-d-wallace,Deputy Sheriff Jonathan D. Wallace,23,"1 year, 6 months",8256,Struck by vehicle,,"JONATHAN D. WALLACE Deputy Sheriff Jonathan Wallace and Deputy Sheriff Donta Manuel were struck and killed by a patrol car while attempting to remove stop sticks from the roadway on State Road 715, near Lake Okeechobee. A stolen vehicle that was being pursued by other deputies had just passed over the stop sticks and the two deputies ran into the road to remove them. It is believed that, because of the darkness, the deputies did not observe how fast the pursuing units were following behind the suspect vehicle. One of the pursuing patrol cars struck both deputies, killing them. The driver of that patrol car was seriously injured and flown to a local hospital. One of the suspects in the stolen car was apprehended a short time later. Deputy Wallace had served with the Palm Beach County Sheriff's Office for 18 months. He is survived by his fiancee.","BIO Age 23 Tour 1 year, 6 months Badge 8256 INCIDENT DETAILS Cause Struck by vehicle Spike Strips, Stolen Vehicle, Vehicle Pursuit Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Struck by vehicle
"Captain Chad Allen Reed, Sr.",https://www.odmp.org/agency/5991-dixie-county-sheriffs-office-florida,https://www.odmp.org/officer/20236-captain-chad-allen-reed-sr,"Captain Chad Allen Reed, Sr.",33,13 years,54-6,Gunfire,Handgun; 9 mm,"CHAD ALLEN REED, SR. Captain Chad Reed was shot and killed in a shootout with a man wanted for murdering two elderly women and shooting two other women in Hernando County. Following the shootings and murders, the Hernando County Sheriff's Office put out an alert for the suspect and his vehicle. The vehicle was spotted in Dixie County and deputies began to follow it with the intention of stopping it in a rural area once it passed through town. The driver of the vehicle suddenly pulled into a gas station and then opened fire on the deputies. Captain Reed and the suspect were both wounded during the shooting. Both men were transported to Shands Hospital, where Captain Reed succumbed to his wounds. On February 10, 2011, the subject pled guilty of murder in the first degree in connection with Captain Reed's death and was sentenced to life in prison. In January 2012 the man was also convicted of two additional murders and subsequently sentenced to death. He died in 2015. Captain Reed had served with the Dixie County Sheriff's Office for 13 years and was a graduate of the 238th session of the FBI National Academy. He is survived by his wife and two children.","BIO Age 33 Tour 13 years Badge 54-6 INCIDENT DETAILS Cause Gunfire Weapon Handgun; 9 mm Offender Deceased FBI National Academy, Murder Suspect Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Handgun; 9 mm Offender Deceased
Trooper Donald Earl Jennings,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/848-trooper-donald-e-jennings,Trooper Donald E. Jennings,33,11 years,957,Struck by vehicle,,DONALD E. JENNINGS Trooper Donald Jennings was killed when he was struck by a vehicle while directing traffic at a crash scene on the Sawgrass Expressway in Sunrise. Trooper Jennings had served with the Florida Highway Patrol for 11 years. He was survived by his expectant wife. His son was born about a month after he was killed.,"BIO Age 33 Tour 11 years Badge 957 INCIDENT DETAILS Cause Struck by vehicle Accident Scene, Directing Traffic Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Struck by vehicle
Trooper Jeffery Dale Young,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/14628-trooper-jeffrey-dale-young,Trooper Jeffrey Dale Young,28,3 years,Not available,Gunfire,Officer's handgun,"JEFFREY DALE YOUNG Trooper Jeffrey Young was shot and killed with his own weapon during a traffic stop in Manatee, Florida. Trooper Young was a member of the narcotics squad and was attempting to arrest a drug courier during a traffic stop. Two suspects were en route to Detroit, Michigan, on I-75 when they were stopped by Trooper Young. Consent was given to search the vehicle, during which Trooper Young discovered a substantial amount of cocaine. The amount was later determined to be 340 grams of crack cocaine. A violent struggle between the Trooper and suspects ensued, and one of the suspects gained control of Trooper Young's revolver and shot him in the face at point-blank range. The 42-year-old shooter and his 40-year-old accomplice were apprehended three hours later in a nearby swamp. The shooter was convicted of first-degree murder and sentenced to death. As of November 28, 2020, now 75, he remains on death row. Trooper Young served with the Florida Highway Patrol for three years and was assigned to Troop F. He was well known for his ability to spot a drug trafficker. He was survived by his wife and daughter.","BIO Age 28 Tour 3 years Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Officer's handgun Offender Sentenced to death Arrest Attempt, Traffic Stop Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Officer's handgun Offender Sentenced to death
Trooper Herman T. Morris,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/9640-trooper-herman-t-morris,Trooper Herman T. Morris,27,3 years,Not available,Automobile crash,,"HERMAN T. MORRIS Trooper Herman Morris succumbed to injuries he received in an automobile crash while on patrol in West Palm Beach on January 24, 1972. While assisting officers who were following armed and drunk subjects, he was driving on the passing lane on the turnpike. A truck pulled out in front of him, and to avoid a collision, he struck a bridge railing. His patrol vehicle flipped over and burst into flames. He was transported to Good Samaritan Hospital, where he died from his injuries. Trooper Morris had served with the Florida Highway Patrol for three years. He was survived by his wife and two sons.","BIO Age 27 Tour 3 years Badge Not available INCIDENT DETAILS Cause Automobile crash Incident Date Monday, January 24, 1972 Vehicle Crash, Traffic Patrol, Officer Assistance Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs","INCIDENT DETAILS Cause Automobile crash Incident Date Monday, January 24, 1972"
Trooper Chelsea Richard,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/22069-trooper-chelsea-renee-richard,Trooper Chelsea Renee Richard,30,9 years,1087,Struck by vehicle,,"CHELSEA RENEE RICHARD Trooper Chelsea Richard was struck and killed by a vehicle while investigating a vehicle crash on I-75, near mile marker 341, at approximately 2:00 pm. The vehicles involved in the collision had been moved to the shoulder. She was speaking with a tow truck driver and a family member of a crash victim when a pickup truck pulling a trailer left the roadway and struck all three individuals, killing Trooper Richard and the tow truck driver. The third pedestrian suffered severe injuries and died several days later. Trooper Richard had served with the Florida Highway Patrol for nine years and was assigned to the Ocala District Office. She is survived by her 4-year-old son, parents, brother, and grandparents.",BIO Age 30 Tour 9 years Badge 1087 INCIDENT DETAILS Cause Struck by vehicle Accident Investigation Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Struck by vehicle
Trooper Claude Baker,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/1413-trooper-claude-h-baker-jr,"Trooper Claude H. Baker, Jr.",32,9 years,Not available,Gunfire,Gun; Unknown type,"CLAUDE H. BAKER, JR. Trooper Claude Baker was shot and killed after stopping an escaped prisoner in a stolen car at 7:57 p.m. near Venice. He was found lying on the highway beside his patrol car by a passing motorist on U.S. 41. A few hours later, the suspect was taken into custody at a police roadblock in Charlotte County. He had stolen the car from a woman whom he had also robbed and raped. The 24-year-old suspect was convicted of first-degree murder, escape, robbery, rape, and motor vehicle theft. He was sentenced to three life terms plus 20 years in prison on March 22, 1974. On November 22, 1987, he escaped from prison and was recaptured four days later. While out, he committed an armed robbery and a deadly assault. He was convicted of both crimes and got 80 years added to his sentence. As of November 21, 2020, he was in prison. Trooper Baker was a United States Air Force veteran and had served with the Florida Highway Patrol for 9 years. He was survived by his wife, daughter, and parents.","BIO Age 32 Tour 9 years Badge Not available Military Veteran INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Sentenced to life Escapee, Sex Offender, Stolen Vehicle, Traffic Stop Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Sentenced to life
Trooper Stephen G. Rouse,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/11567-trooper-stephen-g-rouse,Trooper Stephen G. Rouse,23,11 months,Not available,Automobile crash,,"STEPHEN G. ROUSE Trooper Stephen Rouse was killed in an automobile crash while responding to another accident call on Alligator Alley. As he passed through a toll plaza a van made a U-turn in front of him, causing him to collide with it. Trooper Rouse had served with the Florida Highway Patrol for 11 months. He was survived by his wife, parents, and sister.",BIO Age 23 Tour 11 months Badge Not available INCIDENT DETAILS Cause Automobile crash Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash
Trooper Merle J. Cook,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/3402-trooper-merle-j-cook,Trooper Merle J. Cook,44,10 years,Not available,Aircraft accident,,"MERLE J. COOK Trooper Merle Cook, Corporal Cleo Tomlinson, and Trooper Robert Pruitt were killed in an airplane accident while searching for two breaking-and-entering suspects in St. John's County. The suspects were charged with three counts of homicide in connection with the deaths of all three troopers. The primary burglary suspect was convicted of burglary and sentenced to 15 years in prison. He was released only to be sentenced to 6 years for cocaine sale in October of 2010, and he currently resides in the Florida State Prison System. Trooper Cook had served with the Florida Highway Patrol for 10 years. He was survived by his four sons, parents, and two nephews.","BIO Age 44 Tour 10 years Badge Not available INCIDENT DETAILS Cause Aircraft accident Aerial Search, Aircraft Accident Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Aircraft accident
