source_url,name,bio,age,tour,badge,cause,end_of_watch,incident_details,matched_input_name,fuzzy_score
https://www.odmp.org/officer/11092-patrolman-james-k-reed,Patrolman James K. Reed,"Officer James Reed suffered a heart attack while issuing a parking ticket in front of 924 Mt. Vernon Avenue in Columbus. Another officer immediately began administering CPR, and a passerby called for help. Officer Reed died a short time later in the emergency room at St. Anthony Hospital. Officer Reed was a United States Marine Corps Vietnam veteran and had served with the Columbus Division of Police for two years. He was survived by his parents, brother, and sister.",25,2 years,Not available,Heart attack,"Saturday, May 18, 1974",Cause: Heart attack,James W. Reed,92.3076923076923
https://www.odmp.org/officer/11580-patrolman-dane-l-rowe,Patrolman Dane L. Rowe,"Patrolman Dane Rowe was struck and killed by a car while clearing a crash scene. The driver of the car that struck him was driving through the accident scene after ignoring signals from another officer to stop. Patrolman Rowe was transported to Grant Medical Center where he succumbed to his injuries the following day. Patrolman Rowe had served with the Madison Township Police Department for 9-1/2 months. He was survived by his wife, parents, and brother.",24,"9 months, 2 weeks",11,Struck by vehicle,"Saturday, November 5, 1988","Cause: Struck by vehicle Incident Date: Friday, November 4, 1988",Patrolman Dane L. Rowe,100.0
https://www.odmp.org/officer/11600-corporal-john-e-ruch,Corporal John E. Ruch,Corporal John Ruch was killed in an automobile accident during a high-speed pursuit on US Route 20 in Ashtabula County. He and another patrolman were en route to a defense meeting when they attempted to stop a speeding vehicle. Their patrol car went out of control on ice and snow and struck two trees. Corporal Ruch had served with the agency for 8 years and was stationed in Geneva at the time. He was survived by his wife and parents.,32,8 years,28/134,Vehicle pursuit,"Wednesday, March 4, 1942",Cause: Vehicle pursuit Weapon: Not available Offender: Not available,Corporal John E. Ruch,100.0
https://www.odmp.org/officer/11668-sergeant-patrick-ryan,Sergeant Patrick Ryan,"Sergeant Patrick Ryan died from injuries sustained in an automobile crash two miles north of Brooksville, Florida, while en route to pick up a prisoner for extradition back to Ohio. He and the Cuyahoga County prosecutor had gone to pick up a vote fraud suspect, who was being held in Miami, Florida. The prosecutor's car crashed into the rear end of a car that had stopped suddenly in front of them, causing it to flip over. Sergeant Ryan, who had been detailed to the prosecutor's office, was seriously hurt and died several hours later in a hospital in Brooksville, Florida. Sergeant Ryan had served with the Cleveland Division of Police for 40 years. He was survived by his wife and son.",70,40 years,Not available,Automobile crash,"Friday, January 14, 1944",Cause: Automobile crash Location: Florida,Army Sergeant Patrick Ryan Carroll,100.0
https://www.odmp.org/officer/12781-patrolman-david-l-sterner,Patrolman David L. Sterner,"Patrolman David Sterner was killed in an automobile crash while pursuing a vehicle on State Route 15 south of Finley. When another vehicle pulled in front of his patrol car at State Route 37, he attempted to avoid a collision and struck a culvert. Patrolman Sterner had served with the Ohio State Highway Patrol for eight months. He was survived by his wife and parents.",22,8 months,1139/1506,Vehicle pursuit,"Sunday, February 25, 1973",Cause: Vehicle pursuit Weapon: Not available Offender: Not available,Patrolman David L. Sterner Memorial Interchange,100.0
https://www.odmp.org/officer/13300-patrolman-carl-l-shorty-thrush,"Patrolman Carl L. ""Shorty"" Thrush","Patrolman Carl Thrush was killed in an automobile crash on State Route 93 north of McArthur in Vinton County when his patrol car struck an ice patch, hit another car head-on, and went over an embankment. He was on his way to investigate another vehicle collision on Route 160 when the incident occurred. Patrolman Thrush had served with the Ohio State Highway Patrol for seven years, assigned to the Athens Post. He was survived by his wife and two sons.",30,"7 years, 8 months",20/1064,Automobile crash,"Sunday, February 6, 1972",Cause: Automobile crash,"Patrolman Carl ""Shorty"" Thrush",100.0
https://www.odmp.org/officer/13684-trooper-charles-v-vogel-jr,"Trooper Charles V. Vogel, Jr.","Trooper Charles Vogel was struck and killed by a vehicle while investigating a series of accidents at the junction of I-70 and US Route 68 in Clark County. The roadways were ice covered, causing another vehicle to strike him as he assisted victims on the median. Trooper Vogel had served with the Ohio State Highway Patrol for one year and was assigned to the Springfield Post. He was survived by his wife, child, and parents.",25,1 year,346/383,Struck by vehicle,"Thursday, January 24, 1980",Cause: Struck by vehicle,"Trooper Charles V. Vogel, Jr.",100.0
https://www.odmp.org/officer/14709-trooper-james-r-gross,Trooper James R. Gross,"Trooper James Gross was shot and killed during a traffic stop in Ashland on I-71. A truck driver had noticed a car driving erratically and contacted the police via CB. During the stop, Trooper Gross was shot once in his left arm. As he attempted to take cover, he slipped on the wet pavement and fell to the ground. The suspect shot him in the back as he lay on the ground. The round entered below his vest and traveled upwards through his torso. Other truckers who witnessed the shooting used their CB radios to notify authorities of the incident. The suspect was apprehended when he crashed into an embankment following a 29-mile chase. The ensuing investigation determined that the suspect had previously shot his mother in the foot. The 30-year-old suspect was initially sentenced to death. In 2005 his death sentence was commuted to life. He will be eligible for parole in June of 2044. Trooper Gross had served with the Ohio State Highway Patrol for 2 years. He was survived by his wife. A portion of Interstate 71 in Ashland County, between mileposts 189 and 191, has been dedicated and renamed the James R. Gross Memorial Highway.",27,2 years,Not available,Gunfire,"Friday, January 19, 1996",Cause: Gunfire Weapon: Handgun Offender: Sentence commuted to life,Trooper James R. Gross,100.0
https://www.odmp.org/officer/15414-police-officer-wayne-a-leon,Police Officer Wayne A. Leon,"Police Officer Wayne Leon was shot and killed during a routine traffic stop at East 40th Street and Community College. When Officer Leon exited his vehicle, the subject approached and shot Officer Leon in the face. Officer Leon was transported to a local hospital, where he passed away. The 29-year-old suspect escaped after being involved in a chase with other officers but was arrested later in the day. The man was on parole from a 10-year sentence for a 1995 attempted robbery conviction. He was found guilty of the aggravated murder of a police officer in November 2000 and sentenced to death. His execution is scheduled for 2028. Officer Leon had served with the Cleveland Police Department for six years. He is survived by his wife and three young children. A section of Lorain Avenue located in front of St. Ignatius High School was renamed the Officer Wayne Leon Memorial Highway.",32,6 years,1338,Gunfire,"Sunday, June 25, 2000",Cause: Gunfire Weapon: Handgun Offender: Sentenced to death,Wayne A. Leon,100.0
https://www.odmp.org/officer/15862-trooper-frank-galvan-vazquez,Trooper Frank Galvan Vazquez,"Trooper Frank Vazquez was killed when he was struck by a drunk driver while conducting a traffic stop on I-270 in Columbus, Ohio. He was standing outside of his vehicle when the drunk driver struck the rear of his patrol car. The patrol car and the suspect's vehicle collided with Trooper Vazquez and into the stopped vehicle. The 33-year-old drunk driver, convicted four times for drunk driving, was charged with aggravated vehicular homicide and drunk driving. On May 20, 2002, the driver was sentenced to 8 1/2 years in prison. He was released in December of 2009. On May 14, 2012, he was sent back to prison for 30 months for driving while his license was permanently revoked. Trooper Vazquez had served with the Ohio Highway Patrol for almost four years. He is survived by his wife and three young children.",26,4 years,975,Vehicular assault,"Tuesday, November 6, 2001","Cause: Vehicular assault Incident Date: Monday, November 5, 2001 Weapon: Automobile; Alcohol involved Offender: Released in 2009",Trooper Frank G. Vazquez,93.33333333333333
