odmp_officer_id,officer_name,odmp_url,source_count,source_locations
457,Officer Kevin Michael Burrell,https://www.odmp.org/officer/457-officer-kevin-michael-burrell,2,states/california/odmp_ca_officers.csv:89 | openclaw/states/california/odmp_ca_officers.csv:89
458,Officer James Wayne MacDonald,https://www.odmp.org/officer/458-officer-james-wayne-macdonald,2,states/california/odmp_ca_officers.csv:90 | openclaw/states/california/odmp_ca_officers.csv:90
475,"Patrolman Anthony B. ""Bud"" Burton",https://www.odmp.org/officer/475-patrolman-anthony-b-bud-burton,2,states/indiana/odmp_indiana_officers.csv:7 | openclaw/states/indiana/odmp_indiana_officers.csv:7
476,Reserve Officer Lonnie Edward Howard,https://www.odmp.org/officer/476-reserve-officer-lonnie-edward-howard,2,states/indiana/odmp_indiana_officers.csv:8 | openclaw/states/indiana/odmp_indiana_officers.csv:8
920,Officer Artie John Hubbard,https://www.odmp.org/officer/920-officer-artie-john-hubbard,2,states/california/odmp_ca_officers.csv:106 | openclaw/states/california/odmp_ca_officers.csv:106
1153,Officer George M. Alleyn,https://www.odmp.org/officer/1153-officer-george-m-alleyn,2,states/california/odmp_ca_officers.csv:6 | openclaw/states/california/odmp_ca_officers.csv:6
1207,Patrolman James H. Anderson,https://www.odmp.org/officer/1207-patrolman-james-h-anderson,2,states/montana/montana_matched_officers.csv:3 | openclaw/states/montana/montana_matched_officers.csv:3
3333,Detective Monty Lewis Conley,https://www.odmp.org/officer/3333-detective-monty-lewis-conley,2,states/california/odmp_ca_officers.csv:87 | openclaw/states/california/odmp_ca_officers.csv:87
5056,Officer Walter C. Frago,https://www.odmp.org/officer/5056-officer-walter-c-frago,2,states/california/odmp_ca_officers.csv:93 | openclaw/states/california/odmp_ca_officers.csv:93
5590,Officer Roger D. Gore,https://www.odmp.org/officer/5590-officer-roger-d-gore,2,states/california/odmp_ca_officers.csv:94 | openclaw/states/california/odmp_ca_officers.csv:94
5666,Deputy Sheriff David G. Graves,https://www.odmp.org/officer/5666-deputy-sheriff-david-g-graves,2,states/california/odmp_ca_officers.csv:95 | openclaw/states/california/odmp_ca_officers.csv:95
6311,Patrolman Richard E. Hedstrom,https://www.odmp.org/officer/6311-patrolman-richard-e-hedstrom,2,states/montana/montana_matched_officers.csv:11 | openclaw/states/montana/montana_matched_officers.csv:11
6700,Officer Harold E. Horine,https://www.odmp.org/officer/6700-officer-harold-e-horine,2,states/california/odmp_ca_officers.csv:98 | openclaw/states/california/odmp_ca_officers.csv:98
6906,Police Officer Richard Mason Hyche,https://www.odmp.org/officer/6906-police-officer-richard-mason-hyche,2,states/california/odmp_ca_officers.csv:99 | openclaw/states/california/odmp_ca_officers.csv:99
8132,Trooper Charles R. Lilly,https://www.odmp.org/officer/8132-trooper-charles-r-lilly,2,states/california/odmp_ca_officers.csv:101 | openclaw/states/california/odmp_ca_officers.csv:101
8141,Deputy Sheriff Steven Douglas Lindblom,https://www.odmp.org/officer/8141-deputy-sheriff-steven-douglas-lindblom,2,states/california/odmp_ca_officers.csv:102 | openclaw/states/california/odmp_ca_officers.csv:102
8641,Officer Johnny Ramirez Martinez,https://www.odmp.org/officer/8641-officer-johnny-ramirez-martinez,2,states/california/odmp_ca_officers.csv:104 | openclaw/states/california/odmp_ca_officers.csv:104
8776,Officer James E. McCabe,https://www.odmp.org/officer/8776-officer-james-e-mccabe,2,states/california/odmp_ca_officers.csv:105 | openclaw/states/california/odmp_ca_officers.csv:105
10674,Corporal John Lawrence Pierce,https://www.odmp.org/officer/10674-corporal-john-lawrence-pierce,2,states/california/odmp_ca_officers.csv:4 | openclaw/states/california/odmp_ca_officers.csv:4
11172,Patrolman Michael M. Ren,https://www.odmp.org/officer/11172-patrolman-michael-m-ren,2,states/montana/montana_matched_officers.csv:2 | openclaw/states/montana/montana_matched_officers.csv:2
12432,Policeman John Charles Smith,https://www.odmp.org/officer/12432-policeman-john-charles-smith,2,states/california/odmp_ca_officers.csv:11 | openclaw/states/california/odmp_ca_officers.csv:11
12739,Patrolman Robert G. Steele,https://www.odmp.org/officer/12739-patrolman-robert-g-steele,2,states/montana/montana_matched_officers.csv:4 | openclaw/states/montana/montana_matched_officers.csv:4
13259,Patrolman Neil G. Thompson,https://www.odmp.org/officer/13259-patrolman-neil-g-thompson,2,states/indiana/odmp_indiana_officers.csv:2 | openclaw/states/indiana/odmp_indiana_officers.csv:2
13720,Patrolman Anthony Wagner,https://www.odmp.org/officer/13720-patrolman-anthony-wagner,2,states/indiana/odmp_indiana_officers.csv:3 | openclaw/states/indiana/odmp_indiana_officers.csv:3
14034,Officer Larry L. Wetterling,https://www.odmp.org/officer/14034-officer-larry-l-wetterling,2,states/california/odmp_ca_officers.csv:15 | openclaw/states/california/odmp_ca_officers.csv:15
14722,Officer David Wayne Manning,https://www.odmp.org/officer/14722-officer-david-wayne-manning,2,states/california/odmp_ca_officers.csv:16 | openclaw/states/california/odmp_ca_officers.csv:16
14828,Officer James Douglas Schultz,https://www.odmp.org/officer/14828-officer-james-douglas-schultz,2,states/california/odmp_ca_officers.csv:18 | openclaw/states/california/odmp_ca_officers.csv:18
15031,Officer Scott Matthew Greenly,https://www.odmp.org/officer/15031-officer-scott-matthew-greenly,2,states/california/odmp_ca_officers.csv:21 | openclaw/states/california/odmp_ca_officers.csv:21
15032,Officer James John Rapozo,https://www.odmp.org/officer/15032-officer-james-john-rapozo,2,states/california/odmp_ca_officers.csv:22 | openclaw/states/california/odmp_ca_officers.csv:22
15101,Officer Christopher David Lydon,https://www.odmp.org/officer/15101-officer-christopher-david-lydon,2,states/california/odmp_ca_officers.csv:23 | openclaw/states/california/odmp_ca_officers.csv:23
15189,Officer Rick Charles Cromwell,https://www.odmp.org/officer/15189-officer-rick-charles-cromwell,2,states/california/odmp_ca_officers.csv:24 | openclaw/states/california/odmp_ca_officers.csv:24
15192,Deputy Sheriff John Paul Monego,https://www.odmp.org/officer/15192-deputy-sheriff-john-paul-monego,2,states/california/odmp_ca_officers.csv:25 | openclaw/states/california/odmp_ca_officers.csv:25
15452,Police Officer II Robert Joe Mata,https://www.odmp.org/officer/15452-police-officer-ii-robert-joe-mata,2,states/california/odmp_ca_officers.csv:27 | openclaw/states/california/odmp_ca_officers.csv:27
15468,Officer Sean Alexander Nava,https://www.odmp.org/officer/15468-officer-sean-alexander-nava,2,states/california/odmp_ca_officers.csv:28 | openclaw/states/california/odmp_ca_officers.csv:28
15856,"Police Officer Jerrold Joseph ""Jerry"" Wyss",https://www.odmp.org/officer/15856-police-officer-jerrold-joseph-jerry-wyss,2,states/indiana/odmp_indiana_officers.csv:4 | openclaw/states/indiana/odmp_indiana_officers.csv:4
16514,Reserve Deputy Deborah Jean Hobbs,https://www.odmp.org/officer/16514-reserve-deputy-deborah-jean-hobbs,2,states/montana/montana_matched_officers.csv:5 | openclaw/states/montana/montana_matched_officers.csv:5
17068,Trooper Scott Alan Patrick,https://www.odmp.org/officer/17068-trooper-scott-alan-patrick,2,states/indiana/odmp_indiana_officers.csv:5 | openclaw/states/indiana/odmp_indiana_officers.csv:5
17875,Officer David Marin Romero,https://www.odmp.org/officer/17875-officer-david-marin-romero,2,states/california/odmp_ca_officers.csv:42 | openclaw/states/california/odmp_ca_officers.csv:42
17906,"Deputy Sheriff Daniel Jess Lobo, Jr.",https://www.odmp.org/officer/17906-deputy-sheriff-daniel-jess-lobo-jr,2,states/california/odmp_ca_officers.csv:43 | openclaw/states/california/odmp_ca_officers.csv:43
18147,Officer Earl Harwood Scott,https://www.odmp.org/officer/18147-officer-earl-harwood-scott,2,states/california/odmp_ca_officers.csv:45 | openclaw/states/california/odmp_ca_officers.csv:45
18179,Officer John Bailey,https://www.odmp.org/officer/18179-officer-john-bailey,2,states/california/odmp_ca_officers.csv:46 | openclaw/states/california/odmp_ca_officers.csv:46
18965,Officer Douglas Scott Russell,https://www.odmp.org/officer/18965-officer-douglas-scott-russell,2,states/california/odmp_ca_officers.csv:48 | openclaw/states/california/odmp_ca_officers.csv:48
19026,Trooper David A. Graham,https://www.odmp.org/officer/19026-trooper-david-a-graham,2,states/montana/montana_matched_officers.csv:6 | openclaw/states/montana/montana_matched_officers.csv:6
20418,Officer Thomas Philip Coleman,https://www.odmp.org/officer/20418-officer-thomas-philip-coleman,2,states/california/odmp_ca_officers.csv:54 | openclaw/states/california/odmp_ca_officers.csv:54
20576,Trooper David James DeLaittre,https://www.odmp.org/officer/20576-trooper-david-james-delaittre,2,states/montana/montana_matched_officers.csv:7 | openclaw/states/montana/montana_matched_officers.csv:7
20744,Officer Thomas Richard Adams,https://www.odmp.org/officer/20744-officer-thomas-richard-adams,2,states/california/odmp_ca_officers.csv:55 | openclaw/states/california/odmp_ca_officers.csv:55
21164,Officer Robert James Quirk,https://www.odmp.org/officer/21164-officer-robert-james-quirk,2,states/california/odmp_ca_officers.csv:57 | openclaw/states/california/odmp_ca_officers.csv:57
21763,Sergeant Gilbert Cortez,https://www.odmp.org/officer/21763-sergeant-gilbert-cortez,2,states/california/odmp_ca_officers.csv:61 | openclaw/states/california/odmp_ca_officers.csv:61
21943,Officer Brian Mitchio Law,https://www.odmp.org/officer/21943-officer-brian-mitchio-law,2,states/california/odmp_ca_officers.csv:64 | openclaw/states/california/odmp_ca_officers.csv:64
21944,Officer Juan Jaime Gonzalez,https://www.odmp.org/officer/21944-officer-juan-jaime-gonzalez,2,states/california/odmp_ca_officers.csv:65 | openclaw/states/california/odmp_ca_officers.csv:65
22068,Police Officer II Roberto Carlos Sanchez,https://www.odmp.org/officer/22068-police-officer-ii-roberto-carlos-sanchez,2,states/california/odmp_ca_officers.csv:67 | openclaw/states/california/odmp_ca_officers.csv:67
22255,"Deputy Sheriff Yevhen ""Eugene"" Kostiuchenko",https://www.odmp.org/officer/22255-deputy-sheriff-yevhen-eugene-kostiuchenko,2,states/california/odmp_ca_officers.csv:69 | openclaw/states/california/odmp_ca_officers.csv:69
22547,Sergeant Scott Paul Lunger,https://www.odmp.org/officer/22547-sergeant-scott-paul-lunger,2,states/california/odmp_ca_officers.csv:71 | openclaw/states/california/odmp_ca_officers.csv:71
22751,Deputy Sheriff Scott Alfred Ballantyne,https://www.odmp.org/officer/22751-deputy-sheriff-scott-alfred-ballantyne,2,states/california/odmp_ca_officers.csv:72 | openclaw/states/california/odmp_ca_officers.csv:72
22990,Police Officer Lesley Marie Zerebny,https://www.odmp.org/officer/22990-police-officer-lesley-marie-zerebny,2,states/california/odmp_ca_officers.csv:73 | openclaw/states/california/odmp_ca_officers.csv:73
23123,Officer Lucas Forrest Chellew,https://www.odmp.org/officer/23123-officer-lucas-forrest-chellew,2,states/california/odmp_ca_officers.csv:77 | openclaw/states/california/odmp_ca_officers.csv:77
23588,,https://www.odmp.org/officer/23588-sergeant-mujahid-abdul-mumin-ramzziddin,2,states/maryland/MDOT_Dedications_View_5446950756783444293.csv:254 | openclaw/states/maryland/MDOT_Dedications_View_5446950756783444293.csv:254
23746,Officer Kirk Anthony Griess,https://www.odmp.org/officer/23746-officer-kirk-anthony-griess,2,states/california/odmp_ca_officers.csv:79 | openclaw/states/california/odmp_ca_officers.csv:79
24081,Sergeant Steven Lawrence Licon,https://www.odmp.org/officer/24081-sergeant-steven-lawrence-licon,2,states/california/odmp_ca_officers.csv:82 | openclaw/states/california/odmp_ca_officers.csv:82
24187,"Officer Andre Maurice Moye, Jr.",https://www.odmp.org/officer/24187-officer-andre-maurice-moye-jr,2,states/california/odmp_ca_officers.csv:83 | openclaw/states/california/odmp_ca_officers.csv:83
25898,Town Marshal Anthony Wayne Hinshaw,https://www.odmp.org/officer/25898-town-marshal-anthony-wayne-hinshaw,2,states/indiana/odmp_indiana_officers.csv:6 | openclaw/states/indiana/odmp_indiana_officers.csv:6
