odmp_officer_id,officer_name,matched_input_name,state,highway_name,odmp_url,target_row_has_odmp,match_confidence,match_reason,source_locations
457,Officer Kevin Michael Burrell,Kevin Michael Burrell,California,Kevin Michael Burrell and James Wayne MacDonald Memorial Highway,https://www.odmp.org/officer/457-officer-kevin-michael-burrell,no,manual,user provided mapping,states/california/odmp_ca_officers.csv:89 | openclaw/states/california/odmp_ca_officers.csv:89
458,Officer James Wayne MacDonald,James Wayne Macdonald,California,Kevin Michael Burrell and James Wayne MacDonald Memorial Highway,https://www.odmp.org/officer/458-officer-james-wayne-macdonald,no,manual,user provided mapping,states/california/odmp_ca_officers.csv:90 | openclaw/states/california/odmp_ca_officers.csv:90
920,Officer Artie John Hubbard,Artie J Hubbard,California,CHP Officer Artie J. Hubbard Memorial Freeway,https://www.odmp.org/officer/920-officer-artie-john-hubbard,no,high,auto score=200,states/california/odmp_ca_officers.csv:106 | openclaw/states/california/odmp_ca_officers.csv:106
1153,Officer George M. Alleyn,George M Alleyn,California,"California Highway Patrol Officers James E. Pence, Jr., Roger D. Gore, Walter C. Frago, and George M. Alleyn Memorial Highway",https://www.odmp.org/officer/1153-officer-george-m-alleyn,yes,manual,user provided mapping,states/california/odmp_ca_officers.csv:6 | openclaw/states/california/odmp_ca_officers.csv:6
3333,Detective Monty Lewis Conley,Monty L Conley,California,Detective Monty L. Conley and Detective Joe R. Landin Memorial Highway,https://www.odmp.org/officer/3333-detective-monty-lewis-conley,no,manual,user provided mapping,states/california/odmp_ca_officers.csv:87 | openclaw/states/california/odmp_ca_officers.csv:87
5056,Officer Walter C. Frago,Walter C Frago,California,"California Highway Patrol Officers James E. Pence, Jr., Roger D. Gore, Walter C. Frago, and George M. Alleyn Memorial Highway",https://www.odmp.org/officer/5056-officer-walter-c-frago,yes,manual,user provided mapping,states/california/odmp_ca_officers.csv:93 | openclaw/states/california/odmp_ca_officers.csv:93
5590,Officer Roger D. Gore,Roger Gore,California,"California Highway Patrol Officers James E. Pence, Jr., Roger D. Gore, Walter C. Frago, and George M. Alleyn Memorial Highway",https://www.odmp.org/officer/5590-officer-roger-d-gore,yes,manual,user provided mapping,states/california/odmp_ca_officers.csv:94 | openclaw/states/california/odmp_ca_officers.csv:94
5666,Deputy Sheriff David G. Graves,David G Graves,California,Deputy David G. Graves Memorial Freeway,https://www.odmp.org/officer/5666-deputy-sheriff-david-g-graves,no,manual,user provided mapping,states/california/odmp_ca_officers.csv:95 | openclaw/states/california/odmp_ca_officers.csv:95
6700,Officer Harold E. Horine,Harold E Horine,California,CHP Officers Harold E. Horine and Bill Leiphardt Memorial Highway,https://www.odmp.org/officer/6700-officer-harold-e-horine,no,manual,user provided mapping,states/california/odmp_ca_officers.csv:98 | openclaw/states/california/odmp_ca_officers.csv:98
6906,Police Officer Richard Mason Hyche,Richard Hyche,California,Officer Richard Hyche Memorial Freeway,https://www.odmp.org/officer/6906-police-officer-richard-mason-hyche,no,manual,user provided mapping,states/california/odmp_ca_officers.csv:99 | openclaw/states/california/odmp_ca_officers.csv:99
8132,Trooper Charles R. Lilly,Charles Lilly,California,CHP Officer Charles Lilly Memorial Highway,https://www.odmp.org/officer/8132-trooper-charles-r-lilly,no,manual,user provided mapping,states/california/odmp_ca_officers.csv:101 | openclaw/states/california/odmp_ca_officers.csv:101
8141,Deputy Sheriff Steven Douglas Lindblom,Steven Lindblom,California,Steven Lindblom Memorial Freeway,https://www.odmp.org/officer/8141-deputy-sheriff-steven-douglas-lindblom,no,manual,user provided mapping,states/california/odmp_ca_officers.csv:102 | openclaw/states/california/odmp_ca_officers.csv:102
8641,Officer Johnny Ramirez Martinez,Johnny R Martinez,California,CHP Officer Johnny R. Martinez Memorial Highway,https://www.odmp.org/officer/8641-officer-johnny-ramirez-martinez,no,manual,user provided mapping,states/california/odmp_ca_officers.csv:104 | openclaw/states/california/odmp_ca_officers.csv:104
8776,Officer James E. McCabe,James E Mccabe,California,"CHP Officers Gayle W. Wood, Jr and James E. McCabe Memorial Highway",https://www.odmp.org/officer/8776-officer-james-e-mccabe,no,high,auto score=270,states/california/odmp_ca_officers.csv:105 | openclaw/states/california/odmp_ca_officers.csv:105
10674,Corporal John Lawrence Pierce,John Pierce,California,Detectives Mike Lane and John Pierce Memorial Highway,https://www.odmp.org/officer/10674-corporal-john-lawrence-pierce,no,high,auto score=200,states/california/odmp_ca_officers.csv:4 | openclaw/states/california/odmp_ca_officers.csv:4
12432,Policeman John Charles Smith,Charles T Smith,California,CHP Officer Charles T. Smith Memorial Highway,https://www.odmp.org/officer/12432-policeman-john-charles-smith,no,high,auto score=200,states/california/odmp_ca_officers.csv:11 | openclaw/states/california/odmp_ca_officers.csv:11
14034,Officer Larry L. Wetterling,Larry L Wetterling,California,"CHP Officer Larry L. Wetterling and San Bernardino County Sheriff’s Lieutenant Alfred E.
Stewart Memorial Highway",https://www.odmp.org/officer/14034-officer-larry-l-wetterling,no,high,auto score=270,states/california/odmp_ca_officers.csv:15 | openclaw/states/california/odmp_ca_officers.csv:15
14722,Officer David Wayne Manning,David W Manning,California,CHP Officer David W. Manning Memorial Freeway,https://www.odmp.org/officer/14722-officer-david-wayne-manning,no,high,auto score=200,states/california/odmp_ca_officers.csv:16 | openclaw/states/california/odmp_ca_officers.csv:16
14828,Officer James Douglas Schultz,James D Schultz,California,James D. Schultz Memorial Freeway,https://www.odmp.org/officer/14828-officer-james-douglas-schultz,no,high,auto score=200,states/california/odmp_ca_officers.csv:18 | openclaw/states/california/odmp_ca_officers.csv:18
15031,Officer Scott Matthew Greenly,Scott M Greenly,California,CHP Officer Scott M. Greenly Memorial Freeway,https://www.odmp.org/officer/15031-officer-scott-matthew-greenly,no,high,auto score=200,states/california/odmp_ca_officers.csv:21 | openclaw/states/california/odmp_ca_officers.csv:21
15032,Officer James John Rapozo,James Rapozo,California,Officer James Rapozo Memorial Freeway,https://www.odmp.org/officer/15032-officer-james-john-rapozo,no,high,auto score=200,states/california/odmp_ca_officers.csv:22 | openclaw/states/california/odmp_ca_officers.csv:22
15101,Officer Christopher David Lydon,Christopher D Lydon,California,CHP Officer Christopher D. Lydon Memorial Freeway,https://www.odmp.org/officer/15101-officer-christopher-david-lydon,no,high,auto score=200,states/california/odmp_ca_officers.csv:23 | openclaw/states/california/odmp_ca_officers.csv:23
15189,Officer Rick Charles Cromwell,Rick Charles Cromwell,California,Officer Rick Charles Cromwell Memorial Freeway,https://www.odmp.org/officer/15189-officer-rick-charles-cromwell,no,high,auto score=270,states/california/odmp_ca_officers.csv:24 | openclaw/states/california/odmp_ca_officers.csv:24
