state,highway_name,officer_id,officer_name,old_odmp_url,new_odmp_url
California,Kevin Michael Burrell and James Wayne MacDonald Memorial Highway,457,Officer Kevin Michael Burrell,,https://www.odmp.org/officer/457-officer-kevin-michael-burrell
California,CHP Officer Artie J. Hubbard Memorial Freeway,920,Officer Artie John Hubbard,,https://www.odmp.org/officer/920-officer-artie-john-hubbard
California,Detective Monty L. Conley and Detective Joe R. Landin Memorial Highway,3333,Detective Monty Lewis Conley,,https://www.odmp.org/officer/3333-detective-monty-lewis-conley
California,Deputy David G. Graves Memorial Freeway,5666,Deputy Sheriff David G. Graves,,https://www.odmp.org/officer/5666-deputy-sheriff-david-g-graves
California,CHP Officers Harold E. Horine and Bill Leiphardt Memorial Highway,6700,Officer Harold E. Horine,,https://www.odmp.org/officer/6700-officer-harold-e-horine
California,Officer Richard Hyche Memorial Freeway,6906,Police Officer Richard Mason Hyche,,https://www.odmp.org/officer/6906-police-officer-richard-mason-hyche
California,CHP Officer Charles Lilly Memorial Highway,8132,Trooper Charles R. Lilly,,https://www.odmp.org/officer/8132-trooper-charles-r-lilly
California,Steven Lindblom Memorial Freeway,8141,Deputy Sheriff Steven Douglas Lindblom,,https://www.odmp.org/officer/8141-deputy-sheriff-steven-douglas-lindblom
California,CHP Officer Johnny R. Martinez Memorial Highway,8641,Officer Johnny Ramirez Martinez,,https://www.odmp.org/officer/8641-officer-johnny-ramirez-martinez
California,"CHP Officers Gayle W. Wood, Jr and James E. McCabe Memorial Highway",8776,Officer James E. McCabe,,https://www.odmp.org/officer/8776-officer-james-e-mccabe
California,Detectives Mike Lane and John Pierce Memorial Highway,10674,Corporal John Lawrence Pierce,,https://www.odmp.org/officer/10674-corporal-john-lawrence-pierce
California,CHP Officer Charles T. Smith Memorial Highway,12432,Policeman John Charles Smith,,https://www.odmp.org/officer/12432-policeman-john-charles-smith
California,"CHP Officer Larry L. Wetterling and San Bernardino County Sheriff’s Lieutenant Alfred E.
Stewart Memorial Highway",14034,Officer Larry L. Wetterling,,https://www.odmp.org/officer/14034-officer-larry-l-wetterling
California,CHP Officer David W. Manning Memorial Freeway,14722,Officer David Wayne Manning,,https://www.odmp.org/officer/14722-officer-david-wayne-manning
California,James D. Schultz Memorial Freeway,14828,Officer James Douglas Schultz,,https://www.odmp.org/officer/14828-officer-james-douglas-schultz
California,CHP Officer Scott M. Greenly Memorial Freeway,15031,Officer Scott Matthew Greenly,,https://www.odmp.org/officer/15031-officer-scott-matthew-greenly
California,Officer James Rapozo Memorial Freeway,15032,Officer James John Rapozo,,https://www.odmp.org/officer/15032-officer-james-john-rapozo
California,CHP Officer Christopher D. Lydon Memorial Freeway,15101,Officer Christopher David Lydon,,https://www.odmp.org/officer/15101-officer-christopher-david-lydon
California,Officer Rick Charles Cromwell Memorial Freeway,15189,Officer Rick Charles Cromwell,,https://www.odmp.org/officer/15189-officer-rick-charles-cromwell
California,Officer John Paul Monego Memorial Freeway,15192,Deputy Sheriff John Paul Monego,,https://www.odmp.org/officer/15192-deputy-sheriff-john-paul-monego
California,Officer Robert Joe Mata and Officer Roberto C. Sanchez Memorial Highway,15452,Police Officer II Robert Joe Mata,,https://www.odmp.org/officer/15452-police-officer-ii-robert-joe-mata
California,CHP Officer Sean Nava Memorial Freeway,15468,Officer Sean Alexander Nava,,https://www.odmp.org/officer/15468-officer-sean-alexander-nava
California,CHP Officer David M. Romero Memorial Highway,17875,Officer David Marin Romero,,https://www.odmp.org/officer/17875-officer-david-marin-romero
California,"Sheriff’s Deputies Ronald Wayne Ives and Daniel Jess Lobo, Jr., Memorial Highway",17906,"Deputy Sheriff Daniel Jess Lobo, Jr.",,https://www.odmp.org/officer/17906-deputy-sheriff-daniel-jess-lobo-jr
California,CHP Officer Earl Scott Memorial Highway,18147,Officer Earl Harwood Scott,,https://www.odmp.org/officer/18147-officer-earl-harwood-scott
California,CHP Officer John Bailey Memorial Freeway,18179,Officer John Bailey,,https://www.odmp.org/officer/18179-officer-john-bailey
California,CHP Officer Douglas “Scott” Russell Memorial Freeway,18965,Officer Douglas Scott Russell,,https://www.odmp.org/officer/18965-officer-douglas-scott-russell
California,CHP Officer Thomas P. Coleman Memorial Highway,20418,Officer Thomas Philip Coleman,,https://www.odmp.org/officer/20418-officer-thomas-philip-coleman
California,CHP Officer Thomas R. Adams Memorial Highway,20744,Officer Thomas Richard Adams,,https://www.odmp.org/officer/20744-officer-thomas-richard-adams
California,CHP Officer Robert J. Quirk Memorial Highway,21164,Officer Robert James Quirk,,https://www.odmp.org/officer/21164-officer-robert-james-quirk
California,Sergeant Gilbert Cortez and K-9 Mattie Memorial Highway,21763,Sergeant Gilbert Cortez,,https://www.odmp.org/officer/21763-sergeant-gilbert-cortez
California,CHP Officers Brian Law and Juan Gonzalez Memorial Highway,21943,Officer Brian Mitchio Law,,https://www.odmp.org/officer/21943-officer-brian-mitchio-law
California,"Deputy Sheriff Yevhen ""Eugene"" Kostiuchenko Memorial Highway",22255,"Deputy Sheriff Yevhen ""Eugene"" Kostiuchenko",,https://www.odmp.org/officer/22255-deputy-sheriff-yevhen-eugene-kostiuchenko
California,Police Sergeant Scott Lunger Memorial Highway,22547,Sergeant Scott Paul Lunger,,https://www.odmp.org/officer/22547-sergeant-scott-paul-lunger
California,Deputy Sheriff Scott Ballantyne and Sheriff Pilot James Chavez Memorial Highway,22751,Deputy Sheriff Scott Alfred Ballantyne,,https://www.odmp.org/officer/22751-deputy-sheriff-scott-alfred-ballantyne
California,Police Officer Jose “Gil” Vega and Police Officer Lesley Zerebny Memorial Highway,22990,Police Officer Lesley Marie Zerebny,,https://www.odmp.org/officer/22990-police-officer-lesley-marie-zerebny
California,CHP Officer Lucas F. Chellew Memorial Highway,23123,Officer Lucas Forrest Chellew,,https://www.odmp.org/officer/23123-officer-lucas-forrest-chellew
