route,name,ref,fclass,code,osm_id,memorial_status,oneway,maxspeed,layer,bridge,tunnel
Martin Luther King Drive,Martin Luther King Drive,,residential,5122,6199159,Possible Memorial Designation,B,0,0,F,F
US 31,South Memorial Drive,US 31,primary,5113,6199493,Possible Memorial Designation,F,0,0,F,F
US 31,North Memorial Drive,US 31,primary,5113,6201449,Possible Memorial Designation,B,0,0,F,F
Fallen Tree Court,Fallen Tree Court,,residential,5122,6220473,Possible Memorial Designation,B,0,0,F,F
Memorial Avenue,Memorial Avenue,,residential,5122,6221805,Possible Memorial Designation,B,0,0,F,F
Veterans Road,Veterans Road,,residential,5122,6226677,Possible Memorial Designation,B,0,0,F,F
Miller Memorial Cemetary Road,Miller Memorial Cemetary Road,,residential,5122,6227976,Possible Memorial Designation,B,0,0,F,F
Veterans Drive,Veterans Drive,,tertiary,5115,6229167,Possible Memorial Designation,B,56,0,F,F
Martin Luther King Lane,Martin Luther King Lane,,residential,5122,6236184,Possible Memorial Designation,B,0,0,F,F
Mlk Drive,Mlk Drive,,residential,5122,6238724,Possible Memorial Designation,B,0,0,F,F
US 29 Truck,South Martin Luther King Boulevard,US 29 Truck,primary,5113,6243898,Possible Memorial Designation,B,0,0,F,F
US 29,Martin Luther King Boulevard North,US 29,primary,5113,6244003,Possible Memorial Designation,B,0,0,F,F
US 29 Truck,Martin Luther King Boulevard South,US 29 Truck,primary,5113,6244037,Possible Memorial Designation,B,0,0,F,F
US 29 Truck,Martin Luther King Boulevard,US 29 Truck,primary,5113,6244172,Possible Memorial Designation,B,0,0,F,F
Fallen Lane,Fallen Lane,,residential,5122,6250143,Possible Memorial Designation,B,0,0,F,F
Memorial Drive,Memorial Drive,,unclassified,5121,6258636,Possible Memorial Designation,B,0,0,F,F
AL 50,Veterans Memorial Parkway,AL 50,secondary,5114,6259167,Possible Memorial Designation,B,0,0,F,F
Halls Memorial Circle,Halls Memorial Circle,,residential,5122,6259641,Possible Memorial Designation,B,0,0,F,F
Martin Luther King Jr Street,Martin Luther King Jr Street,,residential,5122,6269038,Possible Memorial Designation,B,0,0,F,F
Memorial Park Road,Memorial Park Road,,residential,5122,6272023,Possible Memorial Designation,B,0,0,F,F
AL 48,Coach Jack Stewart Memorial Highway,AL 48,secondary,5114,6275264,Possible Memorial Designation,B,0,0,F,F
B J Memorial Drive,B J Memorial Drive,,residential,5122,6283982,Possible Memorial Designation,B,0,0,F,F
Frank Ledbetter Memorial Drive,Frank Ledbetter Memorial Drive,,tertiary,5115,6295599,Possible Memorial Designation,B,56,0,F,F
Martin Luther King Jr Road,Martin Luther King Jr Road,,residential,5122,6303954,Possible Memorial Designation,B,0,0,F,F
Martin Luther King Jr Drive,Martin Luther King Jr Drive,,residential,5122,6314619,Possible Memorial Designation,B,0,0,F,F
Veterans Shores,Veterans Shores,,residential,5122,6636211,Possible Memorial Designation,B,0,0,F,F
Veterans Boulevard,Veterans Boulevard,,secondary,5114,6636503,Possible Memorial Designation,F,56,0,F,F
Memorial Lane,Memorial Lane,,track,5142,7427535,Possible Memorial Designation,B,0,0,F,F
North Martin Luther King Street,North Martin Luther King Street,,residential,5122,7439092,Possible Memorial Designation,B,0,0,F,F
US 84;US 331,Veterans Memorial Parkway,US 84;US 331,trunk,5112,7454907,Possible Memorial Designation,F,0,0,F,F
US 29;US 84,Martin Luther King Junior Expressway,US 29;US 84,trunk,5112,7467268,Possible Memorial Designation,B,0,0,F,F
Martin Luther King Street,Martin Luther King Street,,residential,5122,7476527,Possible Memorial Designation,B,0,0,F,F
Martin Luther King Jr Avenue,Martin Luther King Jr Avenue,,residential,5122,7594391,Possible Memorial Designation,B,0,0,F,F
"Martin Luther King, Junior Avenue","Martin Luther King, Junior Avenue",,residential,5122,7594409,Possible Memorial Designation,B,0,0,F,F
Vaughan Memorial Drive,Vaughan Memorial Drive,,residential,5122,7603286,Possible Memorial Designation,B,0,0,F,F
Memorial Street,Memorial Street,,residential,5122,7643382,Possible Memorial Designation,B,0,0,F,F
Memorial Park Circle,Memorial Park Circle,,residential,5122,7648351,Possible Memorial Designation,B,0,0,F,F
Fallen Pines Drive,Fallen Pines Drive,,residential,5122,7656783,Possible Memorial Designation,B,0,0,F,F
Stallworth Memorial Drive,Stallworth Memorial Drive,,residential,5122,7659070,Possible Memorial Designation,B,0,0,F,F
Martin Luther King Junior Drive,Martin Luther King Junior Drive,,unclassified,5121,7659168,Possible Memorial Designation,B,0,0,F,F
Bergen Memorial Cemetery Pine,Bergen Memorial Cemetery Pine,,residential,5122,7660163,Possible Memorial Designation,B,0,0,F,F
