input_name,wikidata_id,matched_label,matched_description,search_match_label,search_match_description,aliases,birth_date,death_date,occupation_ids,country_ids,gender_ids
Martin Luther King Jr,Q8027,Martin Luther King Jr.,American Baptist minister and civil rights leader (1929–1968),Martin Luther King Jr.,American Baptist minister and civil rights leader (1929–1968),,+1929-01-15T00:00:00Z,+1968-04-04T00:00:00Z,Q152002; Q432386; Q1021386; Q1476215; Q16323111; Q16003550; Q36180; Q82955; Q6051619; Q15995642,Q30,Q6581097
Miller Cemetary,,,,,,,,,,,
Coach Jack Stewart,,,,,,,,,,,
Frank Ledbetter,,,,,,,,,,,
Chucky Mullins,Q5115890,Chucky Mullins,Player of American football (1969-1991),Chucky Mullins,Player of American football (1969-1991),,+1969-07-08T00:00:00Z,+1991-05-06T00:00:00Z,Q19204627,Q30,Q6581097
Henry E. Hamilton,,,,,,,,,,,
Medal Of,Q203535,Medal of Honor,highest award for valor by an individual serving in the Armed Forces of the United States,Medal of Honor,highest award for valor by an individual serving in the Armed Forces of the United States,MOH; The Medal of Honor; Congressional Medal of Honor,,,,,
Charlie Holifield,,,,,,,,,,,
Alberta Fuller,,,,,,,,,,,
Ira Hanks,,,,,,,,,,,
Stephen J White,Q43373154,Stephen J White,researcher (ORCID 0000-0003-0090-6358),Stephen J White,researcher (ORCID 0000-0003-0090-6358),Stephen White,,,Q1650915,,Q6581097
Richard L. Platt,,,,,,,,,,,
Thomas Bible,,,,,,,,,,,
Victor Birch,,,,,,,,,,,
