_id,highway_name,route_no,district,how_named,from_location,to_location,commemorative_keyword,person_named,keep,flag_reason
1,“Farm-to-Fork Corridor”,99,3,"ACR 44, CH 107, 2019",Junction with State Route 70 around (PM R8.109),Garden Highway UC# 18-25 (PM 11.975),False,False,False,no commemorative keyword or person-name heuristic match
7,Aerospace Highway,14,"7, 6","ACR 119, CH 83, 2002",Pearblossom Highway,Route 395,False,False,False,no commemorative keyword or person-name heuristic match
9,All America City Highway,65,6,"ACR 47, CH 41, 1996",Route 99,Route 198,False,False,False,no commemorative keyword or person-name heuristic match
10,Alpine State Highway,"88, 89, 4",10,"CH 468, 1911",Jackson,"Calaveras Big Trees, via Markleeville",False,False,False,no commemorative keyword or person-name heuristic match
13,Antelope Valley Freeway ,14,7,"ACR 57, CH 196, 1957",I-5 south of Newhall,Avenue D north of Lancaster,False,False,False,no commemorative keyword or person-name heuristic match
18,Arroyo Seco Parkway,110,7,Streets & Highways Code Section 283,Post Mile 25.7,Post Mile 31.9,False,False,False,no commemorative keyword or person-name heuristic match
19,Artesia Freeway,91,"7, 12","ACR 80, CH 148, 1970",I-710,I-5 in Fullerton,False,False,False,no commemorative keyword or person-name heuristic match
20,Avenue of the Giants,254,1,"ACR 10, CH 36, 1960",Sylvandale,south of Jordan Creek,False,False,False,no commemorative keyword or person-name heuristic match
21,Avocado Highway,15,"11, 8","SCR 9, CH 62, 1997",Route 78 in Escondido,Temecula,False,False,False,no commemorative keyword or person-name heuristic match
27,Bakersfield All-America City Freeway,99,6,"SCR 55, CH 39, 1992",I-5,Southern point of McFarland Avenue,False,False,False,no commemorative keyword or person-name heuristic match
33,Barstow Freeway,"215, 15",8,"By Commission, 11/20/1958",Highland Avenue in San Bernardino,Nevada State Line,False,False,False,no commemorative keyword or person-name heuristic match
35,Bayshore Freeway,101,4,By Location,Route 82 in San Jose,I-80 in San Francisco,False,False,False,no commemorative keyword or person-name heuristic match
