highway_name,route_no,district,how_named,from_location,to_location,commemorative_keyword,person_named,keep,name_norm
10th Mountain Division Memorial Highway,89,3,"SCR 43, CH 106, 1997",Tahoe City,City of Truckee,True,False,True,10th mountain division memorial highway
100th Infantry Battalion Memorial Highway,99,6,"ACR 62, CH 115, 1994",City of Fresno,City of Madera,True,False,True,100th infantry battalion memorial highway
442nd Regimental Combat Team Memorial Highway,99,10,"ACR 62, CH 115, 1994","Salida, northwest of Modesto",City of Manteca,True,False,True,442nd regimental combat team memorial highway
Katcho Achadjian Memorial Highway,101,5,"SCR 31, CH 137, 2023","JCT RTE 227, N. SEP# 49-176 (PM 13.173)",JCT RTE 1 EB# 49-184 (PM 17.767),True,True,True,katcho achadjian memorial highway
CHP Officer Thomas R. Adams Memorial Highway,101,1,"ACR 76, CH 114, 2011",State Highway 271 - PM R101.895,S Fork Eel River #10-218 - PM R106.574,True,True,True,chp officer thomas r adams memorial highway
"Ventura County Deputy Sheriff Peter Aguirre, Jr. Memorial Highway",33,7,"ACR 142, CH 83, 2016",East junction of Route 33/150 at (PM 11.210) ,La Luna Avenue / Fairview Road (PM 12.800),True,False,True,ventura county deputy sheriff peter aguirre jr memorial highway
America’s Heroes-Veterans Memorial Highway,49,10,"ACR 165, CH 125, 2016",Valley View Way (PM R7.298),Amador Creek BB #26-0043 (PM R10.576),True,False,True,americas heroes veterans memorial highway
Glenn Anderson Freeway,105,7,"SCR 34, CH 83, 1987",Route 1,I-605,False,True,True,glenn anderson freeway
Signal Hill Police Officer Anthony “Tony” Giniewicz Memorial Highway,405,7,"SCR 84, CH 89, 2014",Cherry Avenue South OC# 53-1200 - PM 4.879,Atlantic Avenue OC# 53-1204 - PM 6.076,True,False,True,signal hill police officer anthony tony giniewicz memorial highway
Jimmy A. Arevalo Memorial Highway,8,11,"ACR 51, CH 65, 2013",11-SD-8 PM R27.30,11-SD-8 PM R28.46,True,True,True,jimmy a arevalo memorial highway
"CHP Officer John ""Jack"" Armatoski Memorial Highway",40,8,"ACR 100, CH 109, 2012",West Park Road OC# 54-702 - PM R139.117,Needles Overhead OH# 54-813 R/L - PM R141.972,True,True,True,chp officer john jack armatoski memorial highway
Armed Forces Freeway,215,8,"ACR 22, CH 106, 2007",Ramona Expressway,Route 60,True,True,True,armed forces freeway
Jeffrey Lynn Azuar Memorial Highway,80,4,"SCR 85, CH 155, 2000",The Carquinez Bridge,Columbus Parkway,True,True,True,jeffrey lynn azuar memorial highway
William T. Bagley Freeway,101,4,"SCR 46, CH 111, 1987",Waldo Tunnel in Sausalito,I-580 in San Rafael,False,True,True,william t bagley freeway
Esteban Bahena Memorial Highway,63,11,"SCR 122, CH 132, 2010",Washington Street,Route 8,True,True,True,esteban bahena memorial highway
CHP Officer John Bailey Memorial Freeway,15,8,"SCR 119, CH 113, 2008",I-10,I-210,True,True,True,chp officer john bailey memorial freeway
California Corrections Youth Authority Counselor Ineasie M. Baker Memorial Freeway,60,8,"ACR 63, CH 115, 2005",South Milliken Avenue,South Euclid Avenue,True,False,True,california corrections youth authority counselor ineasie m baker memorial freeway
"Bakersfield, Maricopa and Ventura Highway","33, 119","5, 6, 7","CH 610, 1913",Ventura,Bakersfield,False,True,True,bakersfield maricopa and ventura highway
Deputy Sheriff Scott Ballantyne and Sheriff Pilot James Chavez Memorial Highway,190,6,"ACR 169, CH 146, 2018",Just South of HQ Drive (Postmile 22.530),Pleasant Oak Drive (Postmile 26.540),True,True,True,deputy sheriff scott ballantyne and sheriff pilot james chavez memorial highway
United States Army Chief Warrant Officer 2 Edward Balli Memorial Highway,183,5,"SCR 57, CH 21 2018",Davis Road OC (PM R1.914),Espinosa Road (PM R7.651),True,False,True,united states army chief warrant officer 2 edward balli memorial highway
Staff Sergeant Ricardo “Ricky” Barraza Memorial Highway ,43,6,"ACR 70, CH 134, 2017",East Los Angeles Street (PM 15.830),Fresno Avenue (PM 17.966),True,True,True,staff sergeant ricardo ricky barraza memorial highway
Abiel Barron Memorial Highway,138,7,"ACR 5, CH 64, 2005",Lone Pine Canyon ,Kruse Road,True,True,True,abiel barron memorial highway
Gunnery Sergeant John Basilone Memorial Freeway,5,11,"SCR 25, CH 72, 1999",Camp Pendleton main gate,Basilone Road exit,True,True,True,gunnery sergeant john basilone memorial freeway
"Officer Bill C. Bean, Jr. Memorial Highway",174,3,"ACR 68, CH 110, 1999",I-80 in Colfax,Route 20 in Grass Valley,True,True,True,officer bill c bean jr memorial highway
Dean E. Beattie Memorial Highway,163,11,"ACR 162, CH 123, 2004 ",I-8,I-805,True,True,True,dean e beattie memorial highway
Joan Bechtel Memorial Highway,99,3,"ACR 150, CH 162, 2008",Central Avenue,Route 113,True,True,True,joan bechtel memorial highway
John C. Begovich Memorial Highway,49,10,"ACR 139, CH 120, 2000",Southern city limits of Jackson,Route 88 ,True,True,True,john c begovich memorial highway
Frank P. Belotti Freeway ,101,1,"HR 461, 1961","Sylvandale, 6 miles north of Garberville","Englewood, 1 mile south of Redcrest",False,True,True,frank p belotti freeway
Frank P. Belotti Memorial Freeway,101,1,"ACR 54, CH 114, 1994",Bridge No. 04-0241 at Smith Point,Myers Flat,True,True,True,frank p belotti memorial freeway
CHP Officer Dan N. Benavides Memorial Highway,15,11,"SCR 30, CH 92, 2011",Gopher Canyon Rd UC# 57-890 - PM R40.848,Old Hwy 395 OC# 57-869 - PM R43.279,True,True,True,chp officer dan n benavides memorial highway
Oceanside Police Officer Daniel S. Bessant Memorial Highway,5,11,"ACR 100, CH 101, 2012",JCT RTE 78 - PM R51.201,Harbor Drive - PM R54.392,True,True,True,oceanside police officer daniel s bessant memorial highway
"High Desert State Prison Correctional Officer Richard Bianchi, Jr., Memorial Highway ",36,2,"ACR 32, CH 110, 2021",JCT 36/139 (PM 25.356),JCT 36/395 (PM R29.390),True,False,True,high desert state prison correctional officer richard bianchi jr memorial highway
Senator Daniel E. Boatwright Highway,680,4,"SCR 4, CH 69, 2009",JCT Route 24 - PM 14.383,Benicia-Martinez Bridge# 28-153L - PM R24.948L,True,True,True,senator daniel e boatwright highway
