memorial_name,route_clean,COUNTY,CITY,ROUTE,ROUTESIGN,DESCRIPTIO,ALIAS
10TH MOUNTAIN DIVISION MEMORIAL HWY,US-24,Eagle Co,,024A,U.S.,MAJOR STR (G-11-T) RRX; MILEPOST 158; MILEPOST 159; MILEPOST 160; MILEPOST 161; MILEPOST 162; MILEPOST 163; MILEPOST 164; MILEPOST 165; MINORSTR (024A159920BR) DRAINAGE; MINORSTR (024A164490BL) UNNAMED DRAINAGE; MINORSTR (024A165290BL) PINEY GULCH; RD NE (CAMP HALE MEMORIAL CAMPGROUND) (E FORK EAGLE RIVER RD); RD NE (CO RD 714) - TENNESSEE PASS SUMMIT (5 MILES); RD NE (JONES GULCH FS726) (CO RD 726); RD W (PANDO) AND SE (CO RD 702) (RESOLUTION CREEK),10TH MOUNTAIN DIVISION MEMORIAL HWY
14TH ST SE,SH-402,Larimer Co,Loveland,402A,SH,RD N (CO RD 7L) (HERON RD),14TH ST SE
28TH ST,US-36,Boulder Co,Boulder,036B,U.S.,RD E AND W (CO RD 46) (KALMIA AVE),28TH ST
BROADWAY,SH-340,Mesa Co,Grand Junction,340A,SH,MAJOR STR (H-02-GB) REDLANDS POWER CANAL; MINORSTR (340A007230BR) GOLD STAR CANYON; RD N (CO RD 25.20) (DIKE RD) (POWER RD) - RD S (CO RD DS.0) (GLADE PARK RD) (MONUMENT RD) (TO COLORADO NATIONAL MONUMENT),BROADWAY
CAMINO DEL RIO,US-550,La Plata Co,Durango,550B,U.S.,RD E (VETERANS WAY),CAMINO DEL RIO
CO-115,SH-115,El Paso Co,,115A,SH,RD W (CHEROKEE RD) (CO RD 844),CO-115
CO-149,SH-149,Gunnison Co,,149A,SH,RD SE (CO RD 27) (TO POWDERHORN),CO-149
CO-239,SH-239,Las Animas Co,,239A,SH,MAJOR STR (P-19-BB) POWELL ARROYO - MILEPOST 1; MINORSTR (P-19-S  MINOR | 239A001274BL) POWELL ARROYO,CO-239
CO-64,SH-64,Rio Blanco Co,,064A,SH,MINORSTR (064A071310BR) POWELL PARK DITCH,CO-64
CO-65,SH-65,Mesa Co,,065A,SH,RD W (CO RD E.25) (POWDERHORN RD) - MILEPOST 42,CO-65
CO-69 AT,SH-69,Custer Co,Westcliffe,069A,SH,RD W (POWELL AVE),CO-69 AT
CO-78,SH-78,Pueblo Co,Pueblo,078A,SH,RD NW (VENTANA WAY) - RD SE (IMPERIAL MEMORIAL CEMETERY),CO-78
CO-82,SH-82,Lake Co,,082A,SH,RD S (PUMPED STORAGE POWER PLANT),CO-82
CO-83,SH-83,El Paso Co,Colorado Springs,083A,SH,JCT SH21B SOUTHWEST - (NEW ALIGNMENT OF POWERS BLVD) - LEAVE COLORADO SPRINGS CITY LIMITS; WEST SIDE RIGHT-OF-WAY RAMPS ON AND OFF (TO SH 021B) (OLD POWERS BLVD) -- BEGIN SH083A,CO-83
CO-86,SH-86,Elbert Co,,086A,SH,RD (CHEROKEE TRAIL),CO-86
DIAGONAL HWY,SH-119,Boulder Co,,119B,SH,RD E AND W (INDEPENDENCE AVE) (CR 46 KALMIA),DIAGONAL HWY
E FOUNTAIN BLVD,US-24,El Paso Co,Colorado Springs,024H,U.S.,JCT SH 021A (139.582) SOUTH - RD S (POWERS BLVD) - RD E (FOUNTAIN BLVD) - CHANGE ROADWAY DIRECTION (N),E FOUNTAIN BLVD
I-25,I-25,El Paso Co; Las Animas Co,Trinidad,025A,I,MAJOR STR (J-18-BK) POWER PLANT | RR SPUR | UNDERPASS SEPARATION - RRX AT&SF (003-518T) UNDERPASS SEPARATION -- HISTORIC LOCATION (125.049) ERROR; MAJOR STRS (P-19-AU) NB AND (P-19-AZ) SB POWELL ARROYO (19.4 MI SO OF AGUILAR RD),I-25
I-70,I-70,Clear Creek Co; Garfield Co; Mesa Co; Summit Co,,070A,I,EISENHOWER/JOHNSON MEMORIAL TUNNELS EAST PORTAL STRS (F-13-X) EB AND (F-13-Y) WB ELEVATION 11013 FT; EISENHOWER/JOHNSON MEMORIAL TUNNELS WEST PORTAL STRS (F-13-X) EB AND (F-13-Y) WB ELEVATION 11013 FT; MINORSTR (070A122440BL) -- RAMP OFF - (TO SHOSHONE POWER PLANT) EXIT 122; RAMP OFF - (TO CAMEO POWER PLANT RAMP D) EXIT 454; RAMP ON - (FROM CAMEO POWER PLANT RAMP C) EXIT 454; RAMP ON - (FROM SHOSHONE POWER PLANT) EXIT 122; RAMPS ON AND OFF - (TO/FROM CAMEO POWER PLANT) EXIT 454,I-70
I-70 AND US-287,I-70,Arapahoe Co,,070A,I,MAJOR STR (F-18-AX) RD N AND S (POWHATON RD) (CO RD 20N) - UNDERPASS SEPARATION,I-70 AND US-287
