ROUTE,ROUTESIGN,ALIAS,DESCRIPTIO,COUNTY,CITY,route_clean
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MILEPOST 163,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MILEPOST 160,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,RD W (PANDO) AND SE (CO RD 702) (RESOLUTION CREEK),Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,RD NE (JONES GULCH FS726) (CO RD 726),Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MINORSTR (024A159920BR) DRAINAGE,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MILEPOST 165,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MILEPOST 164,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,RD NE (CAMP HALE MEMORIAL CAMPGROUND) (E FORK EAGLE RIVER RD),Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MILEPOST 162,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MILEPOST 159,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MILEPOST 161,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MINORSTR (024A164490BL) UNNAMED DRAINAGE,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MILEPOST 158,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MINORSTR (024A165290BL) PINEY GULCH,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,MAJOR STR (G-11-T) RRX,Eagle Co,,US-24
024A,U.S.,10TH MOUNTAIN DIVISION MEMORIAL HWY,RD NE (CO RD 714) - TENNESSEE PASS SUMMIT (5 MILES),Eagle Co,,US-24
402A,SH,14TH ST SE,RD N (CO RD 7L) (HERON RD),Larimer Co,Loveland,SH-402
