person_name,memorial_name,route_clean,COUNTY,CITY
Camino Del Rio,Camino Del Rio,US-550,La Plata Co,Durango
Co- At,Co-69 At,SH-69,Custer Co,Westcliffe
Diagonal Hwy,Diagonal Hwy,SH-119,Boulder Co,
E Fountain Blvd,E Fountain Blvd,US-24,El Paso Co,Colorado Springs
I- And Us-,I-70 And Us-287,I-70,Arapahoe Co,
N St Vrain,N St Vrain Dr,US-36,Larimer Co,
S Main St,S Main St,US-287,Prowers Co,Lamar
S Santa Fe,S Santa Fe Dr,US-85,Denver Co; Douglas Co,Denver
St Se,14Th St Se,SH-402,Larimer Co,Loveland
W Colfax Ave,W Colfax Ave,US-40,Denver Co,Denver
W Hampden Ave,W Hampden Ave,US-285,Arapahoe Co,Englewood
