person_name,memorial_name,route_clean,COUNTY,CITY,Name,Matched_Label,Wikidata_ID,Description,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Camino Del Rio,Camino Del Rio,US-550,La Plata Co,Durango,Camino Del Rio,SL-A 16,Q108128378,"approved local hiking trail of Andalusia, Spain",,,,,,
Co- At,Co-69 At,SH-69,Custer Co,Westcliffe,Co- At,,,,,,,,,
Diagonal Hwy,Diagonal Hwy,SH-119,Boulder Co,,Diagonal Hwy,,,,,,,,,
E Fountain Blvd,E Fountain Blvd,US-24,El Paso Co,Colorado Springs,E Fountain Blvd,,,,,,,,,
I- And Us-,I-70 And Us-287,I-70,Arapahoe Co,,I- And Us-,,,,,,,,,
N St Vrain,N St Vrain Dr,US-36,Larimer Co,,N St Vrain,,,,,,,,,
S Main St,S Main St,US-287,Prowers Co,Lamar,S Main St,,,,,,,,,
S Santa Fe,S Santa Fe Dr,US-85,Denver Co; Douglas Co,Denver,S Santa Fe,,,,,,,,,
St Se,14Th St Se,SH-402,Larimer Co,Loveland,St Se,Saint Sebastian,Q183332,Christian saint and martyr (256–288),soldier,male,,0255-00-00,0287-01-20,https://en.wikipedia.org/wiki/Saint_Sebastian
W Colfax Ave,W Colfax Ave,US-40,Denver Co,Denver,W Colfax Ave,,,,,,,,,
W Hampden Ave,W Hampden Ave,US-285,Arapahoe Co,Englewood,W Hampden Ave,,,,,,,,,
