highway_name,route_no,from_location,to_location,source_url,source_note
Merritt Parkway,15,"New York State Line, Greenwich","west begin of Housatonic River Bridge, Stratford",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Wilbur Cross Parkway,15,"West begin of Housatonic River Bridge, Stratford","begin overpass Interstate Route 91, Meriden",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
"Milford Parkway - Officer Daniel S. Wasson, Milford Police Department, Connector",796,United States Route 1 (Boston Post Road),"Route 15 (Wilbur Cross Parkway), Milford",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Wilbur Cross Highway,15,"Route 314 (Berlin Turnpike), Wethersfield","Interstate Route 84, East Hartford",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Thaddeus Kosciuszko Highway & Polish Legion of American Veterans Memorial Highway,72,"Route 9 northbound, New Britain","south junction overlap Interstate Route 84, Plainville",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Thaddeus Kosciuszko Highway & Polish Legion of American Veterans Memorial Highway,72,North junction overlap Interstate Route 84,"Route 372 (Forestville Avenue), Plainville",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Wilbur Cross Highway,84,"Route 15 (Wilbur Cross Parkway), East Hartford","Massachusetts State Line, Union",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Governor John Davis Lodge Turnpike (partial),95,"New York State Line, Greenwich","Rhode Island State Line, North Stonington",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Clarence B. Sharp Highway,349,Meridian Street Extension,"Interstate Route 95, Groton",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Governor John Davis Lodge Turnpike (partial),395,"Interstate Route 95, East Lyme","Massachusetts State Line, Thompson",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Bradley Int’l Airport Connector – 82nd Airborne Memorial Highway,401,Route 20,"SB Connector from Old SSR 403 (CAA), Bradley International Airport, Windsor Locks",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Whitehead Highway,598,Pulaski Circle,"Interstate Route 91, Hartford",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Governor John Davis Lodge Turnpike,695,"Interstate Route 395, Plainfield","United States Route 6, Killingly",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Bradley Int’l Airport Connector – 82nd Airborne Memorial Highway,401,SB Connector from Old SSR 403 (CAA),"Trap Rock Road, Bradley International Airport, Windsor Locks",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
William J. Hilliard Memorial Highway,504,Flatbush Avenue,"Interstate Route 84, Hartford",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
E Bartlett Barnes Highway,72,"Route 372 (Forestville Avenue), Plainville","Pine Street #1, Bristol",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
Clarence B. Sharp Highway,349,Mumford Avenue #1,"Meridian Street Extension, Groton",https://portal.ct.gov/-/media/dot/osta/limited-access-state-numbered-highways-and-parkways.pdf,"Connecticut DOT Limited Access – State Numbered Highways (as of Dec. 31, 2024). Letter-coded “Other Identification” names mapped to route segments."
