highway_name,route_no,from_location,to_location,source_url,source_note
A. Frank Williams Highway,,,,http://www.legis.ga.gov/Legislation/20172018/171208.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 2018-01; Law 544; Senate 745; Year 2018; Status Approved 5/08/2018"
"A. T. Land, Sr., Highway",,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1989-01.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1989-01; Law 4; Senate 277; Year 1989; Status Approved April 4, 1989"
A. T. Mauldin Highway,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1997-45-TB.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1997-45; Year 1997; Status TB Adopted October 16, 1997"
Admiral Mack Gaston Parkway,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1992-10.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1992-10; Law 85; Senate 874; Year 1992; Status Approved May 4, 1992"
Alan Jackson Highway,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/2004-23.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 2004-23; Law 591; House 781; Year 2004; Status 5/17/2004 - Act 591"
Albert D. Clifton Memorial Highway,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1992-13.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1992-13; Law 91; Senate 926; Year 1992; Status Approved May 4, 1992"
Albert Shelton Swindell Memorial Highway,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/2003-11.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 2003-11; Law 407; Senate 131; Year 2003; Status 6/04/2003 - Effective Date
6/04/2003 - Act 407"
"Albert Sidney ""Sid"" Newton Memorial Highway",,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/2014-01.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 2014-01; Law 486; Year 2014; Status Approved 3/28/2014"
Alexander H. Stephens Highway,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1935-02.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1935-02; Law 14; Year 1935; Status Approved March 15, 1935"
Alexander H. Stephens Highway,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1935-02.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1935-02; Law 75; Year 1935; Status Approved March 28,1935"
Alternate Route 1 of the Jefferson Davis Memorial Highway,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1968-03.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1968-03; Law 261; House 251; Year 1968; Status Approved April 10, 1968"
Alternate Route 2 of the Jefferson Memorial Highway,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1968-05.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1968-05; Law 261; House 251; Year 1968; Status Approved April 10, 1968"
Andersonville POW Memorial Trail,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1991-01.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1991-01; Law 1; House 213; Year 1991; Status Approved April 11, 1991"
Andersonville Trail,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1980-01.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1980-01; Law 147; Senate 632-1630; Year 1980; Status Approved April 2, 1980"
Annie Lou Glover Boulevard,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/2017_SR_204.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 2017-01; Law 279; House HR 466; Senate SR 204; Year 2017; Status Act 279, SR-204 Approved 5/09/2017
"
Appalachian Parkway,,,,http://www.legis.ga.gov/Legislation/20152016/153753.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 2015-02; Law 93; Year 2015; Status Approved 5/05/2015"
Arnold-Fountain Professional Club Highway,,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/2023_ArnoldFountainProfessionalClubHighway.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 2023-31; Law Act-73; House HR-256; Year 2023; Status Effective May 1, 2023"
Arthur Howard Jr. Highway,,,,http://www.legis.ga.gov/Legislation/20192020/195198.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 2020-11; Law 603; House 1163; Year 2020; Status 8/5/2020"
"Arthur Langford, Jr., Memorial Parkway",,,,http://mydocs.dot.ga.gov/info/honorariums/Resolutions/1995-09.pdf,"GDOT Honoraria MapServer (Honorarium Linear, facility type HW). Index 1995-09; Law 51; House 44; Year 1995; Status Approved April 19, 1995"
