highway_name,route_no,from_location,to_location,island,source_url,source_note
Lunalilo Freeway,H-1,,,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (parenthetical name)
Queen Liliuokalani Freeway,H-1,,,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (parenthetical name)
Veterans Memorial Freeway,H-2,,,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (parenthetical name)
John A. Burns Freeway,H-3,,,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (parenthetical name)
Kamehameha Highway,,Fort Weaver Road (Old),"Kamehameha Highway, Inbound Off-Ramp (Waiawa Interchange)",Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
Farrington Highway,93,,,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
Farrington Highway,93,H-1 Palailai Interchange,the Kaena Point State Park Boundary,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
Farrington Highway,930,the Kaena Point State Park Boundary,Kaukonahua Road at Thompson Corner,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
Farrington Highway,93,H-1 Palailai Interchange,Kaena Point State Park Gate,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
Farrington Highway,76,the Navy Reservation Gate,Farrington Highway,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
Joseph P. Leong Highway,83,,,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
Kamehameha Highway,83,Kamehameha Highway,Likelike Highway,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
Kalanianaole Highway,61,Castle Junction,Waimanalo Junction,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
Kalanianaole Highway,72,Waimanalo Junction,Ainakoa Avenue,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
Nimitz Highway,63,Nimitz Highway,School Street,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,HDOT state roads listing (road description)
