highway_name,route_no,from_location,to_location,source_url,source_note
Blue Star Memorial Highway,I-64,through Indiana,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
New Harmony National Historic Landmark District,I-64,Exit 4,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Casimir Pulaski Memorial Highway""",I-65,between Kankakee River (S edge of Lake Co) to Indiana Toll Rd in Gary,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Jerry Ross Memorial Highway""",I-65,between the Wabash River and the Kankakee River,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Kenny 'Babyface' Edmonds Highway""",I-65,from MM 106 to MM 123,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Pearl Harbor Memorial Highway""",I-65,through Johnson County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
John Mellencamp Way,I-65,from SR 256 (Exit 34) to US 50 (Exit 50),,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Rick Mount Highway,I-65,from MM 138 to MM 141,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Tuskegee Airmen Highway,I-65,from US 50 to Johnson County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Iraq Afghanistan Veterans Memorial Highway""",I-69,from Kentucky State Line to I-465,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Korean Veteran's Memorial Highway,I-69,from I-465 to Michigan State Line,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"Anton ""Tony"" Hulman Jr. Memorial Highway",I-70,through Indiana,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Blue Star Memorial Highway,I-70,through Indiana,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Wayne County Veterans' Memorial Park,I-70,through Wayne county,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
(I-90) National Defense Highway,I-80,through Indiana,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"(I-94) ""Frank Borman Expressway""",I-80,from the Illinois State Line to the Indiana Toll Road,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Dwight D. Eisenhower,I-80,through Indiana,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
American Veterans Memorial Highway,I-90,,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Robert D. Orr Highway""",I-164,in its entirety,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Lee Hamilton Highway,I-265,in its entirety,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""USS Indianapolis Memorial Highway""",I-465,All of Interstate 465,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"James C. Cummings, Jr., Memorial Mile",I-465,Marker 44.5 (north of E 16th) to marker 45.5 (north of E Washington),,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Ronald Reagan Expressway""",I-469,encircling Fort Wayne,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"Fred M. Fehsenfeld, Sr.",I-865,east-west connector between I-65 and I-465,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Purple Heart Memorial Highway""",IN-1,throughout Indiana,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Governor Harold W. Handley Highway,IN-2,from La Porte to US 20,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Senator David C. Ford""",IN-3,from Hartford City to SR 18,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
