highway_name,route_no,from_location,to_location,source_url,source_note
Veterans Memorial Highway,Route 54,LRS measure 0.000,LRS measure 24.385,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0065_section/068_010_0065_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1065; designated 2005; route number derived from KDOT LRS RouteID
Robert V. Talkington Highway,Route 169,LRS measure 0.000,LRS measure 22.944,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0053_section/068_010_0053_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1053; designated 2002; route number derived from KDOT LRS RouteID
Amelia Earhart Memorial Highway,Route 73,LRS measure 12.825,LRS measure 28.613,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0034_section/068_010_0034_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1034; designated 2012; route number derived from KDOT LRS RouteID
Amelia Earhart Memorial Highway,Route 73,LRS measure 0.000,LRS measure 11.408,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0034_section/068_010_0034_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1034; designated 2012; route number derived from KDOT LRS RouteID
SGT David Enzbrenner Memorial Highway,Route 7,LRS measure 14.639,LRS measure 19.276,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0102_section/068_010_0102_k/,"KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-10,102; designated 2016; route number derived from KDOT LRS RouteID"
Lewis and Clark Expedition Route,Route 7,LRS measure 11.408,LRS measure 19.276,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0020_section/068_010_0020_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1020; designated 1967; route number derived from KDOT LRS RouteID
American Legion Memorial Highway,Route 160,LRS measure 22.392,LRS measure 23.018,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0011_section/068_010_0011_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1011; designated 1955; route number derived from KDOT LRS RouteID
American Legion Memorial Highway,Route 281,LRS measure 0.000,LRS measure 23.897,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0011_section/068_010_0011_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1011; designated 1955; route number derived from KDOT LRS RouteID
American Legion Memorial Highway,Route 281,LRS measure 24.523,LRS measure 40.671,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0011_section/068_010_0011_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1011; designated 1955; route number derived from KDOT LRS RouteID
American Legion Memorial Highway,Route 281,LRS measure 0.000,LRS measure 34.018,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0011_section/068_010_0011_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1011; designated 1955; route number derived from KDOT LRS RouteID
Korean War Veterans Memorial Highway,Route 4,LRS measure 0.000,LRS measure 9.974,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0077_section/068_010_0077_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1077; designated 2008; route number derived from KDOT LRS RouteID
Persian Gulf War Veterans Memorial Highway,Route 96,LRS measure 0.000,LRS measure 13.628,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0078_section/068_010_0078_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1078; designated 2008; route number derived from KDOT LRS RouteID
Veterans Memorial Highway,Route 54,LRS measure 0.000,LRS measure 27.177,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0065_section/068_010_0065_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1065; designated 2005; route number derived from KDOT LRS RouteID
Pony Express Highway,Route 36,LRS measure 0.000,LRS measure 24.295,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0019_section/068_010_0019_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1019; designated 1964; route number derived from KDOT LRS RouteID
Deputy Todd Widman Memorial Highway Last Call 3-1-2000,Route 73,LRS measure 9.475,LRS measure 33.864,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0072_section/068_010_0072_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1072; designated 2007; route number derived from KDOT LRS RouteID
Amelia Earhart Memorial Highway,Route 73,LRS measure 0.000,LRS measure 8.877,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0034_section/068_010_0034_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1034; designated 2012; route number derived from KDOT LRS RouteID
Purple Heart/Combat Wounded Veterans Highway,Route 75,LRS measure 0.000,LRS measure 24.162,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0051_section/068_010_0051_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1051; designated 2001; route number derived from KDOT LRS RouteID
Kickapoo Veterans Memorial Highway,Route 20,LRS measure 0.000,LRS measure 10.286,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0062_section/068_010_0062_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1062; designated 2004; route number derived from KDOT LRS RouteID
35th Infantry Division Memorial Highway,Route 35,LRS measure 0.000,LRS measure 41.889,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0013_section/068_010_0013_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1013; designated 1963; route number derived from KDOT LRS RouteID
89th Division of the United States Army Highway,Route 54,LRS measure 9.481,LRS measure 27.131,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0059_section/068_010_0059_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1059; designated 2004; route number derived from KDOT LRS RouteID
Atomic Veteran's Memorial Highway,Route 54,LRS measure 9.481,LRS measure 44.946,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0073_section/068_010_0073_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1073; designated 2008; route number derived from KDOT LRS RouteID
Veterans Memorial Highway,Route 54,LRS measure 0.000,LRS measure 44.946,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0065_section/068_010_0065_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1065; designated 2005; route number derived from KDOT LRS RouteID
89th Division of the United States Army Highway,Route 77,LRS measure 32.001,LRS measure 50.798,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0059_section/068_010_0059_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1059; designated 2004; route number derived from KDOT LRS RouteID
