highway_name,route_no,from_location,to_location,source_url,source_note
Blue Star Memorial Route,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 1-5; year 1948. Bridge/overpass/interchange/approach/intersection entries excluded.
West Florida Republic Parkway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 28; year 1993. Bridge/overpass/interchange/approach/intersection entries excluded.
Corporal Matthew Thomas Richard Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 146; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
"R.H. ""Bill"" Strain Memorial Highway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 70; year 2003. Bridge/overpass/interchange/approach/intersection entries excluded.
"Powell, Barnes, and Deal Memorial Highway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 109; year 2010. Bridge/overpass/interchange/approach/intersection entries excluded.
Ronald Reagan Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 71; year 2004. Bridge/overpass/interchange/approach/intersection entries excluded.
James 'Terry' Watson Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 149; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
Blue Star Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 73-74; year 2004. Bridge/overpass/interchange/approach/intersection entries excluded.
"Staff Sergeant Robert ""Pete"" Sweat Memorial Highway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 113; year 2011. Bridge/overpass/interchange/approach/intersection entries excluded.
Veterans Memorial Highway 90,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 76; year 2004. Bridge/overpass/interchange/approach/intersection entries excluded.
Corporal J.R. Searcy Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 115; year 2011. Bridge/overpass/interchange/approach/intersection entries excluded.
Dr. George B. Mowad Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 78; year 2005. Bridge/overpass/interchange/approach/intersection entries excluded.
Louisiana Maneuvers and Purple Heart Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 117; year 2011. Bridge/overpass/interchange/approach/intersection entries excluded.
St. Landry Parish Veterans Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 155; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
Buddy Henagan Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 80; year 2005. Bridge/overpass/interchange/approach/intersection entries excluded.
"Greg Wall, P.E. Memorial Highway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 152; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
Trooper Rudolph H. Miller Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 116; year 2011. Bridge/overpass/interchange/approach/intersection entries excluded.
"Deputy Allen Bares, Jr. Memorial Parkway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 154; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
Griffin Pat Miller Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 118; year 2011. Bridge/overpass/interchange/approach/intersection entries excluded.
Veterans Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 81; year 2006. Bridge/overpass/interchange/approach/intersection entries excluded.
Veterans Memorial Expressway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 83; year 2006. Bridge/overpass/interchange/approach/intersection entries excluded.
Private First Class Joshua C. Burrows Drive,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 161; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
Hadley J. Castille-Pecanaire Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 124; year 2013. Bridge/overpass/interchange/approach/intersection entries excluded.
Sergeant Craig Nelson Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 160; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
B.R. Harvey Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 123; year 2012. Bridge/overpass/interchange/approach/intersection entries excluded.
Donald C. Cleveland Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 127; year 2013. Bridge/overpass/interchange/approach/intersection entries excluded.
Senior Trooper Duane Dalton Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 108; year 2010. Bridge/overpass/interchange/approach/intersection entries excluded.
"Albert ""Pyook"" Berard Highway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 145; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
Veterans Parkway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 144; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
