input_name,cleaned_name,input_type,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score,wikidata_occupation,wikidata_race,wikidata_sex,wikidata_birth_date,wikidata_death_date,wikipedia_link,ai_summary,ai_education,ai_dob,ai_dod,ai_place_of_birth,ai_place_of_death,ai_gender,ai_involved_in_sports,ai_involved_in_politics,ai_involved_in_military,ai_involved_in_music
Blue Star Memorial Route,Blue Star Memorial Route,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Stumpf Boulevard,Stumpf,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Stumpf,,[],,,,,,,,,
Blue Star Memorial Route,Blue Star Memorial Route,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Horace Wilkinson Bridge,Horace Wilkinson,highway,,,,,,,,,,,,,male,,,,,[],,,,,,,,,
Nolan's Trace,Nolans Trace,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Oscar Rivette Road,Oscar Rivette,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Martin Luther King Jr. Boulevard,Martin Luther King Jr,highway,,,,,,,,,,,pastor,African Americans,male,1/15/1929,4/4/1968,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,,[],,,,,,,,,
Sam Houston Jones Parkway,Sam Houston Jones,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Sam_Houston_Jones_State_Park,,[],,,,,,,,,
Tunica Trace,Tunica Trace,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Martin Luther King Jr. Highway,Martin Luther King Jr,highway,,,,,,,,,,,pastor,African Americans,male,1/15/1929,4/4/1968,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,,[],,,,,,,,,
Ronnie Hebert Boulevard,Ronnie Hebert,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
LA Airborne Memorial Bridge,LA Airborne,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
John Leblanc Boulevard,John Leblanc,highway,,,,,,,,,,,teacher,,male,8/26/1930,5/4/2014,,,[],,,,,,,,,
James Baker Drive,James Baker,highway,,,,,,,,,,,association football player,,male,8/3/1911,2/22/1974,"https://en.wikipedia.org/wiki/James_Baker_(footballer,_born_1911)",,[],,,,,,,,,
University Parkway,University,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/University,,[],,,,,,,,,
Martin Luther King Jr. Memorial Expressway,Martin Luther King Jr,highway,,,,,,,,,,,pastor,African Americans,male,1/15/1929,4/4/1968,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,,[],,,,,,,,,
West Florida Republic Parkway,West Florida Republic,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Vietnam Veterans Memorial Highway,Vietnam Veterans,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Vietnam_Veterans_of_America,,[],,,,,,,,,
Beglis Parkway,Beglis,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Refugee,,[],,,,,,,,,
