highway_name,route_no,from_location,to_location,source_url,source_note
Governor Ritchie Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of Albert C. Ritchie, 49th Governor of Maryland for a record four terms."
Aris T. Allen Boulevard,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of Dr. Aris T. Allen, who was the first African-American chair of the Maryland Republican party and the first African-American to run for a statewide office in Maryland."
Paul T. Pitcher Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of Paul T. Pitcher, an Anne Arundel County Executive who originally conceived MD Route 100."
This Highway Dedicated to Senator John A. Cade,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to John A. Cade, former Maryland Senator who was instrumental in securing funding for I-97."
Generals Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,Named in honor of General George Washington who traveled this route in December 1783 as part of his journey from New York to Annapolis to resign as Commander-in-Chief.
This Highway Dedicated to Governor Theodore R. McKeldin,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to Theodore Roosevelt McKeldin, 53rd Governor of Maryland. Construction of the ""Baltimore Beltway"" began under his watch in 1954."
John F. Kennedy Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of President John F. Kennedy, who officiated the ceremony dedicating I-95 and was assassinated 8 days later."
Dedicated to Veterans of Foreign Wars,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to Veterans of Foreign Wars, a nonprofit veterans service organization devoted to veterans  service, legislative advocacy, and military and community service programs."
Maryland Purple Heart Trail I-95,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,Let it be known that those who wear the Purple Heart have given their blood in the defense of their homeland and shall be forever revered by their countrymen.
"175th Infantry Memorial Highway Dedicated to MD's """"Dandy 5th""""",,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to the 175th Infantry Regiment, one of the oldest in the U.S. formed during the American Revolution and has a garrison in Dundalk. The “Dandy 5th” has won 24 battle honors spanning every major American war."
Vietnam Veterans Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,Dedicated to Veterans of the Vietnam War (1959-1975). One of several dedications in Maryland honoring those who served.
The Louis L. Goldstein Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to Louis L. “Louie” Goldstein, Calvert County native and MD State Comptroller for a record 40 years, 1958-1998."
Francis Scott Key Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of Francis Scott Key, Maryland native and author of our national anthem, ""The Star-Spangled Banner""."
Blue Star Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,Marked highways that pay tribute to those who have served in the U.S. Armed Forces. The blue star was used on service flags to denote a service member fighting in the war.
Joseph Biggs Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of Joseph B. Biggs, affectionately known as “Joeby,"" a prominent Cecil County Commissioner in the 1970's."
Jacob Tome Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,Named in honor of Jacob Tome a philanthropist and founder of Tome School and Cecil County's first millionaire.
This Highway Dedicated to Harriet Tubman,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to Harriett Tubman, Dorchester County native, the abolitionist and humanitarian who rescued over 70 enslaved families using the Underground Railroad."
Dwight D. Eisenhower Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of President Dwight D. Eisenhower who is considered """"Father of Interstate System.”"
115th Infantry Regiment Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named to honor the 115th Infantry Regiment, whose roots trace back to the American Revolutionary War, formed to protect the frontier of western Maryland."
Vietnam Veterans Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,Dedicated to Veterans of the Vietnam War (1959-1975). One of several dedications in Maryland honoring those who served.
29th Infantry Division Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to 29th Infantry Division of the U.S. Army, formed in 1917, this decorated unit is most famous for its participation in the D-Day invasion of Normandy during World War II."
Dedicated to Senator Robert H. Kittleman,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to former Senator Robert H. Kittleman, who served in the House of Delegates for 19 years and lobbied for the extension of MD 32 to include the River Hill community."
Augustine Herman Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of Augustine Herman, 17th century explorer, merchant and cartographer and the First Lord of Bohemia Manor, the estate that he founded in present day southeastern Cecil County."
Baltimore-Washington Parkway Dedicated to Gladys Noon Spellman,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to Gladys Noon Spellman, educator, politician and visionary who spearheaded major social and political reform towards women’s rights and to prevent discrimination against the handicapped and elderly."
Robert Crain Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of Robert S. Crain, Charles County native and attorney who spear-headed the efforts to build a highway that connected the tobacco fields of southern Maryland with Baltimore City."
Martin Luther King Jr. Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of Martin Luther King, Jr., Nobel Peace Prize recipient and a leader in the African-American Civil Rights Movement."
Maryland Veterans Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,Dedicated to those from Maryland who served in the armed forces.
Korean War & Korea Service Veterans Memorial Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to Veterans of the Korean Wars, the signs were erected to help erase the stigma of “The Forgotten War”."
Dedicated to Delegate Richard C. Matthews,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to Richard C. Matthews, native Hampstead resident and prominent business owner who represented Carroll County in the Maryland House of Delegates from 1967-1994."
Patriot Parkway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of victims and heroes lost during the tragic events of September 11, 2001 and subsequent military actions at home and abroad."
John Hanson Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of John Hanson, Jr., native Marylander and Patriot who recruited and equipped members of George Washington’s Revolutionary armies."
Heroes Highway Senior Deputy Patrick Dailey Deputy First Class Mark Logsdon,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to Harford County Sheriff's Office Senior Deputy Patrick B. Dailey and Deputy First Class Mark F. Logsdon, who were killed in the line of duty in Abingdon on February 10, 2016."
"Dedicated to Delegate Michael H. Weir, Sr.",,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Dedicated to Michael H. Weir, Sr. who served 28 years in the Maryland General Assembly and was a member of the Chesapeake Bay Commission."
Dedicated as Cal Ripken Way,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of Cal Ripken, Jr., native Marylander and National Baseball Hame of Fame inductee in 2007, who played his entire 21-year major league career for the Baltimore Orioles."
Broening Highway,,,,https://www.mdot.maryland.gov/tso/pages/Index.aspx?PageId=86,"Named in honor of William Frederick Broening, former Mayor of Baltimore for two terms, 1919-1923 and 1927-1931."
