highway_name,route_no,from_location,to_location,source_url,source_note
Charles J. Rogers Interchange,"I-75,M-8",,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1024,"The highway interchange at highway I-75 and highway M-8 shall be known as the ""Charles J. Rogers Interchange"". Charles Rogers was a Wayne County Road Commissioner for many years and MDOT designated a memorial sign along the expressway to commemorate his years of service as a commissioner."
SPC Robert Friese Memorial Highway,BR-127,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1009b,"Business Route 127 in Clare County shall be known as the ""SPC Robert Friese Memorial Highway."" Army SPC Robert Friese died on April 29, 2011, in Iraq after being attacked by enemy forces. He was born in Clare, Michigan, and graduated from Harrison High School in 2007. SPC Friese enlisted in the Army in 2010 as a Tanker and was stationed at Fort Hood, Texas, with the 3rd Armored Cavalry Regiment until he was deployed to Iraq in January 2011. SPC Friese was awarded the Purple Heart and promoted to Specialist posthumously."
Tuskegee Airmen Memorial Highway,I-75,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1084,"The portion of highway I-75 within the state of Michigan shall be known as the ""Tuskegee Airmen Memorial Highway"". The Tuskegee Airmen is the popular name of a group of African-American military fighter and bomber pilots who fought in World War II. They formed the 332nd Fighter Group and the 477th Bombardment Group of the United States Army Air Forces. The Tuskegee Airmen were the first African-American military aviators in the United States Armed forces."
David Warsen Memorial Highway,M-6,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1094,"The portion of highway M-6 in Kent county beginning at the intersection of M-6 and Kalamazoo avenue and continuing west to the intersection of M-6 and Byron Center avenue shall be known as the ""David Warsen Memorial Highway"". David Warsen graduated from East Kentwood High School in 2004. After attending local colleges, he enlisted in the Navy in 2009 and later joined the Navy SEALs. He was sent to Afghanistan in December 2011. In August 2012, Warsen was on a Special Operations mission in the Shah Wali Kot district of Kandahar with 10 other American and Afghan personnel when their Blackhawk UH60 helicopter was shot down by Taliban fighters. All on board were killed. Warsen was the recipient of a number of medals and honors, including the Bronze Star with Valor, Purple Heart, Meritorious Service Medal, Army Commendation Medal with Valor, Combat Action Ribbon, Afghanistan Campaign Medal, Global War on Terrorism Expeditionary Medal, Global War on Terrorism Service Medal, Sea Service Deployment Ribbon, the NATO Service Medal, Expert Rifle Marksmanship Medal and the Expert Pistol Marksmanship Medal."
Earle Memorial Highway,M-53,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1006,"Highway M-53 extending from the city of Detroit north to M-25 in Huron County shall be known as the ""Earle Memorial Highway"". Before a mile of Michigan roadway was paved or a centerline painted, before Henry Ford rolled his first Model A off the assembly line, there was Horatio ""Good Roads"" Earle. At the turn of the century, this young entrepreneur and bicycle enthusiast was president of the League of American Wheelmen. This group, founded in 1880, fought for better roads and streets and the rights of bicyclists to use them. In 1892, they convinced the Michigan legislature to establish a state highway commission to recommend road improvements. Earle was a visionary; as early as 1901, he envisioned a system of roads that would connect every major city and every state capital. He founded the American Road Makers of 1902, which later became the American Road and Transportation Builders Association and lobbied for federal funding of road construction. Earle's zeal on behalf of the good-roads movement brought him national prominence and focused the attention of Michigan residents on the roads issue. In 1905, voters in 83 Michigan counties approved an amendment to the state's constitution authorizing state spending for roads, and creating the Michigan State Highway Department. The new department set up business in the office of the Speaker of the House in the State Capitol with an annual operating budget of $10,000 and a staff of five. Earle became the state's first highway commissioner."
G. Mennen Williams Highway and Prentiss M. Brown Memorial Highway,I-75,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1027,"The portion of highway I-75 in Cheboygan and Mackinac counties shall be known as the ""G. Mennen Williams Highway"" and the ""Prentiss M. Brown Memorial Highway"". Gerhard Mennen “Soapy” Williams was a politician from Michigan who served for twelve years as its 41st Governor, from 1949 to 1961. Born on February 23, 1911 in Detroit, Michigan, Williams earned the nickname “Soapy” because his maternal grandfather was the founder of the Mennen brand of men’s personal care products, now marketed by the Colgate-Palmolive company, which made Williams an instant heir to his grandfather’s fortune. After running on a platform that supported organized labor and civil rights, Williams was elected as the 41st Governor of Michigan on November 2, 1948. He was inaugurated on January 1, 1949, and was subsequently re-elected five times, supported by a liberal labor coalition.                                                         Prentiss Marsh Brown, a Representative and a Senator from Michigan; born in St. Ignace, Mackinac County, Mich., June 18, 1889; attended the public schools, and the University of Illinois at Urbana; graduated from Albion (Mich.) College in 1911; studied law; admitted to the bar in 1914 and commenced practice in St. Ignace, Mich.; prosecuting attorney of Mackinac County 1914-1926; city attorney of St. Ignace 1916-1928; chairman of the Mackinac Bridge Authority until his death; resided in St. Ignace, Mich., where he died December 19, 1973; interment in Lakeside Cemetery."
Specialist 5 Michael May and Corporal Chris Esckelson Memorial Highway,M-15,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1015a,"The portion of highway M-15 in the city of Vassar shall be known as the ""Specialist 5 Michael May and Corporal Chris Esckelson Memorial Highway."" Specialist Fifth Class Michael Fredric May was part of an eleven-man Special Forces team conducting a reconnaissance mission inside Cambodia in 1969 when the team was attacked and he was killed. He entered the United States Army in 1967 after attending Western Michigan University for two years. He was an outstanding Vassar High School athlete, excelling in basketball, football, and track. His remains were not recovered. He was 22 years old.                                                                                        Marine Corporal Christopher E. Esckelson of Vassar was killed during a firefight in Iraq December 28, 2006 after taking a direct hit to his flak jacket. He was serving with the 1st Battalion, 24th Marine regiment. He joined the Marine Corps in October, 2002 after graduating from Vassar High School, where he was a three-sport athlete.  He was 22 years old."
Pulaski Memorial Highway,US-12,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1012,"The portion of highway US-12 beginning at highway M-1 in the city of Detroit and extending west to Lake Michigan shall be known as the ""Pulaski Memorial Highway"". Named in honor of a Polish patriot and soldier Count Casimir Pulaski, who was born at Podolia, Poland in 1748. He arrived in America in July of 1777, and served under Anthony Wayne. In March of 1778, he organized an independent corps of cavalry. In February of 1779, he arrived in South Carolina to aide General Benjamin Lincoln, During the siege of Savannah, he was hit by grape shot and died October 11, 1779."
American Legion Memorial Highway,I-75,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-102,"The portion of highway I-75 beginning at the Michigan-Ohio state line and extending north to Sault Ste. Marie shall be known as the ""American Legion Memorial Highway"". Representative Thomas Anderson of Southgate introduced a resolution to name Michigan's segment of I-75 ""The American Legion Memorial Highway"". The resolution was approved by the House on a voice vote Tuesday, February 10, 1969, and was approved by the Senate February 25, 1969, The Legislatures in the other states, through which the expressway passes, have been asked to approve similar measures thus giving the designation to the entire length of the Michigan-to-Florida expressway."
Adler Memorial Highway,M-10,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1019,"The portion of highway M-10 located in Oakland County between the intersections of US-24 and M-102 shall be known as the ""Adler Memorial Highway"". Morris Adler, a Rabbi, of the Temple Shaarey Zedek in Southfield, was assassinated by a member of his congregation in 1966."
Marine Lance Corporal Ryan Burgess Memorial Highway,US-10,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1016a,"The portion of highway US-10 located in Midland County beginning at the intersection with North Stark Road and extending west to North West River Road shall be known as the ""Marine Lance Corporal Ryan Burgess Memorial Highway"". Lance Corporal Ryan Burgess was killed at the age of 21 on December 21, 2006, while serving in Iraq. He was a graduate of Meridian High School in the Village of Sanford, Midland County. According to his obituary in the Midland Daily News, Lance Corporal Burgess was killed by an improvised explosive device during his second tour in Iraq, where he was a vehicle commander and squad leader, and earned the Expert Rifle Marksmanship Badge."
Gold Star Mothers Memorial Highway,M-55,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-2067,"Highway M-55 from the point of beginning in Manistee county and continuing east to the intersection of M-55 and M-115 in Wexford county shall be known as the ""Gold Star Mothers Memorial Highway"". American Gold Star Mothers, Inc., established in 1928, is a group of women whose sons and daughters died while serving in the U.S. Armed Forces. To honor their children, members of the organization work with and support other veterans' organizations, volunteer at veterans' hospitals, and support the mothers of veterans who died while serving."
Iron Brigade Memorial Highway,US-12,,,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-250-1048,"Highway US-12 in Wayne County extending west to the Michigan-Indiana state line in Berrien County shall be known as the ""Iron Brigade Memorial Highway"". The Iron Brigade became one of the most celebrated military units on the American Civil War (1861–1865). Wearing distinctive black hats, they were easily recognized by friend and foe alike. The five volunteer regiments in the brigade were the 2nd, 6th and 7th Wisconsin, the 19th Indiana and the 24th Michigan. These regiments ranked among the most gallant and effective of the Union Army. U.S. 12, which intersects nearby, is named the Iron Brigade Memorial Highway in their honor."
