MemorialHighwayName,Highway,Law,Description,LawWebLink,Biographies
Green Arrow Route,M-66,250.1017,"The portion of highway M-66 beginning at the intersection with highway M-78 in Calhoun County and extending north to the intersection with highway US-131 in Kalkaska County shall be known as the ""Green Arrow Route"".",250-1017,"To capitalize on the opening of the Mackinac Bridge in 1957, local leaders in Battle Creek wanted to promote M-66 as a route north from Indiana to the bridge. They named the highway the Green Arrow Route as part of this marketing strategy. The color was to evoke the forests in the area, and arrow was meant to play on several historical connections. M-66 was given the Green Arrow Route name in Public Act 170 of 1959 between the Indiana state line and Kalkaska. "
Green Arrow Route-Mackinac Trail,"US-131,US-31",250.1017,The portion of highway US-131 beginning at the intersection with highway M-66 and extending north to the intersection with highway US-31 and the portion of highway US-31 beginning at the intersection with highway US-131 and extending north to the straits,250-1017,"To capitalize on the opening of the Mackinac Bridge in 1957, local leaders in Battle Creek wanted to promote M-66 as a route north from Indiana to the bridge. They named the highway the Green Arrow Route as part of this marketing strategy. The color was to evoke the forests in the area, and arrow was meant to play on several historical connections. M-66 was given the Green Arrow Route name in Public Act 170 of 1959 between the Indiana state line and Kalkaska. "
Corpsman Aaron D. Ullom Memorial Bridge,US-10,250.1003a,"The bridge on highway US-10 over Eastman Avenue in the city of Midland shall be known as the ""Corpsman Aaron D. Ullom Memorial Bridge"".",250-1003a,"Aaron D. Ullom served in the United States Navy as a hospital corpsman. During a patrol, he was shot and killed by enemy fire while trying to apply a tourniquet to a wounded Marine in Helmand Province, Afghanistan, on July 12, 2011. Mr. Ullom was a 2009 Midland High School graduate, and had served in the Navy since October 2009 with the goal of pursuing a career in the medical field. "
"Carl Oleson, Jr. Bridge",M-22,250.2074,"The bridge on highway M-22 in Leelanau county between Big Glen lake and Little Glen lake shall be known as the ""Carl Oleson, Jr. bridge"".",250-2074,"Carl Oleson, Jr owned a tackle/bait shop for many decades in Glen Arbor, alongside his wife Ruth and son Carl III.  "
Sgt. Henry E. Plant Memorial Grand River Bridge Non-Motorized Trail,M-231,250.2062,"The nonmotorized multiuse lane on the bridge along the portion of highway M-231 over the Grand river and connecting Robinson township and Crockery township in Ottawa county shall be known as the ""Sgt. Henry E. Plant Memorial Grand River Bridge Non-Motorized Trail"".",250-2062,"Sgt. Henry Ebenezer Plant was born October 11, 1841 in Oswego County, New York. In 1854 he migrated with his parents and siblings to a farm at 120th Avenue and Leonard Street (soon to be the north end of the new M-231 highway) near Nunica and Spoonville in Ottawa County. Henry enlisted on December 5, 1861 in Company F, 14th Michigan Infantry. Politically Henry served in many Crockery Township positions including Highway Commissioner."
Veterans Memorial Bridge,Bridge on US-31,250.1074,"The bridge on US-31 in Ottawa County located in the city of Grand Haven between Jackson Street and the M-104 exit, locally known as the ""South Channel Bridge"", shall be known as the ""Veterans Memorial Bridge"".",250-1074,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged."
Matt Urban Memorial Bridge,US-24,250.1095,"The bridge on highway US-24 in Monroe county between North Custer road and South Custer road shall be known as the ""Matt Urban Memorial Bridge"".",250-1095,"Lieutenant Colonel Urban received over a dozen individual decorations for combat from the U.S. Army, including seven Purple Hearts. In 1980, he received the Medal of Honor and four other individual decorations for combat belatedly for his actions in France and Belgium in 1944. In Section 7a of the ""Prominent Military Figures"" portion of Arlington National Cemetery's webpage, there is the statement, ""Lt. Col. Matt Urban - World War II infantry officer who earned the distinction as the most decorated soldier in WW II"".  "
Veterans Memorial Bridge,US-141,250.1073,"The bridge on highway US-141 over the Menominee river in Dickinson county between Breitung township and the city of Niagara in the state of Wisconsin shall be known as the ""Veterans Memorial Bridge"".",250-1073,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged."
Officer James Bonneau Memorial Bridge,"M-50,US-127BR",250.2077,"The bridge on West Avenue in Jackson County between Ganson Street and Wildwood Avenue shall be known as the ""Officer James Bonneau Memorial Bridge"".",250-2077,"Police Officer James Bonneau was shot and killed after responding to a domestic disturbance. Officer Bonneau and an officer from the Blackman Township Department of Public Safety were following up on a report from earlier in the night of a domestic incident. When they arrived, the suspect opened fire, killing Officer Bonneau and wounding the Blackman Township officer. The suspect was shot and killed by the officers. Officer Bonneau had served with the Jackson Police Department for two years. He is survived by his fiancée, parents, sister, and brother."
Heath Michael Robinson Cut River Memorial Bridge,US-2,250.2068,"The bridge on highway US-2 over the Cut river in Mackinac county shall be known as the ""Heath Michael Robinson Cut River Memorial Bridge"".",250-2068,"Chief Special Warfare Operator (SEAL) Heath M. Robinson, 34, of Detroit, Michigan was enlisted in January 1996. Robinson completed Basic Underwater Demolition/SEAL School in January, 2000. He served with two West Coast-based special warfare units from March 2000 to April 2004, and later served with four East Coast-based special warfare units beginning in April 2004. His decorations include four Bronze Star Medals, three with ‘V’ for valor; Joint Service Commendation Medal; three Navy and Marine Corps Commendation Medals, two with ‘V’ for valor; Joint Service Achievement Medal; three Navy and Marine Corps Achievement Medals; Combat Action Ribbon; two Presidential Unit Citations; Navy Meritorious Unit Commendation; five Navy Good Conduct Medals; Navy Fleet Marine Force Ribbon; National Defense Service Medal; Armed Forces Expeditionary Medal; two Afghanistan Campaign Medals; Iraq Campaign Medal; Global War on Terrorism Expeditionary Medal; Global War on Terrorism Service Medal; six Sea Service Deployment Ribbons; NATO Medal; Navy Expert Rifleman Medal and Navy Expert Pistol Shot Medal."
