highway_name,route_no,from_location,to_location,source_url,source_note
PURPLE HEART TRAIL (I-44),IS 44,.001 mile(s) before MO 360 W,.052 mile(s) before RP MO100 TO IS44E E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2012-08-28; years_of_sunset=INDEFINITE
CONGRESSMAN MEL HANCOCK FREEWAY,IS 44,.143 mile(s) before RR FORT SCOTT SUB E,.044 mile(s) after RP IS44E TO US160W W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2005-08-28; years_of_sunset=INDEFINITE
EDWIN P. HUBBLE MEMORIAL HIGHWAY,IS 44,.929 mile(s) after RP RTB TO IS44E E,1.193 mile(s) after RP RTJ TO IS44E E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2004-08-28; years_of_sunset=INDEFINITE
CONGRESSMAN GENE TAYLOR HIGHWAY,IS 44,.124 mile(s) before RT FF E,.842 mile(s) before RP IS44E TO CRD 1010 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1996-07-12; years_of_sunset=INDEFINITE
TROOPER CHARLES P CORBIN MEMORIAL HIGHWAY,US 71,IS 44 E,RR NEVADA SUB S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2003-08-28; years_of_sunset=INDEFINITE
PURPLE HEART TRAIL (I-49),IS 49,.007 mile(s) before US 71 S,IS 435 N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2016-08-28; years_of_sunset=INDEFINITE
PAYNE STEWART HIGHWAY,IS 44,US 160 W,.009 mile(s) after US 65 N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2000-07-01; years_of_sunset=INDEFINITE
GEORGE WASHINGTON CARVER MEMORIAL HIGHWAY,IS 44,.176 mile(s) before RP IS44E TO US166 E,.124 mile(s) before RT FF E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2003-08-28; years_of_sunset=INDEFINITE
NATHANAEL GREENE HIGHWAY,IS 44,MO 744 E,RA IS44E STRAFFORD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
CAPTAIN AARON J EIDEM MEMORIAL HIGHWAY,IS 44,.003 mile(s) after RT PP S,.001 mile(s) before MO 360 W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2018-08-28; years_of_sunset=INDEFINITE
CONGRESSMAN MEL HANCOCK FREEWAY,IS 44,.008 mile(s) after RT B S,.008 mile(s) after MO 266 W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2005-08-28; years_of_sunset=INDEFINITE
PURPLE HEART MEMORIAL HIGHWAY,IS 44,.005 mile(s) after RT H S,.006 mile(s) before MO 265 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-09-13; years_of_sunset=INDEFINITE
CPL JAY SAMPIETRO MO STATE HWY PATROL MEMORIAL HIGHWAY,IS 44,1.314 mile(s) after RA IS44E STRAFFORD E,1.848 mile(s) before RP IS44E TO RTB E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
EDWIN P. HUBBLE MEMORIAL HIGHWAY,IS 44,1.545 mile(s) before RP IS44E TO RTB E,.929 mile(s) after RP RTB TO IS44E E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2004-08-28; years_of_sunset=INDEFINITE
GOVERNOR PHIL M DONNELLY MEMORIAL HIGHWAY,IS 44,.012 mile(s) after CST ELM ST S,.012 mile(s) after RT MM E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-09-13; years_of_sunset=20 YEARS
CORPORAL DENNIS E ENGELHARD MEMORIAL HIGHWAY,IS 44,.052 mile(s) before RP MO100 TO IS44E E,.007 mile(s) before RR JEFFERSON CITY SUB E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2010-08-28; years_of_sunset=INDEFINITE
SERGEANT JAMES ALLEN COOK MEMORIAL HIGHWAY,IS 44,RT FF S,RT W E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2022-09-21; years_of_sunset=20 YEARS
GOVERNOR MEL CARNAHAN MEMORIAL HIGHWAY,IS 44,.015 mile(s) after RT V E,.015 mile(s) after MO 68 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2005-08-28; years_of_sunset=INDEFINITE
HENRY SHAW OZARK CORRIDOR,IS 44,.007 mile(s) before RR JEFFERSON CITY SUB E,.521 mile(s) after RT OO S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2002-08-28; years_of_sunset=INDEFINITE
CW2 RUSTEN SMITH MEMORIAL HIGHWAY,IS 44,.015 mile(s) after MO 68 E,RT U S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2024-09-11; years_of_sunset=20 YEARS
TROOPER RALPH TATOIAN MEMORIAL HIGHWAY,IS 44,US 50 E,.922 mile(s) before CRD ST MARYS RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
SSGT JOSHUA M SCHOENHOFF MEMORIAL HIGHWAY,IS 44,RT N E,RT FF S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1901-01-01; years_of_sunset=INDEFINITE
POLICE OFFICER ERNEST M BROCKMAN SR MEMORIAL HIGHWAY,IS 44,CST GEYER RD S,CST S ELM AVE S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2010-08-28; years_of_sunset=INDEFINITE
OFFICER DAVID HAYNES MEMORIAL HIGHWAY,IS 44,.013 mile(s) after CST VANDEVENTER AVE S,.014 mile(s) after CST MISSISSIPPI AVE S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2011-08-28; years_of_sunset=INDEFINITE
OFFICER MICHAEL BARWICK MEMORIAL HIGHWAY,IS 44,.059 mile(s) after RR METROLINK S,.024 mile(s) after CST KINGSHIGHWAY BLVD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-08-28; years_of_sunset=INDEFINITE
