Name,Reason
State Vietnam Veterans' Memorial,no road term
Beartooth Highway,not commemorative/person
Canamex Corridor,not commemorative/person
Montana Highway 3,not commemorative/person
Montana State Firefighters' Memorial,no road term
State Korean War Veterans' Memorial -- Butte,no road term
Official Home Of The Evelyn Cameron Gallery -- Terry,no road term
James E. McKenna Memorial Rest Area,no road term
Warrior Trail Highway,not commemorative/person
Montana Veterans' Memorial,no road term
Northeast Montana Veterans Memorial Park,no road term
Shelby Veterans' Memorial Flag Monument,no road term
Flathead County Veterans Memorial,no road term
Beartracks Bridge,not commemorative/person
Terry Spotted Wolf,no road term
State Korean War Veterans' Memorial -- Missoula,no road term
State Veterans' Memorial Rose Garden,no road term
State Iraq And Afghanistan Veterans' Memorial (Grateful Nation Montana),no road term
