Number,Name,Legal Reference,Category,commemorative_keyword,person_named,keep
1.0,Lewis And Clark Highway,60-1-202,State Legislative Road and Bridge Designations,False,True,True
4.0,State Vietnam Veterans' Memorial,1-1-512,Other Legislative Designations,True,False,True
5.0,Veterans Memorial Highway,60-1-203,State Legislative Road and Bridge Designations,True,False,True
7.0,Maureen And Mike Mansfield Heritage Route,60-1-204,State Legislative Road and Bridge Designations,False,True,True
16.0,Camino Real Corridor,,Federal Road Designations,False,True,True
17.0,Donald J. Ruhl Medal Of Honor Highway,60-1-206,State Legislative Road and Bridge Designations,True,False,True
19.0,First Special Services Force Memorial Highway,,State Road and Bridge Designations,True,True,True
27.0,Purple Heart Trail,60-1-210,State Legislative Road and Bridge Designations,True,False,True
28.0,Montana State Firefighters' Memorial,1-1-519,Other Legislative Designations,True,False,True
29.0,Theodore Roosevelt Expressway,,Federal Road Designations,False,True,True
30.0,Rawhide Stampede Rustlers And Rendezvous Trade Corridor,60-2-140,State Legislative Road and Bridge Designations,False,True,True
31.0,Patrick G. Galvin Memorial Highway,60-1-211,State Legislative Road and Bridge Designations,True,True,True
32.0,Richard Dean Roebling Memorial Highway,60-1-212,State Legislative Road and Bridge Designations,True,True,True
33.0,State Korean War Veterans' Memorial -- Butte,1-1-516,Other Legislative Designations,True,False,True
35.0,James E. McKenna Memorial Rest Area,,Other Legislative Designations,True,True,True
37.0,Paul J. Erickson Memorial Highway,,State Road and Bridge Designations,True,True,True
38.0,Robert E. Ewing Jr. Memorial Highway,60-1-213,State Legislative Road and Bridge Designations,True,True,True
39.0,Highway Patrol Officer Evan F. Schneider Memorial Highway,60-1-216,State Legislative Road and Bridge Designations,True,True,True
40.0,Highway Patrol Officer David Graham Memorial Highway,60-1-215,State Legislative Road and Bridge Designations,True,True,True
41.0,Kyle G. Bohrnsen PFC US Army Memorial Bridge,,State Road and Bridge Designations,True,True,True
42.0,Highway Patrol Officer Christopher L. Hoyt Memorial Highway,,State Road and Bridge Designations,True,True,True
43.0,Highway Patrol Officer David DeLaittre Memorial Highway,60-1-218,State Legislative Road and Bridge Designations,True,True,True
44.0,Highway Patrol Officer Michael W. Haynes Memorial Highway,60-1-217,State Legislative Road and Bridge Designations,True,True,True
45.0,Pintler Veterans' Memorial Scenic Highway,60-1-219,State Legislative Road and Bridge Designations,True,False,True
46.0,Deborah Hobbs, LCSO 15-47 Memorial Highway,State Road and Bridge Designations,False,True,True
47.0,Patrick A. Pyette Memorial Highway,60-1-220,State Legislative Road and Bridge Designations,True,True,True
48.0,Veterans Bridge,,State Road and Bridge Designations,True,False,True
49.0,Prisoner Of War / Missing In Action Memorial Highway,,State Road and Bridge Designations,True,False,True
50.0,Joshua Thomas 'Josh' Rutherford Memorial Highway,60-1-221,State Legislative Road and Bridge Designations,True,True,True
52.0,Fort Shaw Fire Chief David Anderson Memorial Highway,,Other MDT Designations,True,True,True
53.0,Highway Patrol Officer Michael M. Ren Memorial Highway,,Other MDT Designations,True,True,True
54.0,Highway Patrol Officer Richard E. Hedstrom Memorial Highway,,Other MDT Designations,True,True,True
55.0,Highway Patrol Officer James H. Anderson Memorial Highway,,Other MDT Designations,True,True,True
56.0,Highway Patrol Officer Robert G. Steele Memorial Highway,,Other MDT Designations,True,True,True
57.0,Patricia Abelin Memorial Bridge,,Other MDT Designations,True,True,True
58.0,Pikuni Veterans Memorial Bridge,,Other MDT Designations,True,False,True
59.0,Joseph J. Dunn Memorial Highway,60-1-222,State Legislative Road and Bridge Designations,True,True,True
60.0,Montana Veterans' Memorial,1-1-523,Other Legislative Designations,True,False,True
61.0,Northeast Montana Veterans Memorial Park,1-1-524,Other Legislative Designations,True,False,True
62.0,Ivan Doig Memorial Highway,,Other MDT Designations,True,True,True
63.0,David L. Briese Jr Memorial Highway,60-1-223,State Legislative Road and Bridge Designations,True,True,True
64.0,Shelby Veterans' Memorial Flag Monument,1-1-527,Other Legislative Designations,True,False,True
65.0,Senator Conrad Burns Memorial Highway,60-1-224,State Legislative Road and Bridge Designations,True,True,True
66.0,Michael John MacKinnon Memorial Bridge,,Other MDT Designations,True,True,True
67.0,Dolly Smith Akers Memorial Highway,60-1-229,State Legislative Road and Bridge Designations,True,True,True
68.0,Flathead County Veterans Memorial,,Other MDT Designations,True,False,True
69.0,Mason Moore Memorial Highway,60-1-230,State Legislative Road and Bridge Designations,True,True,True
70.0,Montana Medal Of Honor Highway,60-1-228,State Road and Bridge Designations,True,False,True
71.0,Minnie Spotted-Wolf Memorial Highway,60-1-234,State Road and Bridge Designations,True,True,True
72.0,Louis Charles Charlo Memorial Highway,60-1-235,State Road and Bridge Designations,True,True,True
73.0,Trenton Johnson Memorial Highway,60-1-226,State Road and Bridge Designations,True,True,True
74.0,Jeannette Rankin Memorial Highway,60-1-233,State Road and Bridge Designations,True,True,True
75.0,Brent Witham Memorial Highway,60-1-231,State Road and Bridge Designations,True,True,True
76.0,David Thatcher Memorial Highway,60-1-225,State Road and Bridge Designations,True,True,True
77.0,Pearl Harbor Veterans Memorial Highway,60-1-227,State Road and Bridge Designations,True,False,True
78.0,Tim W. Reardon Memorial Bridge,,Other MDT Designations,True,True,True
79.0,Jim Posewitz Memorial Highway,,Other MDT Designations,True,True,True
80.0,Helen Clarke Memorial Highway,60-1-237,State Road and Bridge Designations,True,True,True
82.0,Otto Fossen Memorial Highway,60-1-236,State Road and Bridge Designations,True,True,True
83.0,Terry Spotted Wolf, Sr. Memorial Highway,State Road and Bridge Designations,False,True,True
84.0,Harry A. Paulson Memorial Overpass,,Other MDT Designations,True,True,True
85.0,Chief Earl Old Person Memorial Highway,60-1-239,State Road and Bridge Designations,True,True,True
86.0,Jacob Allmendinger Memorial Highway,60-1-240,State Road and Bridge Designations,True,True,True
87.0,Ensign James A. Shelton Memorial Highway,60-1-241,State Road and Bridge Designations,True,True,True
88.0,Carbon County Veterans Memorial Loop,,Other MDT Designations,True,False,True
89.0,Arthur J. Rambo Memorial Bridge,,State Road and Bridge Designations,True,True,True
90.0,Jim Loud Thunder Gopher Memorial Highway,,State Road and Bridge Designations,True,True,True
91.0,Laverne Parrish Memorial Highway,,State Road and Bridge Designations,True,True,True
92.0,Danny L. Radish Highway,,State Road and Bridge Designations,False,True,True
,State Korean War Veterans' Memorial -- Missoula,1-1-517,Other Legislative Designations,True,False,True
,State Veterans' Memorial Rose Garden,1-1-518,Other Legislative Designations,True,False,True
,State Iraq And Afghanistan Veterans' Memorial (Grateful Nation Montana),1-1-521,Other Legislative Designations,True,False,True
