Number,Name,Legal Reference,Category,commemorative_keyword,person_named,keep,flag_reason
2.0,Lewis And Clark National Historic Trail Auto Route,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
3.0,Nez Perce National Historic Trail Auto Route,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
6.0,Beartooth Highway,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
8.0,Missouri Breaks Back Country Byway,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
9.0,Garnet Back Country Byway,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
10.0,Pioneer Mountains Scenic Byway,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
11.0,Big Sheep Creek Back Country Byway,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
12.0,Kings Hill Scenic Byway,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
13.0,Lake Koocanusa Scenic Byway,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
14.0,St. Regis-Paradise Scenic Byway,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
15.0,Charles M. Russell Trail,60-1-205,State Legislative Road and Bridge Designations,False,False,False,no commemorative keyword or person-name heuristic match
18.0,Canamex Corridor,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
20.0,Old Forts Trail,60-1-207,State Legislative Road and Bridge Designations,False,False,False,no commemorative keyword or person-name heuristic match
21.0,Montana Highway 3,60-1-208,State Legislative Road and Bridge Designations,False,False,False,no commemorative keyword or person-name heuristic match
23.0,Big Sky Back Country Byway,,Federal Road Designations,False,False,False,no commemorative keyword or person-name heuristic match
25.0,Tom Matsko Bluebird Trail Highway,,State Road and Bridge Designations,False,False,False,no commemorative keyword or person-name heuristic match
26.0,163rd Infantry Regiment (Sunset Division) Heritage Highway,60-1-209,State Legislative Road and Bridge Designations,False,False,False,no commemorative keyword or person-name heuristic match
34.0,Official Home Of The Evelyn Cameron Gallery -- Terry,1-1-526,Other Legislative Designations,False,False,False,no commemorative keyword or person-name heuristic match
36.0,Warrior Trail Highway,60-1-214,State Legislative Road and Bridge Designations,False,False,False,no commemorative keyword or person-name heuristic match
81.0,Beartracks Bridge,,Other MDT Designations,False,False,False,no commemorative keyword or person-name heuristic match
