highway_name,route_no,from_location,to_location,source_url,source_note
American Legion Memorial Highway,US-281,"Statewide, Kansas",South Dakota,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 1960
Andrew Jackson Higgins Expressway,US-81,N-64,Platte/Butler County Line,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 25-Oct-02
Bess Streeter Aldrich Memorial Highway,US-34,Lancaster/Cass County Line,N-1 at Elmwood,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 26-Oct-01
Blue Star Memorial Highway,US-83,"Statewide, Kansas",South Dakota,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: Aug-97
Senator Carl T. Curtis Drive,US-6 & US-3434,Kearney County line,county Line,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 6-Oct-97
Clayton Yeutter Highway,N-21,Cozad,N-23,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 28-Jun-96
Colonel Barney Oldfield Memorial Highway,US-136,"Tecumseh, city limits",,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 27-Sep-96
Crazy Horse Memorial Highway,US-20,Crawford,Hay Springs,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 22-Oct-10
Eisenhower Interstate System,"I-80, I-76, I-180, I-480, I-680, I-129",,,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 1990
General Gruenther Drive,S-71B,Platte Center Spur,,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 3-Jul-91
Gerald Ford Freeway,I-480,Omaha,,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 1982
Glenn Miller Memorial Highway,N-97,Lincoln & McPherson Counties,,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 30-Jun-99
Grand Army of the Republic Highway,US-6,"Statewide, Colorado",Iowa,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 1947
Great Plains Indian Highway,N-25,"Kansas Line, North",Sutherland,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 26-Oct-04
Harold Warp Memorial Drive,N-10,Minden,Kearney County Line,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 19-Dec-94
Henry Fonda Memorial Highway,US-34,Hamilton County Bridge,US-281,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 26-Jun-92
J. Sterling Morton Beltway,N-2/US-75,Missouri River Bridge,NW of Nebraska City,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 20-Nov-89
Jerome and Betty Warner Memorial Highway,N-2,Lincoln,Nebraska City,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: Oct-01
"John McLellan, Jr., Expressway",N-71,Gering,Scotts Bluff County/Banner County Line,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 27-Oct-99
Johnny Carson Blvd.,US-81,"in Norfolk, city limits",,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 1986
Kennedy Freeway,US-75,Bellevue,Omaha,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 1963
Mari Sandoz Sandhills Trail,N-27,Gordon,Ellsworth,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 27-Oct-00
Nebraska Medal of Honor Highway,US-20,Wyoming Line,Iowa Line,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 31-Jan-20
Pawnee Scouts Memorial Highway,N-22,N-14,Genoa,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 11-Dec-20
Purple Heart Memorial Highway,US-34,N-79,I-80,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 1-Jul-97
Robert Taylor Highway,US-136,Beatrice,Filley,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 25-Apr-94
Roger Welsch Avenue,N-58,"Dannebrog, city limits",,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 11-Jun-90
Sam Foltz Memorial Highway,N-56,from Greeley/US-281 east,Greeley/Boone County Line,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 10-Dec-21
Strategic Air Command Memorial Highway,N-370,Gretna,Bellevue,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 25-Aug-95
Tom Osborne Expressway,US-281,Hastings,Grand Island,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 1984
"""Twist"" Newberry Access Highway",L-56G,North Platte,,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 26-Nov-86
Veterans of Foreign Wars Memorial Highway,US-83,"Statewide, Kansas",South Dakota,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: Oct-00
War Veterans Memorial Highway,N-39,Genoa,St. Edward,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 3-Sep-87
Willa Cather Roadway,US-281,Red Cloud,Kansas Line,https://dot.nebraska.gov/media/xfvpmuap/named-hwy-list.pdf,Designation date: 15-Apr-99
