highway_name,route_no,from_location,to_location,source_url,source_note
Pleasant T. Macon Highway,1 N/B,MP 14.05-20.5 (So. Brunswick Twp.),,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Herbert Highway,1 and 9,MP 5.0-47.0,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
General Pulaski Skyway,1 and 9,MP 49.0-57.4,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Blakeslee Route,1&9,"near Broadway intersection, Jersey City",,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Thomas E. Dunn Memorial Highway,3,"North Service Road, E. Rutherford Boro.",,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
"Edwin L. Ward, Sr. Memorial Highway",3,"South Service Road, E. Rutherford Boro.",,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Mackay Highway,4,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Veterans of Foreign Wars of the United States,9,,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Police Unity Tour Memorial Highway,9,MP 0.00-31.04,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Lila W. Thompson Memorial Highway,9,MP 102.0-114.0,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Joann H. Smith Memorial Highway,9,MP 121.51-127.94 (Old Bridge Twp.),,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
American Legion Memorial Highway,10,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Samuel Hill Highway,12,MP 6.0-12.0,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
World War II Veterans Memorial Highway,18,MP5.14-29.92 & 34.78-43.71,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Purple Heart Memorial Highway,18,MP 29.92-34.78,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Memorial Highway (WWII & Korean Vets),18,MP 41.4-42.2,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
McCarter Highway,21,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Blue Star Drive,22,MP 41.0-53.0,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Military Order of the Purple Heart Memorial Hwy.,24,,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
John Fitch Way,29,MP 2.5-4.0,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
