highway_name,route_no,from_location,to_location,source_url,source_note
27th Div. Memorial Highway,NY 17,"Owego, Appalachian, Vestal, Johnson City, Binghamton, Windsor, Deposit, Hancock, Roscoe, Liberty, Harris, Monticello, Middletown, Chester, Harriman",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
86th Blackhawk Infantry Division Memorial Highway,NY 9W,"Rockland-Orange County line, Fort Montgomery, Highland Falls, New Windsor, Newburgh, Balmville, Milton, Highland, Esopus",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
87th Infantry Division Memorial Highway,I 390,"Avon, Rush, Henrietta",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
"88th Infantry Division, the Blue Devils Memorial Highway",NY 17,"Allegany-Steuben County line, Hornell, Howard, Avoca, Bath, Savona, excluding that portion of NY 17 from the Town of Campbell to the Village of Painted Post, Corning, SteubenChemung County line",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
The 94th Infantry Division Memorial Highway,NY 94,"New Jersey-New York State line, Warwick, Florida, Chester",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
96th Infantry Division WW II Memorial Highway,NY 96,"near Victor, near Shortsville",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
100th Infantry Division Memorial Parkway,Cross Island Parkway,"Cambria Heights, Elmont, Queens Village, Oakland Gardens, Bayside",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
156th Field Artillery Memorial Highway,NY 32,"Newburgh, Plattekill, Gardiner, New Paltz, Esopus, Rosendale, Ulster, Kingston",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
299th Engineer Combat Battalion Memorial Highway,I 190 and Robert Moses State Parkway,"Tonawanda, Niagara Falls, Lewiston, Youngstown",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
369th Harlem Hellfighter's Drive,,"Harlem River Drive, Harlem",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
