highway_name,route_no,from_location,to_location,source_url,source_note
Clifton Benson,,Raleigh Beltline; Wake County; I-40 SE of Raleigh looping nor,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 8/1/8383; Boad approved; minutes refer to resoluti
Allen Tate,,"I-485 from NC 115 (Old Statesville Road) to I-85, Mecklenburg",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 11/25/2014; Committee approved December 2014
E. Norris Tolson,,"NC 43 from city limits of Pinetops to SR 1611, Edgecombe Co",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,"NCDOT Road and Bridge Namings list; date 10/22/2014; Approved by Committee Nov 2014, and"
"Sen. James S. Forrester, MD",,"5 mile portion of NC 27 through the Town of Stanley, Gaston",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 10/2/2014; Approved by Board June 2015
Charles Slyvester Felts,,"Portion of Highway 18, Wilkes Co.",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 6/24/2014
The Airborne and Special Operations Highw,,"I-295, from I-95 to US 401, Cumberland County",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 5/27/2014; Approved July 2014
Bill G. Anderson,,"NC 16, 0.2 mi N of Wilkes-Alexander Co Line to near NC16-1",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 3/11/2014; Wilkes County resolution dated March 2
Congressman Tim Valentine,,"US 64, Nash County, from SR 1909 (Old County Home Rd) to",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 3/10/2014; Resolution from Nash County; April 2014
Senator Debbie Clary,,"US 74, 0.10 mi E of SR 1168 (Lattimore Rd) in Cleveland Co.",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 9/5/2013; Approved by BOT Sept 2013
Del Mccoury,,NC Hwy 261 beginning at 652 NC Hwy 261 ending at 5695 N,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 9/5/2013
