highway_name,route_no,from_location,to_location,source_url,source_note
Cpl. Willard Boston WallaceMemorial Highway,State Route 781,"The portion of SR 781, between mile marker 2 and mile marker 4, in Adams County",,https://codes.ohio.gov/ohio-revised-code/section/5534.674,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
TSgt. Grover Lee Swearingen Memorial Highway,U.S. Route 41,"The northbound and southbound lanes of SR 41, between Peebles, Ohio and West Union, Ohio, in Adams County",,https://codes.ohio.gov/ohio-revised-code/section/5534.835,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Governor Thomas Kirker Highway,State Route 136,"The road known as state route number one hundred thirty-six, running in a north and south direction through the counties of Adams and Highland and through the municipal corporations of Sugartree Ridge, Winchester, Cherry Fork, Bentonville, and Manchester shall be known as the ""Governor Thomas Kirker highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.13,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
The Atlantic and Pacific Highway,State Highway 7,"The road known as state highway number seven, extending along the Ohio river between Cincinnati, Ohio, and Gallipolis, Ohio, and through the counties of Hamilton, Clermont, Brown, Adams, Scioto, Lawrence, and Gallia and through the municipal corporations of Cincinnati, New Richmond, Neville, Higginsport, Ripley, Aberdeen, Manchester, Portsmouth, Ironton, Protorville, and Gallipolis is designated as ""the Atlantic and Pacific highway."" In Rome township, Lawrence county, the said Atlantic and Pacific highway shall follow state highway number five hundred and nine instead of number seven.",,https://codes.ohio.gov/ohio-revised-code/section/5533.02,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Old Zane Trace Memorial Highway,State Route 41,"The road known as state route number forty-one, running in a northeasterly and southwesterly direction, commencing at the village of Aberdeen, in Brown county, as the junction of United States route number fifty-two, and extending through the counties of Adams, Highland, and Pike to the junction of state route number forty-one with state route number fifty, at the west junction thereof, in Ross county, shall be known as the ""Old Zane Trace Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.2,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Adams County Vietnam Veterans Memorial Highway,U.S. Route 52,The portion of U.S. Route 52 running in an easterly and westerly direction across the entire southern portion of Adams County,,https://codes.ohio.gov/ohio-revised-code/section/5534.819,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
American Legion Memorial Highway,Interstate Route 75,"The road known as interstate route seventy-five, running in a southerly direction from the city of Toledo, Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery and Warren to the city of Cincinnati, Hamilton county, shall be known as the ""American Legion Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.24,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Pearl Harbor Memorial Highway,Interstate Route 75,"In addition to the designation in section 5533.24 of the Revised Code, the road known as interstate route seventy-five, running in a southerly direction from the city of Toledo in Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery, Warren, and Butler to the city of Cincinnati in Hamilton county, also shall be known as the ""Pearl Harbor Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.241,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
SPC Christian M. Neff Memorial Highway,Interstate Route 75,"The northbound and southbound lanes of I-75, between East 4th Street and National Road, in Allen and Auglaize counties",,https://codes.ohio.gov/ohio-revised-code/section/5534.832,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Officer Dominic Francis Memorial Highway,Interstate Route 75,"The northbound and southbound lanes of I-75, between mile markers 143 and 139, in Allen and Hancock counties",,https://codes.ohio.gov/ohio-revised-code/section/5534.438,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
