input_name,cleaned_name,input_type,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score,wikidata_occupation,wikidata_race,wikidata_sex,wikidata_birth_date,wikidata_death_date,wikipedia_link,ai_summary,ai_education,ai_dob,ai_dod,ai_place_of_birth,ai_place_of_death,ai_gender,ai_involved_in_sports,ai_involved_in_politics,ai_involved_in_military,ai_involved_in_music
Cpl. Willard Boston WallaceMemorial Highway,Cpl Willard Boston WallaceMemorial,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
TSgt. Grover Lee Swearingen Memorial Highway,TSgt Grover Lee Swearingen,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Governor Thomas Kirker Highway,Governor Thomas Kirker,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
The Atlantic and Pacific Highway,The Atlantic and Pacific,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Old Zane Trace Memorial Highway,Old Zane Trace,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Specialist 4 Samuel A. Johnson Memorial Highway,Specialist 4 Samuel A Johnson,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Corporal Lucas C. Scott Memorial Highway,Corporal Lucas C Scott,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Adams County Vietnam Veterans Memorial Highway,Adams County Vietnam Veterans,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
American Legion Memorial Highway,American Legion,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/American_Legion,,[],,,,,,,,,
Pearl Harbor Memorial Highway,Pearl Harbor,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Pearl_Harbor,,[],,,,,,,,,
Captain Dennis Pintor Memorial Highway,Captain Dennis Pintor,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Army Cpl. Nathan B. Carse Memorial Highway,Army Cpl Nathan B Carse,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
SPC Christian M. Neff Memorial Highway,SPC Christian M Neff,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Officer Dominic Francis Memorial Highway,Officer Dominic Francis,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Thirty-seventh Division Memorial Highway,Thirtyseventh Division,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Forty-second Rainbow Division Memorial Highway,Fortysecond Rainbow Division,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Trooper James R. Gross Memorial Highway,Trooper James R Gross,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Sheriff's Lieutenant John P. Gisclon Memorial Highway,Sheriffs Lieutenant John P Gisclon,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Thomas A. Van Meter Memorial Highway,Thomas A Van Meter,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Specialist Damon G. Winkleman Memorial Highway,Specialist Damon G Winkleman,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Ashland County Veterans' Memorial Highway,Ashland County Veterans,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Fireman First Class Irving Eugene Peters Memorial Highway,Fireman First Class Irving Eugene Peters,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
"Lt. Col. Albert L. Allen, Jr., Memorial Highway",Lt Col Albert L Allen Jr,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Corporal John E. Ruch Memorial Highway,Corporal John E Ruch,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
The Grand Army of the Republic Highway,The Grand Army of the Republic,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
