highway_name,route_no,from_location,to_location,source_url,source_note
American Legion Memorial Highway,US 281,Across Oklahoma on US 281,,https://www.odot.org/memorial/htmls/lista.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
American Wars Highway,US 75,Tulsa,Henryetta on US 75,https://www.odot.org/memorial/htmls/lista.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
J. M. Bailey Highway,SH 9; US 69,From US 69 in McIntosh Co. and extend west approximately 2 miles on SH 9,,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Carl Belew Memorial Highway,SH 20,Salina,Approximately One Mile West of Salina on SH20,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Henry Bellmen Highway,SH 15; US 177; SH 74,US 177 in Noble County,SH 74 in Garfield County on SH 15,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Leon Bench Memorial Highway,SH 97,Sapulpa,"Sand Springs on SH97 Commissiona Item 15, 2-1-93",https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Black Kettle Memorial Highway,SH 47; SH 47A,the Texas State Line,Cheyenne on SH47 and SH47A,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
John C. Blaylock Memorial Highway,US 75,From South Canadian River Bridge near Calvin and extending five miles north,,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Blue Star Memorial Highway,US 77,US77 Across Oklahoma. Dedicated in Honor of all Oklahomans who served in the Armed Forces of the United States in World War I and World War II.,,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Relocation of Plaque from monument to Fort Supply in Woodward County,US 77,Ft. Supply,,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Cliff Bogle Memorial Highway,SH 82; SH 12; SH 66,SH12 in Mayes County,SH66 in Craig County on SH82,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Nathan Boone Highway,SH 80,Fort Gibson north,the Fort Gibson Dam on SH80,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Truman Branscum Memorial Highway,US 177; I-40,north of I-40,Lincoln County on US 177,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Congressman Bill K. Brewster Highway,US 77; SH 199; SH 32,SH 199 in Carter County,SH 32 on US 77,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Dr. William R. Bright Bypass,SH 51,Broken Arrow,Coweta on SH51,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Broken Arrow Expressway,SH 51; US 75,US75 in Tulsa County,the City Limits of Coweta in Wagoner County on SH51,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Captain Otho Butler Memorial Highway,SH 1,Ada,Calvin on SH1,https://www.odot.org/memorial/htmls/listb.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Callahan Lane,SH 74; US 70,"Golf Course Access Road From intersection with US 70 west of Lake Texoma in Marshall County, the Access Road into Chickasa Pointe Golf Course.",,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Paul Carlile Road,SH 10; I-40; US 64,I40,US64 on SH10 Note: Mr. Carlile served as State Highway Commissioner from 1947 to 1959),https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Kit Carson Highway,US 64,Across Oklahoma on US 64,,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Centennial Expressway,I-40; I-44; I-235,I40,I44 in Oklahoma City on I235,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Lt. Col. Ernest Childers Highway,SH 72; SH 51B,From junction with SH 51B in Coweta and extending south 1.8 miles on SH 72,,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Chisholm Trail Historic Route,US 81; SH 45,US81 Across Oklahoma Monument Located at Junction of US81 and SH45,,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Jack H. Choate Memorial highway,SH 51; US 81; SH 132,US81,SH132 on SH51,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Choctaw-Chickasaw Trail of Tears Memorial Highway,US 70; I-35,Arkansas State Line,I-35,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Jean Pierre Chouteau Highway,US 69,Across Oklahoma On US 69,,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
The Cimarron Highway,US 412; US 60; US 64; I-244; US 270; SH 3,I-244 in Tulsa,US 270 - SH 3 in Woodward on US412,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
"Admiral Joe ""Jocko"" Clark Trailway",SH 66,Bushyhead,White Oak on SH66,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Helen Cole Memorial Highway,SH 2; I-240; I-35,I-240 in Oklahoma City,Indian Hills Road in the City of Norman on I-35,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Sid Cookerly Memorial Highway,US 77,,,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Gordon Cooper Expressway,US 270,Shawnee Bypass on US 270,,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Coo-Wee-Scoo-Wee Parkway,SH 8; US 169; SH 88,US 169,the Will Rogers Memorial near Lake Oologah on SH 88,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
Dr. Robert E. Cowling Memorial Highway,SH 99,From Richardson Loop in Ada and extending five miles north on SH 99,,https://www.odot.org/memorial/htmls/listc.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
John Dahl Avenue,SH 99,Pawhuska Bypass on SH99,,https://www.odot.org/memorial/htmls/listd.htm,ODOT Oklahoma Memorial Highways & Bridges (A–Z list pages; highways only; bridge entries excluded)
