highway_name,route_no,from_location,to_location,source_url,source_note
Iwo Jima Memorial Highway,Route 99 connector,Route 146 in Lincoln,Highland II Corporate Park in Cumberland (Route 99 connector in Woonsocket),https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-36.htm,R.I. Gen. Laws § 22-7.4-36: Route 99 connector in Woonsocket linking Route 146 in Lincoln to the Highland II Corporate Park in Cumberland.
John Eldred Parkway,RI-138,Jamestown-Verrazzano Bridge (Jamestown),Newport-Pell Bridge (Jamestown),https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-48.htm,R.I. Gen. Laws § 22-7.4-48: Route 138 between the Jamestown-Verrazzano Bridge and the Newport-Pell Bridge in Jamestown.
Mary Brennan Parkway,Airport connector (Warwick),Airport connector in Warwick,,https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-48.1.htm,R.I. Gen. Laws § 22-7.4-48.1: highway known as the airport connector in Warwick.
Korean War Veterans Memorial Highway,I-295,Entire length of I-295 in Rhode Island,,https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-49.htm,R.I. Gen. Laws § 22-7.4-49: entire length of Interstate 295 in Rhode Island.
Amvets Memorial Highway,I-95,Connecticut border,Massachusetts border,https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-57.htm,R.I. Gen. Laws § 22-7.4-57: Route 95 from the Connecticut border to the Massachusetts border.
Bruce Sundlun Road,Access road to T.F. Green Airport,Post Road (U.S. Route 1) in Warwick,Rhode Island T.F. Green International Airport terminal (Warwick),https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-58.htm,R.I. Gen. Laws § 22-7.4-58: access road from Post Road (US 1) to the airport terminal in Warwick.
American Legion Highway,RI-4,Route 95,Route 1,https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-66.htm,R.I. Gen. Laws § 22-7.4-66: section of Route 4 between Route 95 and Route 1.
Eddie Dowling Highway,RI-146,Entire length of Route 146,,https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-72.htm,R.I. Gen. Laws § 22-7.4-72: Route 146 in its entirety.
Veterans’ Way,RI-78,Section of Route 78 in Westerly,,https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-82.htm,R.I. Gen. Laws § 22-7.4-82: section of Route 78 in Westerly named “Veterans’ Way.”
Gladys Carr Bolhouse Connector Road,,America’s Cup Avenue (Newport),Washington Street (Newport),https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-84.htm,R.I. Gen. Laws § 22-7.4-84: road between America’s Cup Avenue and Washington Street in Newport (formerly Goat Island Connector Road).
Veterans’ Memorial Highway,RI-2,Junction of Route 2 and Route 102 south,Junction of Route 2 and Route 138,https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-89.htm,R.I. Gen. Laws § 22-7.4-89: portion of Route 2 between Route 102 south and Route 138.
Sgt. Timothy R. Giblin Highway,US-6,Hartford Avenue (Providence),Killingly Street (Providence),https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-102.htm,R.I. Gen. Laws § 22-7.4-102: US Route 6 between Hartford Avenue and Killingly Street in Providence.
1st Sergeant P. Andrew McKenna Memorial Highway,RI-114,Warren Bridge,Mount Hope Bridge,https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-130.htm,R.I. Gen. Laws § 22-7.4-130: Route 114 between the Warren Bridge and the Mount Hope Bridge (Bristol/Warren).
Gold Star Family Highway,RI-102 (Chopmist Hill Road),Route 44 in Chepachet,Southern boundary of the town of Glocester,https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-142.htm,R.I. Gen. Laws § 22-7.4-142: stretch of Route 102 (Chopmist Hill Road) from Route 44 in Chepachet to the southern boundary of Glocester.
Rhode Island Purple Heart Trail,RI-4 / RI-1,Warwick (Route 4),Westerly via Route 1 (merges in North Kingstown),https://webserver.rilegislature.gov/Statutes/TITLE22/22-7.4/22-7.4-143.htm,R.I. Gen. Laws § 22-7.4-143: Route 4 in Warwick merging into Route 1 in North Kingstown and extending to Westerly.
