highway_name,route_no,from_location,to_location,source_url,source_note
Texas Vietnam Veterans Memorial Highway,US 83,US 83 located in Texas.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Nolan Ryan Expressway,SH 288,SH 288 between Brazoria County line and Freeport.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Sam Houston Parkway,Beltway 8,Beltway 8 in Harris County.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Senator Lloyd Bentsen Highway,US 59,US 59 from its intersection with IH 45 to its intersection with IH 35.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
10 th Mountain Division Highway,US 290,US 290 from IH 35 to SH 95; the part of SH 95 from US 290 to SH 71; the part of SH 71 from SH 95 to IH 35.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
173D Airborne Brigade Memorial Highway,SH 173,SH 173 between its intersection with SH 16 near Kerrville and its intersection with SH 16 near Jourdanton.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
90TH Infantry Division Highway,US 90,US 90 in Bexar County from IH Loop 410 to FM 1518.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Second Indian Head Division Memorial Highway,FM 1535,FM 1535 between Fort Sam Houston and Camp Bullis.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Pearl Harbor Memorial Highway,US 290,US 290 between Johnson City and IH 10.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Presidential Corridor,US 290,US 290 from IH 35 to SH 21 and SH 21 from US 290 to SH 6.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Henry G. “Bud” Lehman Highway,US 290,US 290 on Lee County.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
"Ray C. Stoker, Jr. Highway",FM 503,FM 503 from Valera to FM 1929 and FM 1929 from FM 503 to US 83.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
S. M. Wright Freeway,US 175,US 175 in Dallas County between IH 45 and SH 310 and SH 310 between US 175 and SL 12.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
President George Bush Highway,SH 190,"SH 190 in Dallas, Collin, and Denton Counties.",,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Texas Korean War Veterans Memorial Highway,SH 6,SH 6 from the Red River to Hardeman County to its intersection with IH 45 in Galveston County.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
John B. Coleman Memorial Highway,SH 35,SH 35 in Harris County.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Stephen F. Austin Memorial Highway,SH 35,SH 35 in Matagorda and Brazoria counties.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
"The Bishop Ernest T. Dixon, Jr., Memorial Parkway",US 87,US 87 from its intersection with IH 410 in Bexar County to its intersection with SL 1604.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Patriot Parkway,Loop 12,"To commemorate the achievements of veterans buried at the national cemetery in Dallas County, SS 408 in Dallas County from IH Loop 12.",,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Congressman Frank M. Tejeda Memorial Highway,US 281,US 281 from its intersection with SL 410 in Bexar County to its intersection with the Atascosa/Bexar County Line.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Flournoy Road,FM 1931,FM 1931 in Alice.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Cesar Chavez Memorial Highway,SH 44,"SH 44 in Nueces County and Jim Wells County outside the city limits of Corpus Christi and exclusive of the segments of SH 44 that lie within the city limits of Robstown, Banquete, Agua Dulce, and Alice.",,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Atlas ICBM Highway,FM 604,FM 604 from SH 351 in Shackelford County to U.S. Highway 83 in Taylor County.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
,,,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
"Sergio Gonzalez, Jr., and Alfredo Gutierrez, Jr., M.D., Loop",,SS 239 in Val Verde County.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
"Sergeant Joe Parks, Jr. Memorial Highway",FM 457,"FM 457, from mile marker #648 to #677, located in the County of Matagorda.",,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Texas Independence Highway,SH 225,SH 225 between IH Loop 610 in Houston and SH 146 in La Porte.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Juan N. Seguin Boulevard,SH 134,Park Road 1836 between SH 134 and the San Jacinto Battleground.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Phantom Warriors Highway,SH 195,"SH 195 from IH 35 to the terminus of SH 195 in Killeen.  In this section, a reference to IH 35 or to the terminus of SH 195 in Killeen means the interstate highway and terminus as they existed on January 1, 2003.",,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Ralph L. Lowe Parkway,FM 528,FM 528 in the city of Friendswood.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Cesar Chavez Border Highway,SL 375,SL 375 between Zaragoza Avenue and Santa Fe Street in El Paso County.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Big Thicket National Preserve Parkway,US 69,US 69 between IH 10 in Beaumont and SL 287 in Lufkin.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Charles K. Devall Memorial Highway,US 259,"US 259 Relief Route from 0.4 mile south of the northern Kilgore municipal boundary to 0.7 mile south of the southern Kilgore municipal.  In this section, a reference to the Kilgore municipal boundary means that boundary as it exists on January 1, 2001.",,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Tom Landry Highway,IH 30,IH 30 between IH 35E in Dallas and IH 35W in Fort Worth.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
"L. P. ""Pete"" Gilvin Memorial Highway",SL 395,"SL 395 in the municipal boundaries of Amarillo.  In this section, a reference to the municipal boundaries of Amarillo means those boundaries as they exist on May 1, 2001.",,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
NASA Parkway,SH 146,NASA Road 1 from SH 146 to IH 45 and the part of FM 528 from IH 45 to SH 35.  This section does not affect the designation of part of FM 528 as the Ralph I. Lowe Parkway under this subchapter.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Chisholm Trail Parkway,SH 121,SH 121 between FM 1187 in Tarrant County and US 67 in Johnson County.,,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
Ronald Reagan Memorial Highway,IH0020,"The part of IH0020 between the Parker-Tarrant County Line and the eastern municipal boundary of Grand Prairie; and the part of US0290 in Harris County between the Waller-Harris County Line and Beltway 8.  - IH0027 between US0084 in Lubbock and IH0040 in Amarillo.  - US0281.  - FM2065 between SH0077 and County Road 2466.  - The structure on Spur 366 located in the city of Dallas  - SS0330 in Harris County.  - FM0068 in Fannin County.  - SH 36, from Abilene via Comanche,  - US 80, from the New Mexico State  - Old San Antonio Road, from San  - SH 5, from New Mexico State Line  - SH 66, from the Red River, near  - SH 87 in Galveston County from  -Walker County in Huntsville to  - SH 3 from Sabine River to Houston;  - US 84 from Lubbock to Brownwood;  - US 290, from IH 10, approx. 18.4  - SH 183, named by the Texas State Legislature for the freeway to",,https://www.dot.state.tx.us/tpp/hwy/memorialhwy.htm,TxDOT Texas Memorial Highway System (Transportation Code Chapter 225 list; highways only; bridge/interchange/structure entries excluded)
