highway_name,route_no,from_location,to_location,source_url,source_note
Blue Star Memorial Highway,WIS 23,Sheboygan County,,https://docs.legis.wisconsin.gov/statutes/statutes/84/1032,1993 Act 20
Cinco de Mayo Memorial Highway,WIS 59,City of Milwaukee,,https://docs.legis.wisconsin.gov/statutes/statutes/84/1043,1991 Act 39
Citizen Soldier Highway,WIS 27,Brule,Prairie du Chien,https://docs.legis.wisconsin.gov/statutes/statutes/84/1031,2003 Act 218
Donald K. 'Deke' Slayton Memorial Highway,WIS 27,Sparta,Cashton,https://docs.legis.wisconsin.gov/statutes/statutes/84/1037,2001 Act 16
84th Division 'Railsplitters' Memorial Highway,WIS 33,La Crosse,Port Washington,https://docs.legis.wisconsin.gov/statutes/statutes/84/1039,1995 Act 297
57th Field Artillery Brigade Memorial Highway,WIS 57,Milwaukee,Sister Bay,https://docs.legis.wisconsin.gov/statutes/statutes/84/1019,2007 Act 163
Frank Lloyd Wright Memorial Highway,US 14,Richland Center,Madison,https://docs.legis.wisconsin.gov/statutes/statutes/84/1025,1991 Act 27
Gaylord Nelson Highway,US 63,Pierce,Bayfield counties,https://docs.legis.wisconsin.gov/statutes/statutes/84/1051,2009 Act 116
Georgia O’Keeffe Memorial Highway,WIS 19,Sun Prairie,Marshall,https://docs.legis.wisconsin.gov/statutes/statutes/84/1021,2005 Act 137
Governor Nelson Dewey Memorial Highway,WIS 81,Cassville,Beetown,https://docs.legis.wisconsin.gov/statutes/statutes/84/102,1989 Act 76
Green Bay Ethnic Trail,WIS 54,Illinois state line,Green Bay,https://docs.legis.wisconsin.gov/statutes/statutes/84/1022,1993 Act 6
Iron Brigade Memorial Highway,US 12,Illinois state line,Minnesota state line,https://docs.legis.wisconsin.gov/statutes/statutes/84/1038,1993 Act 442
Jeannetta Simpson-Robinson Memorial Highway,I-43,North Ave,Atkinson Ave interchanges in Milwaukee,https://docs.legis.wisconsin.gov/statutes/statutes/84/1053,2009 Act 151
John R. Plewa Memorial Lake Parkway,WIS/I-794,Hoan Bridge,Layton Ave in Milwaukee County,https://docs.legis.wisconsin.gov/statutes/statutes/84/1044,1999 Act 9
Korean War Veterans Memorial Highway,US 51,Illinois,Michigan state line,https://docs.legis.wisconsin.gov/statutes/statutes/84/103,1987 Act 117
Lee and Lynn Copen Memorial Highway,WIS 50,60th Ave,70th Ave in Kenosha County,https://docs.legis.wisconsin.gov/statutes/statutes/84/10217,2009 Act 193
Major Richard I. Bong Memorial Highway,US 2,Minnesota state line,Michigan state line,https://docs.legis.wisconsin.gov/statutes/statutes/84/1036,2003 Act 218
173rd Airborne Brigade Highway,WIS 173,Monroe,Wood Counties,https://docs.legis.wisconsin.gov/statutes/statutes/84/1034,2005 Act 238
Peace Memorial Highway,US 53,La Crosse,Superior,https://docs.legis.wisconsin.gov/statutes/statutes/84/1035,1989 Act 343
Polish Heritage Highway,WIS 66,Stevens Point,Rosholt,https://docs.legis.wisconsin.gov/statutes/statutes/84/1048,1997 Act 27
Polish Veterans Memorial Highway,WIS 160,Angelica,Pulaski,https://docs.legis.wisconsin.gov/statutes/statutes/84/1049,1997 Act 27
POW/MIA Memorial Highway,WIS 13,Wisconsin Dells,Superior,https://docs.legis.wisconsin.gov/statutes/statutes/84/1047,1993 Act 396
Purple Heart Memorial Highway,US 14,Richland Center,Minnesota state line,https://docs.legis.wisconsin.gov/statutes/statutes/84/103,1993 Act 347
Stephen Ambrose Memorial Highway,US 12,County P,County Line Road in Whitewater,https://docs.legis.wisconsin.gov/statutes/statutes/84/10215,2009 Act 172
32nd Division Memorial Highway,WIS 32,Illinois,Michigan state line,https://docs.legis.wisconsin.gov/statutes/statutes/84/104,s. 84.104
Vietnam War Veterans Memorial Highway,US 10,Manitowoc,Minnesota state line,https://docs.legis.wisconsin.gov/statutes/statutes/84/103,1987 Act 117
Wisconsin Firefighters and Emergency Medical Technicians Highway,WIS 54,Algoma,Minnesota state line,https://docs.legis.wisconsin.gov/statutes/statutes/84/1027,2003 Act 218
Wisconsin Law Enforcement Officers Highway,US 151,Illinois state line,Manitowoc,https://docs.legis.wisconsin.gov/statutes/statutes/84/1026,2003 Act 218
Wisconsin Veterans Memorial Highway,I-90/94,Illinois state line,Minnesota state line,https://docs.legis.wisconsin.gov/statutes/statutes/84/103,1987 Act 117
World War I Veterans Memorial Highway,WIS 29,Kewaunee,Minnesota state line,https://docs.legis.wisconsin.gov/statutes/statutes/84/103,s. 84.103
World War II Veterans Memorial Highway,US 41,Milwaukee,Marinette,https://docs.legis.wisconsin.gov/statutes/statutes/84/103,1989 Act 343
