highway_name,route_no,from_location,to_location,source_url,source_note
Blue Star Memorial Highway,WIS 23,Sheboygan County,,,1993 Act 20
Cinco de Mayo Memorial Highway,WIS 59,City of Milwaukee,,,1991 Act 39
Citizen Soldier Highway,WIS 27,Brule,Prairie du Chien,,2003 Act 218
Donald K. 'Deke' Slayton Memorial Highway,WIS 27,Sparta,Cashton,,2001 Act 16
84th Division 'Railsplitters' Memorial Highway,WIS 33,La Crosse,Port Washington,,1995 Act 297
57th Field Artillery Brigade Memorial Highway,WIS 57,Milwaukee,Sister Bay,,2007 Act 163
Frank Lloyd Wright Memorial Highway,US 14,Richland Center,Madison,,1991 Act 27
Gaylord Nelson Highway,US 63,Pierce,Bayfield counties,,2009 Act 116
Georgia O’Keeffe Memorial Highway,WIS 19,Sun Prairie,Marshall,,2005 Act 137
Governor Nelson Dewey Memorial Highway,WIS 81,Cassville,Beetown,,1989 Act 76
Green Bay Ethnic Trail,WIS 54,Illinois state line,Green Bay,,1993 Act 6
Iron Brigade Memorial Highway,US 12,Illinois state line,Minnesota state line,,1993 Act 442
Jeannetta Simpson-Robinson Memorial Highway,I-43,North Ave,Atkinson Ave interchanges in Milwaukee,,2009 Act 151
John R. Plewa Memorial Lake Parkway,WIS/I-794,Hoan Bridge,Layton Ave in Milwaukee County,,1999 Act 9
Korean War Veterans Memorial Highway,US 51,Illinois,Michigan state line,,1987 Act 117
Lee and Lynn Copen Memorial Highway,WIS 50,60th Ave,70th Ave in Kenosha County,,2009 Act 193
Major Richard I. Bong Memorial Highway,US 2,Minnesota state line,Michigan state line,,2003 Act 218
173rd Airborne Brigade Highway,WIS 173,Monroe,Wood Counties,,2005 Act 238
Peace Memorial Highway,US 53,La Crosse,Superior,,1989 Act 343
Polish Heritage Highway,WIS 66,Stevens Point,Rosholt,,1997 Act 27
Polish Veterans Memorial Highway,WIS 160,Angelica,Pulaski,,1997 Act 27
POW/MIA Memorial Highway,WIS 13,Wisconsin Dells,Superior,,1993 Act 396
Purple Heart Memorial Highway,US 14,Richland Center,Minnesota state line,,1993 Act 347
Stephen Ambrose Memorial Highway,US 12,County P,County Line Road in Whitewater,,2009 Act 172
32nd Division Memorial Highway,WIS 32,Illinois,Michigan state line,,s. 84.104
Vietnam War Veterans Memorial Highway,US 10,Manitowoc,Minnesota state line,,1987 Act 117
Wisconsin Firefighters and Emergency Medical Technicians Highway,WIS 54,Algoma,Minnesota state line,,2003 Act 218
Wisconsin Law Enforcement Officers Highway,US 151,Illinois state line,Manitowoc,,2003 Act 218
Wisconsin Veterans Memorial Highway,I-90/94,Illinois state line,Minnesota state line,,1987 Act 117
World War I Veterans Memorial Highway,WIS 29,Kewaunee,Minnesota state line,,s. 84.103
World War II Veterans Memorial Highway,US 41,Milwaukee,Marinette,,1989 Act 343
