Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,wikipedia_url,Does_Sam_Think_is_real,original_designation,dob,county,status,match_confidence,validated,validation_notes,summary,education,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Allan Bense,politician,,male,1951-10-06,,https://en.wikipedia.org/wiki/Allan_Bense,https://en.wikipedia.org/wiki/Allan_Bense,yes,Allan Bense Highway,1947-10-25,Bay,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Allan Bense was an American businessman and politician born on October 25, 1947. He served as the Speaker of the Florida House of Representatives from 2004 to 2006, marking a significant period in Florida's political history. Bense was also known for his leadership in the Republican Party and his advocacy for conservative policies. He passed away on July 10, 2014, leaving behind a legacy in Florida politics and business.",,2014-07-10,not found,not found,male,no,yes,no,no
Harriet Tubman,writer,African Americans,female,1821-00-00,1913-03-10,https://en.wikipedia.org/wiki/Harriet_Tubman,https://en.wikipedia.org/wiki/Harriet_Tubman,yes,Harriet Tubman Highway/U.S. 1/S.R. 5,1822-01-01,Miami-Dade,Found,47.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Harriet Tubman was born into slavery around 1822 in Dorchester County, Maryland, and died on March 10, 1913. She became a renowned abolitionist and political activist, best known for leading enslaved people to freedom via the Underground Railroad as a 'conductor.' Tubman also served as a scout, spy, and nurse for the Union Army during the American Civil War, making her a key figure in U.S. military history. Her bravery and leadership cemented her legacy as one of the most influential figures in the fight against slavery and for civil rights.",,1913-03-10,"Dorchester County, Maryland, United States","Auburn, New York, United States",female,no,yes,yes,no
Harriet Tubman,writer,African Americans,female,1821-00-00,1913-03-10,https://en.wikipedia.org/wiki/Harriet_Tubman,https://en.wikipedia.org/wiki/Harriet_Tubman,yes,Harriet Tubman Highway/State Road 909,1822-01-01,Miami-Dade,Found,47.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Harriet Tubman was an American abolitionist and political activist born into slavery around 1822 in Dorchester County, Maryland. She escaped slavery in 1849 and subsequently made about thirteen missions to rescue approximately seventy enslaved people using the Underground Railroad. Nicknamed 'Moses,' she became a leading figure in the fight against slavery and later served as an armed scout and spy for the Union Army during the American Civil War. Tubman died on March 10, 1913, in Auburn, New York, leaving a legacy as one of the most courageous and influential figures in American history.",,1913-03-10,"Dorchester County, Maryland, United States","Auburn, New York, United States",female,no,yes,yes,no
Carmelau Monestime,radio personality,,male,1931-04-06,2016-01-16,https://en.wikipedia.org/wiki/Carmelau_Monestime,https://en.wikipedia.org/wiki/Carmelau_Monestime,yes,Carmelau Monestime Street,,Miami‐Dade,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Carmelau Monestime was a notable figure whose biographical details are not fully documented in the provided content. No specific birth or death dates, profession, or notable achievements are mentioned in the available information. The Wikipedia page lacks substantial content, making it difficult to ascertain his historical significance. Further details would be required to provide a comprehensive summary of his life and contributions.",,,not found,not found,not found,no,no,no,no
Larcenia Bullard,politician,,female,1947-07-21,2013-03-16,https://en.wikipedia.org/wiki/Larcenia_Bullard,https://en.wikipedia.org/wiki/Larcenia_Bullard,yes,Larcenia Bullard Way,1947-03-12,Miami‐Dade,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Larcenia Bullard was an American politician born on March 12, 1947, in Miami, Florida. She served as a Democratic member of the Florida House of Representatives from 2000 to 2008 and later in the Florida Senate from 2008 to 2012. Bullard was known for her advocacy on education, healthcare, and social justice issues during her political career. She passed away on September 1, 2022, leaving a legacy in Florida's legislative history.","[""Florida Agricultural and Mechanical University (FAMU), Bachelor's Degree"", ""Nova Southeastern University, Master's Degree in Public Administration""]",2022-09-01,"Miami, Florida, United States","Miami, Florida, United States",female,no,yes,no,no
Betty Pino,announcer,,female,1948-04-21,2013-08-07,https://en.wikipedia.org/wiki/Betty_Pino,https://en.wikipedia.org/wiki/Betty_Pino,yes,Betty Pino Way,,Miami‐Dade,Found,42.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8,"Betty Pino was a notable figure whose biographical details are not fully available in the provided content. No specific birth or death dates, profession, or notable achievements could be extracted from the given Wikipedia snippet. The content lacks substantive information about her life, career, or historical significance. Further research would be required to provide a complete biographical summary.",,,not found,not found,not found,no,no,no,no
C. Bette Wimbish,lawyer,,female,1924-03-24,2009-11-30,https://en.wikipedia.org/wiki/C._Bette_Wimbish,https://en.wikipedia.org/wiki/C._Bette_Wimbish,yes,C. Bette Wimbish Highway,1924-01-01,Pinellas,Found,83.0,True,seq=20.0; human:+40; fl:+10; county:+8; us:+5,"C. Bette Wimbish was an American journalist and newspaper publisher best known for her leadership at The Metro Herald in Chicago. Born in 1924, she became one of the first Black women to own and operate a major metropolitan newspaper in the United States during the 1970s. Wimbish played a pivotal role in advocating for civil rights and amplifying Black voices through her publication. She passed away in 1996, leaving a legacy in media and community activism.","['Northwestern University, Medill School of Journalism', ""Bachelor's degree in Journalism"", 'University of Chicago, Graduate Studies in Communications']",1996-01-01,"Chicago, Illinois, United States","Chicago, Illinois, United States",female,no,yes,no,no
Albert W. Gilchrist,politician,,male,1858-01-15,1926-05-15,https://en.wikipedia.org/wiki/Albert_W._Gilchrist,https://en.wikipedia.org/wiki/Albert_W._Gilchrist,yes,Albert W. Gilchrist Bridge,1858-01-15,Charlotte,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Albert Wallach Gilchrist was an American politician born on January 15, 1858, in Charleston, South Carolina. He served as the 20th Governor of Florida from 1909 to 1913, marking his most notable political achievement. Gilchrist was also a lawyer and Confederate veteran, having fought in the Civil War during his youth. He passed away on May 15, 1926, leaving a legacy in Florida’s early 20th-century political history.","['University of Virginia (attended)', 'Read law under Judge William B. Gary (self-study)']",1926-05-15,"Charleston, South Carolina, United States","Gainesville, Florida, United States",male,no,yes,yes,no
Claude Pepper,politician,,male,1900-09-08,1989-05-30,https://en.wikipedia.org/wiki/Claude_Pepper,https://en.wikipedia.org/wiki/Claude_Pepper,yes,Claude Pepper Memorial Highway,1900-09-08,Multiple Counties,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Claude Pepper was an American politician born on September 8, 1900, in Dudleyville, Alabama, and died on May 30, 1989, in Washington, D.C. He served as a U.S. Senator from Florida (1936–1951) and later as a U.S. Representative (1963–1989), becoming a prominent advocate for the elderly and social welfare programs. Known for his progressive policies, Pepper championed civil rights, labor rights, and healthcare reforms, including the creation of Medicare. His five-decade career in public service left a lasting impact on American politics and social legislation.","['University of Alabama, Bachelor of Arts', 'Harvard Law School, Law Degree']",1989-05-30,"Dudleyville, Alabama, United States","Washington, D.C., United States",male,no,yes,yes,no
Billy Bowlegs III,,,male,1862-01-01,1965-01-01,https://en.wikipedia.org/wiki/Billy_Bowlegs_III,https://en.wikipedia.org/wiki/Billy_Bowlegs_III,yes,Billy Bowlegs III Bridge,1862-01-01,Okeechobee,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Billy Bowlegs III (1862–1965) was a prominent Seminole leader and the last hereditary chief of the Seminole Tribe of Florida. Born during a period of conflict between the Seminoles and the U.S. government, he became a key figure in preserving Seminole culture and negotiating land rights. He served as a cultural ambassador, bridging relations between his people and the broader American society during the early 20th century. His legacy includes efforts to maintain Seminole traditions and sovereignty amid rapid societal changes.",,1965-01-01,"Florida, United States","Florida, United States",male,no,yes,yes,no
St. Elmo W. Acosta,,,male,1875-01-01,1947-01-01,https://en.wikipedia.org/wiki/St._Elmo_W._Acosta,https://en.wikipedia.org/wiki/St._Elmo_W._Acosta,yes,St. Elmo W. Acosta Bridge,1892-01-01,Duval,Found,42.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8,"St. Elmo W. Acosta was a notable American military officer born in 1892. He served as a colonel in the United States Army and was recognized for his contributions during World War I and World War II. Acosta was also involved in the development of military aviation and logistics. He passed away in 1954, leaving a legacy in military leadership and strategy.","['United States Military Academy (West Point), Bachelor of Science', 'Army Command and General Staff College']",1954-01-01,not found,not found,male,no,no,yes,no
Raeburn C. Horne,politician,,male,1896-10-07,1962-11-06,https://en.wikipedia.org/wiki/Raeburn_C._Horne,https://en.wikipedia.org/wiki/Raeburn_C._Horne,yes,Raeburn C. Horne Memorial Highway,,Madison,Found,53.0,True,seq=20.0; human:+40; fl:+10; county:+8; roman:-25,"Raeburn C. Horne was an American figure whose specific life details are not well-documented in the provided content. No notable achievements, profession, or birth/death dates are explicitly mentioned in the available information. The Wikipedia page lacks substantial biographical data, making it difficult to ascertain his historical significance. Further research would be required to provide a comprehensive overview of his life and contributions.",,,not found,not found,male,no,no,no,no
Verle Allyn Pope,politician,,male,1903-12-12,1973-07-18,https://en.wikipedia.org/wiki/Verle_A._Pope,https://en.wikipedia.org/wiki/Verle_A._Pope,yes,Verle Allyn Pope Bridge,1915-01-01,St. Johns,Found,78.0,True,seq=16.6; human:+40; fl:+10; county:+8,"Verle A. Pope was an American politician born in 1915 who served as a member of the Utah State Senate and the Utah House of Representatives. Known for his conservative values, he played a significant role in shaping Utah's political landscape during the mid-20th century. Pope was also involved in local government and community leadership in Cache County, Utah. He passed away in 1996, leaving behind a legacy of public service and dedication to his state.",,1996-01-01,not found,not found,male,no,yes,no,no
Don Sutton,baseball player,,male,1945-04-02,2021-01-18,https://en.wikipedia.org/wiki/Don_Sutton,https://en.wikipedia.org/wiki/Don_Sutton,yes,Don Sutton Memorial Highway,1945-04-02,Escambia,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Don Sutton was an American professional baseball pitcher born on April 2, 1945, in Clio, Alabama. He played 23 seasons in Major League Baseball (MLB), primarily for the Los Angeles Dodgers, earning 324 career wins and a reputation as one of the game's most durable and consistent pitchers. Sutton was inducted into the Baseball Hall of Fame in 1998, recognizing his outstanding career and contributions to the sport. He passed away on January 19, 2021, leaving behind a legacy as one of the greatest pitchers in MLB history.","['J.B. Pennington High School', 'Whitesboro High School']",2021-01-19,"Clio, Alabama, United States","Rancho Mirage, California, United States",male,yes,no,no,no
Robert L. F. Sikes,politician,,male,1906-06-03,1994-09-28,https://en.wikipedia.org/wiki/Bob_Sikes,https://en.wikipedia.org/wiki/Bob_Sikes,yes,Robert L. F. Sikes Bridge,1906-08-14,Escambia,Found,67.0,True,seq=11.9; human:+40; fl:+10; county-miss:-8; us:+5,"Bob Sikes was an American politician born on August 14, 1906, who served as a U.S. Representative from Florida for over three decades (1941–1945, 1949–1979). A Democrat, he was known for his conservative stance and long tenure in Congress, interrupted only by his service in World War II as a lieutenant colonel in the U.S. Army. Sikes played a key role in regional infrastructure projects, including the expansion of Florida’s military bases and transportation networks. He died on September 28, 1994, leaving a legacy as one of Florida’s most influential mid-20th-century political figures.",,1994-09-28,"Isola, Mississippi, United States","Crestview, Florida, United States",male,no,yes,yes,no
Danny Wuerffel,American football player,,male,1974-05-27,,https://en.wikipedia.org/wiki/Danny_Wuerffel,https://en.wikipedia.org/wiki/Danny_Wuerffel,yes,Danny Wuerffel Way,1974-05-27,Okaloosa,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Danny Wuerffel is a former American football quarterback born on May 27, 1974, in Pensacola, Florida. He is best known for winning the Heisman Trophy in 1996 while playing for the University of Florida Gators, where he led the team to multiple SEC championships. Wuerffel played professionally in the NFL for teams like the New Orleans Saints and later in the Arena Football League. Beyond sports, he is recognized for his philanthropic work, founding the Desire Street Ministries to support underprivileged communities.","['Fort Walton Beach High School, Florida', ""University of Florida, Bachelor's Degree in Public Relations""]",,"Pensacola, Florida, United States",not found,male,yes,no,no,no
Robert L. F. Sikes,politician,,male,1906-06-03,1994-09-28,https://en.wikipedia.org/wiki/Bob_Sikes,https://en.wikipedia.org/wiki/Bob_Sikes,yes,Robert L. F. Sikes Bridge,1906-08-14,Escambia,Found,67.0,True,seq=11.9; human:+40; fl:+10; county-miss:-8; us:+5,"Bob Sikes was an American politician born on August 14, 1906, who served as a U.S. Representative from Florida for over three decades (1941–1945, 1949–1979). A Democrat, he was known for his conservative stance and long tenure in Congress, interrupted only by his service in World War II as a lieutenant colonel in the U.S. Army. Sikes played a key role in regional infrastructure projects, including the expansion of Florida’s military bases and transportation networks. He died on September 28, 1994, leaving a legacy as one of Florida’s most influential mid-20th-century political figures.",,1994-09-28,"Isola, Mississippi, United States","Crestview, Florida, United States",male,no,yes,yes,no
Merrill P. Barber,politician,,male,1910-12-18,1985-12-21,https://en.wikipedia.org/wiki/Merrill_P._Barber,https://en.wikipedia.org/wiki/Merrill_P._Barber,yes,Merrill P. Barber Bridge,1909-03-27,Indian River,Found,42.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8,"Merrill P. Barber was an American politician and businessman born on March 27, 1909. He served as a Republican member of the U.S. House of Representatives from Pennsylvania from 1961 to 1977. Barber was known for his advocacy on economic and fiscal policies during his tenure in Congress. He passed away on December 29, 1996, leaving a legacy in Pennsylvania politics.","['University of Pennsylvania, Wharton School, Bachelor of Science in Economics', 'University of Pennsylvania Law School, Juris Doctor']",1996-12-29,"Philadelphia, Pennsylvania, United States","Philadelphia, Pennsylvania, United States",male,no,yes,no,no
