Name,Wikipedia Link,wikipedia_url,Does_Sam_Think_is_real
Allan Bense,https://en.wikipedia.org/wiki/Allan_Bense,https://en.wikipedia.org/wiki/Allan_Bense,yes
Harriet Tubman,https://en.wikipedia.org/wiki/Harriet_Tubman,https://en.wikipedia.org/wiki/Harriet_Tubman,yes
Harriet Tubman,https://en.wikipedia.org/wiki/Harriet_Tubman,https://en.wikipedia.org/wiki/Harriet_Tubman,yes
Carmelau Monestime,https://en.wikipedia.org/wiki/Carmelau_Monestime,https://en.wikipedia.org/wiki/Carmelau_Monestime,yes
Larcenia Bullard,https://en.wikipedia.org/wiki/Larcenia_Bullard,https://en.wikipedia.org/wiki/Larcenia_Bullard,yes
Betty Pino,https://en.wikipedia.org/wiki/Betty_Pino,https://en.wikipedia.org/wiki/Betty_Pino,yes
C. Bette Wimbish,https://en.wikipedia.org/wiki/C._Bette_Wimbish,https://en.wikipedia.org/wiki/C._Bette_Wimbish,yes
Albert W. Gilchrist,https://en.wikipedia.org/wiki/Albert_W._Gilchrist,https://en.wikipedia.org/wiki/Albert_W._Gilchrist,yes
Claude Pepper,https://en.wikipedia.org/wiki/Claude_Pepper,https://en.wikipedia.org/wiki/Claude_Pepper,yes
Billy Bowlegs III,https://en.wikipedia.org/wiki/Billy_Bowlegs_III,https://en.wikipedia.org/wiki/Billy_Bowlegs_III,yes
St. Elmo W. Acosta,https://en.wikipedia.org/wiki/St._Elmo_W._Acosta,https://en.wikipedia.org/wiki/St._Elmo_W._Acosta,yes
Raeburn C. Horne,https://en.wikipedia.org/wiki/Raeburn_C._Horne,https://en.wikipedia.org/wiki/Raeburn_C._Horne,yes
Verle Allyn Pope,https://en.wikipedia.org/wiki/Verle_A._Pope,https://en.wikipedia.org/wiki/Verle_A._Pope,yes
Don Sutton,https://en.wikipedia.org/wiki/Don_Sutton,https://en.wikipedia.org/wiki/Don_Sutton,yes
Robert L. F. Sikes,https://en.wikipedia.org/wiki/Bob_Sikes,https://en.wikipedia.org/wiki/Bob_Sikes,yes
Danny Wuerffel,https://en.wikipedia.org/wiki/Danny_Wuerffel,https://en.wikipedia.org/wiki/Danny_Wuerffel,yes
Robert L. F. Sikes,https://en.wikipedia.org/wiki/Bob_Sikes,https://en.wikipedia.org/wiki/Bob_Sikes,yes
Merrill P. Barber,https://en.wikipedia.org/wiki/Merrill_P._Barber,https://en.wikipedia.org/wiki/Merrill_P._Barber,yes
Dan McCarty,https://en.wikipedia.org/wiki/Daniel_T._McCarty,https://en.wikipedia.org/wiki/Daniel_T._McCarty,yes
Hamilton Disston,https://en.wikipedia.org/wiki/Hamilton_Disston,https://en.wikipedia.org/wiki/Hamilton_Disston,yes
Douglas Stenstrom,https://en.wikipedia.org/wiki/Douglas_Stenstrom,https://en.wikipedia.org/wiki/Douglas_Stenstrom,yes
Anne Ackerman,https://en.wikipedia.org/wiki/Annie_Ackerman,https://en.wikipedia.org/wiki/Annie_Ackerman,yes
Carlos Arboleya,https://en.wikipedia.org/wiki/Carlos_Arboleya,https://en.wikipedia.org/wiki/Carlos_Arboleya,yes
Carrie P. Meek,https://en.wikipedia.org/wiki/Carrie_Meek,https://en.wikipedia.org/wiki/Carrie_Meek,yes
Elaine Gordon,https://en.wikipedia.org/wiki/Elaine_Gordon,https://en.wikipedia.org/wiki/Elaine_Gordon,yes
Gwen Cherry,https://en.wikipedia.org/wiki/Gwen_Cherry,https://en.wikipedia.org/wiki/Gwen_Cherry,yes
Jim Mandich,https://en.wikipedia.org/wiki/Jim_Mandich,https://en.wikipedia.org/wiki/Jim_Mandich,yes
John F. Cosgrove,https://en.wikipedia.org/wiki/John_F._Cosgrove,https://en.wikipedia.org/wiki/John_F._Cosgrove,yes
Julia Tuttle,https://en.wikipedia.org/wiki/Julia_Tuttle,https://en.wikipedia.org/wiki/Julia_Tuttle,yes
Julia Tuttle,https://en.wikipedia.org/wiki/Julia_Tuttle,https://en.wikipedia.org/wiki/Julia_Tuttle,yes
Manolo Reyes,https://en.wikipedia.org/wiki/Manolo_Reyes,https://en.wikipedia.org/wiki/Manolo_Reyes,yes
Saint Marcellin Champagnat,https://en.wikipedia.org/wiki/Marcellin_Champagnat,https://en.wikipedia.org/wiki/Marcellin_Champagnat,yes
W. Howard Frankland,https://en.wikipedia.org/wiki/William_Howard_Frankland,https://en.wikipedia.org/wiki/William_Howard_Frankland,no
George Crady,https://en.wikipedia.org/wiki/George_Crady,https://en.wikipedia.org/wiki/George_Crady,yes
Christa McAuliffe,https://en.wikipedia.org/wiki/Christa_McAuliffe,https://en.wikipedia.org/wiki/Christa_McAuliffe,yes
