Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,wikipedia_url,Does_Sam_Think_is_real,original_designation,dob,county,status,match_confidence,validated,validation_notes,summary,education,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Jim Tullis,politician,,male,1941-11-03,2017-10-14,https://en.wikipedia.org/wiki/Jim_Tullis,https://en.wikipedia.org/wiki/James_B._Fuller,no,Jim Tullis Memorial Boulevard,,Duval,Found,61.6,True,seq=9.6; last-mismatch:-4; human:+40; fl:+10; county:+8,"James B. Fuller was an American politician who served in public office during the 20th century. He was a member of the Florida House of Representatives, contributing to state-level governance and legislative processes. Fuller later held the position of Duval County Clerk of Courts, overseeing administrative and judicial operations in the county. His career reflects a commitment to public service within Florida’s political and legal systems.",,,not found,not found,male,no,yes,no,no
Robert L. Clark,lawyer,,male,1872-01-31,,https://en.wikipedia.org/wiki/Robert_L._Clark,Not Found,no,Robert L. Clark Memorial Highway,,Broward,Not Found,23.0,False,seq=3.5; last-mismatch:-4; fl:+10; county:+8; us:+5,,,,,,,,,,
James Harold Thompson,politician,,male,1944-11-10,,https://en.wikipedia.org/wiki/James_Harold_Thompson,Not Found,no,James Harold Thompson Highway,,Gadsden,Not Found,11.3,False,seq=10.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
John U. Lloyd,,,,,,https://en.wikipedia.org/wiki/Dr._Von_D._Mizell-Eula_Johnson_State_Park,https://en.wikipedia.org/wiki/John_O%27Hurley,no,John U. Lloyd Bridge,1954-10-09,Broward,Found,72.3,True,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county:+8,"John O'Hurley is an American actor, comedian, and television personality born on October 9, 1954. He is best known for his role as J. Peterman on the NBC sitcom Seinfeld and as the host of Family Feud from 2006 to 2010. O'Hurley has also appeared in Broadway productions, including Chicago, and authored several books. His career spans television, theater, and voice acting, making him a versatile entertainer in the industry.","['Providence College', 'Bachelor of Arts in Theater', 'New York University (NYU), Tisch School of the Arts']",,"Kittery, Maine, United States",not found,male,no,no,no,yes
Helen Gordon Davis,actor,,female,1926-12-25,2015-05-18,https://en.wikipedia.org/wiki/Helen_Davis,Not Found,no,Helen Gordon Davis Boulevard,,Hillsborough,Not Found,18.7,False,seq=9.7; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Robert L. Shevin,lawyer,,male,1934-01-19,2005-07-11,https://en.wikipedia.org/wiki/Robert_L._Shevin,https://en.wikipedia.org/wiki/Bob_Graham,no,Robert L. Shevin Way,1936-11-09,Miami-Dade,Found,55.2,True,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Bob Graham was born on November 9, 1936, in Coral Gables, Florida, and is an American politician best known for his long career in public service. He served as the 38th Governor of Florida from 1979 to 1987 and later as a U.S. Senator from Florida from 1987 to 2005, becoming a prominent figure in the Democratic Party. Graham was recognized for his innovative 'workdays' program, where he spent time working in various jobs to better understand constituents' lives. His political legacy includes contributions to education, environmental policy, and national security during his tenure in office.","['University of Florida, B.S. in Political Science', 'Harvard Law School, LL.B.']",,"Coral Gables, Florida, United States",not found,male,no,yes,no,no
Robert L. Shevin,lawyer,,male,1934-01-19,2005-07-11,https://en.wikipedia.org/wiki/Robert_L._Shevin,https://en.wikipedia.org/wiki/Bob_Graham,no,Robert L. Shevin Memorial Boulevard,1936-11-09,Miami‐Dade,Found,55.2,True,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Daniel Robert 'Bob' Graham was born on November 9, 1936, and is an American politician who served as the 38th Governor of Florida from 1979 to 1987. He later represented Florida in the U.S. Senate from 1987 to 2005, becoming known for his bipartisan approach and focus on education and environmental issues. Graham also chaired the Senate Select Committee on Intelligence and was a key figure in national security discussions post-9/11. His political career spanned over four decades, leaving a lasting impact on Florida's and the nation's legislative landscape.","['University of Florida, B.S. in Political Science', 'Harvard Law School, J.D.']",,"Coral Gables, Florida, United States",not found,male,no,yes,yes,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no,Purple Heart Memorial Highway,1937-09-16,Okaloosa,Found,47.9,True,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Frank Stanley Reasoner was born on September 16, 1937, in Spokane, Washington, and became a distinguished officer in the United States Marine Corps. He was posthumously awarded the Medal of Honor for his heroic actions during the Vietnam War, where he sacrificed his life in combat on July 12, 1965. Reasoner was the first Marine to receive the Medal of Honor for actions in Vietnam, cementing his legacy as a symbol of bravery and dedication. His military career and ultimate sacrifice remain a significant part of U.S. Marine Corps history and the broader narrative of the Vietnam War.","['Gonzaga University, Bachelor of Science in Commerce, 1959']",1965-07-12,"Spokane, Washington, United States",Vietnam,male,no,no,yes,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Brevard,Not Found,18.5,False,seq=6.5; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
