Name,Wikipedia Link,wikipedia_url,Does_Sam_Think_is_real
Jim Tullis,https://en.wikipedia.org/wiki/Jim_Tullis,https://en.wikipedia.org/wiki/James_B._Fuller,no
Robert L. Clark,https://en.wikipedia.org/wiki/Robert_L._Clark,Not Found,no
James Harold Thompson,https://en.wikipedia.org/wiki/James_Harold_Thompson,Not Found,no
John U. Lloyd,https://en.wikipedia.org/wiki/Dr._Von_D._Mizell-Eula_Johnson_State_Park,https://en.wikipedia.org/wiki/John_O%27Hurley,no
Helen Gordon Davis,https://en.wikipedia.org/wiki/Helen_Davis,Not Found,no
Robert L. Shevin,https://en.wikipedia.org/wiki/Robert_L._Shevin,https://en.wikipedia.org/wiki/Bob_Graham,no
Robert L. Shevin,https://en.wikipedia.org/wiki/Robert_L._Shevin,https://en.wikipedia.org/wiki/Bob_Graham,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Francis Gibbs,,Not Found,no
Julia Munroe Woodward,https://en.wikipedia.org/wiki/Florida_State_Road_269,https://en.wikipedia.org/wiki/Ida_Tarbell,no
Bessie Coleman,https://en.wikipedia.org/wiki/Bessie_Coleman,Not Found,no
Fred Karl,https://en.wikipedia.org/wiki/Frederick_B._Karl,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Ralph Sanchez,https://en.wikipedia.org/wiki/Ralph_Sanchez,https://en.wikipedia.org/wiki/Jaime_S%C3%A1nchez_%28actor%29,no
Robert L. Shevin,https://en.wikipedia.org/wiki/Robert_L._Shevin,https://en.wikipedia.org/wiki/Bob_Graham,no
Robert L. Shevin,https://en.wikipedia.org/wiki/Robert_L._Shevin,https://en.wikipedia.org/wiki/Bob_Graham,no
Stanley G. Tate,https://en.wikipedia.org/wiki/Stanley_G._Tate,Not Found,no
Miami Springs,"https://en.wikipedia.org/wiki/Miami_Springs,_Florida",https://en.wikipedia.org/wiki/Lomas_Brown,no
Guillermo Zamora,,https://en.wikipedia.org/wiki/Gonzalo_S%C3%A1nchez_de_Lozada,no
Rene Ledesma,,https://en.wikipedia.org/wiki/RJ_Ledesma,no
Muhammad Ali,https://en.wikipedia.org/wiki/Muhammad_Ali,Not Found,no
Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela,Not Found,no
Gulf Coast,https://en.wikipedia.org/wiki/Gulf_Coast_of_the_United_States,https://en.wikipedia.org/wiki/Nature_Coast,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Tom Adams,https://en.wikipedia.org/wiki/Tom_Adams_(illustrator),Not Found,no
S. Chesterfield Smith,https://en.wikipedia.org/wiki/S._Chesterfield_Smith,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no
Matanzas Pass,https://ceb.wikipedia.org/wiki/Matanzas_Pass,https://en.wikipedia.org/wiki/William_Katt,no
Anna Maria Island,https://en.wikipedia.org/wiki/Anna_Maria_Island,https://en.wikipedia.org/wiki/Rick_Bisio,no
H. E. Boyd,https://en.wikipedia.org/wiki/H._E._Boyd,Not Found,no
Longboat Key,"https://en.wikipedia.org/wiki/Longboat_Key,_Florida",https://en.wikipedia.org/wiki/Larry_Elgart,no
