name,ref
Seward Highway,AK 1
Ingra Street,AK 1
Glenn Highway,AK 1
Steese Highway,AK 2
Robert Mitchell Expressway,AK 3
Elliott Highway,AK 2
Steese Highway,AK 6
George Parks Highway,AK 3
Richardson Highway,AK 2
Main Street,AK 7
Haines Highway,AK 7
Haines Hwy Cut-Off,AK 7
South Franklin Street,AK 7
Marine Way,AK 7
Stedman Street,AK 7
South Tongass Avenue,AK 7
Mill Street,AK 7
Tongass Avenue,AK 7
Water Street,AK 7
North Tongass Highway,AK 7
Seward Highway,AK 9
Ocean Drive,AK 1
Sterling Highway,AK 1
3rd Avenue,AK 9
Nancy Susitna Trail,AK 3
Denali Highway,AK 8
Dalton Highway,AK 11
West Parks Highway,AK 3
Hydaburg Highway,AK 913
Klawock Hollis Highway,AK 924
Craig-Klawock Highway,AK 924
Big Salt Road,AK 929
1st Avenue,AK 98
Klondike Highway,AK 98
23rd Avenue,AK 98
Alaska Highway,AK 2
Tok Cutoff,AK 1
Taylor Highway,AK 5
Richardson Highway,AK 4
Amundsen Street,AK 5
Copper River Highway,AK 10
Richardson Highway,AK 1;AK 4
New England Cannery Road,AK 10
1st Street,AK 10
South Nordic Drive,AK 7
North Nordic Drive,AK 7
Ocean Dock Road,AK 10
Orca Inlet Road,AK 10
Mitkof Highway,AK 7
Manley Hot Springs Road,AK 2
East Egan Avenue,AK 4
East 5th Avenue,AK 1
Glacier Highway,AK 7
Gambell Street,AK 1
East 6th Avenue,AK 1
East Parks Highway,AK 3
Front Street,AK 7
Edgerton Highway,AK 10
Nordic Drive,AK 7
Egan Drive,AK 7
South Tongass Highway,AK 7
Lake Street,AK 1
Homer Bypass Road,AK 1
Boundary Road,AK 929
Broadway,AK 98
O'Brien Creek Road,AK 10
Homer Spit Road,AK 1
New Richardson Highway,AK 2
Captain William Moore Bridge,AK 98
Parks Highway,AK 3
State Street,AK 98
Spruce Street,AK 6
