route,name
AK-1,Seward Highway
INHT;TR-150,Portage Pass Trail
AK-1,Glenn Highway
AK-2,Steese Highway
AK-3,Robert Mitchell Expressway
AK-2,Elliott Highway
AK-6,Steese Highway
AK-3,George Parks Highway
AK-2,Richardson Highway
AK-7,Haines Highway
TR-33565,Bessie Creek Trail
TR-338442,Peterson Creek Trail
TR-33547,Spaulding Meadows Trail
TR-33447,Eagle Glacier Trail
TR-33511,Montana Creek Trail
AK-7,North Tongass Highway
AK-9,Seward Highway
TR-317,Resurrection Pass Trail
AK-1,Sterling Highway
TR-312,Lost Lake Trail
TR-305,Devils Creek Trail
TR-308,Crescent Creek Trail
INHT;TR-365,Moose Pass Trail
TR-316,Ptarmigan Lake Trail
TR-319,Resurrection River Trail
TR-345,Bean Creek Trail
TR-3010,Crescent Lake Trail
TR-340,Falls Creek Trail
AK-3,Nancy Susitna Trail
TR-321,Grant Lake Trail
TR-318,Russian Lakes Trail
TR-323,Victor Creek Trail
AK-8,Denali Highway
AK-11,Dalton Highway
AK-3,West Parks Highway
AK-913,Hydaburg Highway
AK-924,Klawock Hollis Highway
AK-98,Klondike Highway
AK-2,Alaska Highway
AK-5,Taylor Highway
AK-4,Richardson Highway
223,Lake Elsner Trail
AK-10,Copper River Highway
AK-1;AK-4,Richardson Highway
201,Crater Lake Trail
204,Eyak River Trail
AK-7,Mitkof Highway
NF-9952,Colorado Trail
AK-7,Glacier Highway
AK-3,East Parks Highway
BC-37A,Glacier Highway
YK-2,Klondike Highway
TR-142,Williwaw Nature Trail
AK-10,Edgerton Highway
AK-7,South Tongass Highway
TR-124,Byron Glacier Trail
INHT;TR-310,Johnson Pass Trail
TR-304,Carter Lake Trail
TR-348,Summit Creek Trail
AK-2,New Richardson Highway
TR-33494,Windfall Lake Trail
TR-33480,Herbert Glacier Trail
YK-1,Alaska Highway
TR-357,Rendezvous Creek Trail
TR-155,Spencer Glacier Trail
TR-313,Primrose Trail
INHT;TR-320,Grayling Lake Trail
INHT;TR-136,Winner Creek Trail
TR-33TJ,Taku Jeep Trail
TR-33680,Auke Nu Trail
AK-3,Parks Highway
232,Sheridan Glacier Trail
228,Ibeck Slough Trail
205,Sheridan Mountain Trail
221,Heney Ridge Trail
223,Sand Trail
206,Haystack Trail
208,Pipeline Lakes Trail
210,Saddlebag Glacier Trail
22626,Mallard Slough Trail
54799,Balls Lake Trail
51720,Canoe Point Trail
52711,Gokachin Trail
52731,Reflection Lake Trail
55715,Humpback Trail
52728,Lunch Creek Trail
22527,Aaron Creek Trail
22408,Anan Creek Trail
52783,Meyers Chuck Trail
22506,Kunk Lake Trail
55743,Winstanley Lake Trail
52740,Connell Lake Trail
52732,Orchard Lake Trail
52745,Mcdonald Lake Trail
22575,Thoms Lake Trail
52719,Long Lake Trail
52760,Black Mountain Trail
52791,Salvage Trail
52784,Betton Island Trail
542087100,Flicker Creek Trail
55755,Titan Trail
52701,Shelokum Lake Trail
2143251,White Alice Trail
226277,Uproot Trail
21534,Petersburg Lake Trail
52794,Pipeline Trail
55729,Punchbowl Lake Trail
22515,Mill Creek Trail
52726,Perseverance Trail
52797,Margaret Trail
54793,Sweetwater Lake Trail
55704,Checats Lake Trail
21585,Petersburg Mountain Trail
216226,Claptrap Trail
21488,Harvey Lake Trail
35663,Lower Tawah Trail
54795,Shipley Bay Trail
51776,Sunnahae Mountain Trail
52722,Silvis Lake Trail
54776,Beaver Falls Trail
542087000,Flicker Ridge Trail
51745,Dog Salmon Trail
55702,Bakewell Lake Trail
21458,Cascade Creek Trail
55724,Nooya Lake Trail
22528,Berg Creek Trail
21459,Castle River Trail
21602,Crane Lake Trail
21508,Ideal Cove Trail
21462,Goose Lake Trail
21600,Sand Lake Trail
21607,Raven Trail
543017000,Gravel Creek Trail
21467,Cathedral Falls Trail
21457,Spurt Lake Trail
2252023,Baht Atv Trail
51775,Twelvemile Trail
2252032,Vial Pass Trail
512024300,Maybeso Road Trail
54798,Hatchery Creek Trail
22421,Highbush Lake Trail
22574,Long Lake Trail
2250022,Garnet Trail
51717,Kegan Lake Trail
21501A,Mitchell Creek Trail
52792,Ward Creek Trail
54786,Salt Chuck Trail
2250001,Boulder Trail
55707,Ella Lake Trail
21601,Hill Lake Trail
35661,Tawah Creek Trail
21603,Ohmer Creek Trail
21461,Colp Lake Trail
52785,Dude Mountain Trail
51743,Cable Creek Trail
2250002,Deer Ridge Trail
2250060,Big Hollow Trail
216103,Patterson River Trail
21463,Hamilton Creek Trail
54749,Deweyville Trail
55721,Manzanita Lake Trail
226594,Mustang Lake Trail
35725,Lost River Trail
21501,Mitchell Creek Trail
54717,Gravelly Creek Trail
54780,Karta Bay Trail
51737,Trocadero Trail
54716,Karta River Trail
54781,Memorial Beach Trail
216256,Muddy River Trail
54788,Karta Falls Trail
226587,Macnamara Point Trail
2252034,Vial Divide Trail
542360000,Fish City Trail
