name,ref
Seward Highway,AK 1
Ingra Street,AK 1
Portage Pass Trail,INHT;TR 150
Crow Creek Road,FS 4095
Glenn Highway,AK 1
Steese Highway,AK 2
Robert Mitchell Expressway,AK 3
Elliott Highway,AK 2
Steese Highway,AK 6
George Parks Highway,AK 3
Richardson Highway,AK 2
Main Street,AK 7
Haines Highway,AK 7
Haines Hwy Cut-Off,AK 7
South Franklin Street,AK 7
Bessie Creek Trail,TR 33565
Marine Way,AK 7
Peterson Creek Trail,TR 338442
Spaulding Meadows Trail,TR 33547
Herbert River Road,FS 8454
Eagle Glacier Trail,TR 33447
Montana Creek Trail,TR 33511
Stedman Street,AK 7
Snug Harbor Road,FS 1030
South Tongass Avenue,AK 7
Mill Street,AK 7
Tongass Avenue,AK 7
Water Street,AK 7
North Tongass Highway,AK 7
Seward Highway,AK 9
Resurrection Pass Trail,TR 317
Ocean Drive,AK 1
Sterling Highway,AK 1
Trail River Campground Road,FS 2050200
Lost Lake Trail,TR 312
Devils Creek Trail,TR 305
Resurrection Creek Road,FS 4460100
Russian River Campground Road,FS 1015000
Crescent Creek Trail,TR 308
Falls Creek ORV Trail,TR 340
Solar Mountain Road,FS 2000850
Ptarmigan Creek Cutoff Trail,TR 356
Trail River Road,FS 2050
Moose Pass Trail,INHT;TR 365
Ptarmigan Lake Trail,TR 316
Lost Lake Winter Trail,TR 611
Resurrection River Trail,TR 319
Bean Creek Trail,TR 345
3rd Avenue,AK 9
Old Sterling Spur Road,FS 1000910
Crescent Lake Trail,TR 3010
Falls Creek Trail,TR 340
Nancy Susitna Trail,AK 3
Palmer Creek Road,FS 4460
Russian River Falls Trail,TR 358
Grant Lake Trail,TR 321
Russian Lakes Trail,TR 318
Victor Creek Trail,TR 323
Lost Lake Road,FS 2060001
Denali Highway,AK 8
Dalton Highway,AK 11
West Parks Highway,AK 3
Coffman Cove Loop,NFD 3030
Hydaburg Highway,AK 913
Sawmill Creek Road,S-933
Halibut Point Road,F-99
Klawock Hollis Highway,AK 924
Craig-Klawock Highway,AK 924
Big Salt Road,AK 929
Kennel Creek,FR 8502;FR 8508
1st Avenue,AK 98
Klondike Highway,AK 98
23rd Avenue,AK 98
Alaska Highway,AK 2
Childs Glacier Road,FR 550
Tok Cutoff,AK 1
Taylor Highway,AK 5
Richardson Highway,AK 4
Lake Elsner Trail,223
Amundsen Street,AK 5
Copper River Highway,AK 10
Richardson Highway,AK 1;AK 4
New England Cannery Road,AK 10
1st Street,AK 10
Sheridan Glacier Road,FR 210
Crater Lake Trail,201
South Nordic Drive,AK 7
North Nordic Drive,AK 7
Eyak River Trail,204
Ocean Dock Road,AK 10
McKinley Lake Trail,209
Orca Inlet Road,AK 10
Mitkof Highway,AK 7
Cabin Lake Road,FR 200
Tawah Creek Road,FD 9963
Colorado Road,NF 9952
Colorado Trail,NF 9952
Manley Hot Springs Road,AK 2
Stewart-Cassiar Highway,BC 37A
East Egan Avenue,AK 4
East 5th Avenue,AK 1
Glacier Highway,AK 7
Gambell Street,AK 1
East 6th Avenue,AK 1
Portage Glacier Road,FFH 35
East Parks Highway,AK 3
Glacier Highway,BC 37A
5th Avenue,BC 37A
Conway Street,BC 37A
19th Avenue,BC 37A
Klondike Highway,YK 2
Williwaw Nature Trail,TR 142
Front Street,AK 7
Edgerton Highway,AK 10
Ranger Station Spur,FS 2000550
Nordic Drive,AK 7
Begich Boggs Visitor Center Road,FS 4700400
Alaganik Road,FR 240
Tern Lake Day Use Road,FS 1000900
Egan Drive,AK 7
South Tongass Highway,AK 7
Lake Street,AK 1
Homer Bypass Road,AK 1
Moose Flats Road,FS 4700080
Bertha Creek Campground Road,FS 4000500
Johnson Pass Trail Road,FS 4000480
Black Bear Campground Road,FS 4700230
Byron Glacier Road,FS 4700450
Byron Glacier Trail,TR 124
Trail of Blue Ice,TR 152
Boundary Road,AK 929
Broadway,AK 98
O'Brien Creek Road,AK 10
Top of the World Highway,YK 9
Johnson Pass Trail,INHT;TR 310
Carter Lake Trailhead Road,FS 2000900
Carter Lake Trail,TR 304
Summit Creek Trail,TR 348
Quartz Creek Road,FS 1050
Resurrection Pass South Trailhead Road,FS 1000010
Trout Lake Cabin Trail,TR 327
Homer Spit Road,AK 1
East Gate Road,NF 9955
Dangerous River Road,FS HWY 10
New Richardson Highway,AK 2
Situk Lake Trail Head Road,NF 99551
West Gate Road,NF 9951
Rainbow Trout Left Loop Road,FS 1015017
Red Salmon Loop Road,FS 1015012
Steelhead Loop Road,FS 1015014
Silver Salmon Loop Road,FS 1015015
King Salmon Loop Road,TR 1015018
Windfall Lake Trail,TR 33494
Windfall Lake Spur,TR 33494A
Herbert Glacier Trail,TR 33480
Alaska Highway,YK 1
Russian River Campground Overflow Road,FS 1015003
Russian River Campground Exit Road,FS 1015001
Rendezvous Creek Trail,TR 357
K'Beq Road,FS 1000025
Russian River Anglers Trail,TR 307
Ptarmigan Creek Campground Road,FS 2000495
Trosper Road,3532
Crown Point ATV Trail,TR 343
Crescent Creek Campground Road,FS 1050150
Sterling Spur Road,FS 1000913
Spencer Glacier Trail,TR 155
Primrose Trail,TR 313
Primrose Landing Road,FS 2030
Primrose Campground Road,FS 2030010
Spruce Creek Bridge,1783
Grayling Lake Trail,INHT;TR 320
Captain William Moore Bridge,AK 98
Winner Creek Trail,INHT;TR 136
Pete Isleib Memorial Boardwalk,200
Trail of Blue Ice Winter Trail,TR 452
Trail of Blue Ice,TR 452
Moose Flats Wetland Trail,TR 122
Wagon Road Snowtrail,TR 647
Taku Jeep Trail,TR 33TJ
Auke Nu Trail,TR 33680
Parks Highway,AK 3
Swan Lake Cabin Trail,TR 364
Sheridan Glacier Trail,232
Ibeck Slough Trail,228
Sheridan Mountain Trail,205
Alice Smith Intertie Trail,202
Heney Ridge Trail,221
Sand Trail,223
Haystack Trail,206
Pipeline Lakes Trail,208
Saddlebag Glacier Trail,210
Saddlebag Glacier Road,FR 330
Staney Creek Cabin Trail,54789
Staney Creek Campground Road,FR 300
Mallard Slough Trail,22626
State Street,AK 98
North Staney Road,FR 2054305
North Prince Of Wales Road,FR 2
Twin Island Lake Road,FR 2700
Sink Hole Road,FR 2730
8400000 System Shoal Cove Trail,528400SHOAL
Frederick Drive,FR 6204
Man Made Hole Trail,21604
Honker Divide Portage,790
Balls Lake Trail,54799
Canoe Point Trail,51720
Gokachin Trail,52711
Reflection Lake Trail,52731
Humpback Trail,55715
Twin Mountain High Basin Trail,542050752
Lunch Creek Trail,52728
Aaron Creek Trail,22527
Naha River National Recreation Trail,52725
Anan Creek Trail,22408
Meyers Chuck Trail,52783
Kunk Lake Trail,22506
Winstanley Lake Trail,55743
2710000 Rd Twin Island 10 Trail,542710000
2100121 Rd Trail,512100121
Connell Lake Trail,52740
3075500 Road Trail,543075500
Orchard Lake Trail,52732
Mcdonald Lake Trail,52745
8337000 Road Trail,528337000
Ward Creek - Amana Gulch Spur Trail,52792B
Twin Mountain North Slope Trail,542050700
Gas Rock 1446000 Road Trail,541446000
2050705 Road Trail,542050705
Frenchy Ridge Snowmobile Trail,SNO-21608
Thoms Lake Trail,22575
3018114 Road Trail,543018114
Long Lake Trail,52719
Black Mountain Trail,52760
Salvage Trail,52791
Betton Island Trail,52784
Flicker Creek Trail,542087100
Titan Trail,55755
Shelokum Lake Trail,52701
Salmon Creek Headwaters Trail,542079010
White Alice Trail,2143251
Uproot Trail,226277
Naha Tram Loop Trail,52725A
Petersburg Lake Trail,21534
Buster Ridge 300 Level 2084100 Trail,542084010
2100110 Road Trail,512100110
Lava Spur Two 3075600 Rd Trail,543075600
Ward Creek - Spur Vd#2 Trail,52792D
Pipeline Trail,52794
Punchbowl Lake Trail,55729
Kagur Cove 2051040 Rd Trail,542051040
Pole Anchorage 1505100 Road Trail,541505100
Mill Creek Trail,22515
Perseverance Trail,52726
2030952 Road Trail,542030952
2100130 Road Trail,512100130
Margaret Trail,52797
2030128 Road Trail,542030128
3030421 Road Trail,543030421
Sweetwater Lake Trail,54793
Sarkar Hill Spur One 2000661 Trail,542000661
Hugh Smith Lake Trail,55709
Staney 2054155 Road Trail,542054155
Checats Lake Trail,55704
2720000 Rd Cavern Lake Trail,542720000
Petersburg Mountain Trail,21585
Naha Shelter Loop Trail,52725B
Claptrap Trail,216226
Eagles Nest Interpretive Trail,54796
Harvey Lake Trail,21488
2030 954 Road Trail,542030954
Lower Tawah Trail,35663
Shipley Bay Trail,54795
2122700 Road Trail,512122700
Sunnahae Mountain Trail,51776
Affleck Canal Portage Trail,21618
3030423 Road Trail,543030423
Ward Creek - Fish Deck Trail,52792E
Black Mountain Hidden Lake Spur Trail,52760A
2050390 Road Trail,542050390
Loon Lake 120 Trail,542060120
1086200 Road Trail,511086200
Craig Point Atv Trail,2252025
Woods Creek 2050330 Road Trail,542050330
Mckenzie 2156000 Road Trail,512156000
Bottom Of The Hill 3018500 Rd Trail,543018500
Rd 2730000 Sink Hole Trail,542730000
Orchard Lake Spur Trail,52732A
Silvis Lake Trail,52722
Beaver Falls Trail,54776
Spruce Dome Hill North Trail,542079310A
Beaver Falls Spur A Trail,54776A
2000930 Rd Function Jct Trail,542000930
Mcdonald Lake Shelter Spur Trail,52745A
Hugh Smith Cabin Spur Trail,55709A
Camp Point 1500100 Rd Trail,541500100
R10 Beaver East Trail,543012100
Flicker Ridge Trail,542087000
Dog Salmon Trail,51745
"Lower Situk, Spur D Trail",35724-D
Bakewell Lake Trail,55702
8000500 Road Margaret Trail,528000500
Cascade Creek Trail,21458
Burkes Knob Hill Trail,542054120
20008789 Road Trail,542000789
Big Lake Fish Pass Trail,54792
2050031 Road Trail,542050031
Elf Point Ltf Road Trail,528400140
2057220 Road Trail,542057220
Three Kings Spur A 1525225 Trail,541525225
Halibut Harbor 400 1505400 Trail,541505400
2057240 Road Trail,542057240
3030630 Road Trail,543030630
Portage Mountain Loop Trail,21535
3000272 Road Trail,543000272
Salmon Bay Lake Trail,54773
Nooya Lake Trail,55724
Lower Situk River Trail,35724
Red Bay Lake Trail,54772
Kah Sheets Lake Spur Trail,21503A
Finger Lake Saddle Rd Margaret Trail,528040310
Berg Creek Trail,22528
Castle River Trail,21459
Crane Lake Trail,21602
2100111 Road Trail,512100111
Ideal Cove Trail,21508
Goose Lake Trail,21462
West Beaver Creek 2100330 Road Trail,512100330
Ward Creek - Spur Vd#1 Trail,52792C
Traitors Cove Entrance 804030 Trail,528040300
Twin Mountain Northwest Slope Trail,542050750
Dog Leg 1520020 Road Trail,541520020
