route,memorial_status
I-76,
US-160,
5TH ST,
US-287,Possible Memorial Designation
1ST STREET,
I-70 BUS RT AND US-50,
E ARAPAHOE RD,
CO-91,
US-285,
HIGHWAY 6 AND 24,
N MAIN ST,
E 18TH ST,
MAIN STREET,
28TH ST,
CO-14,
I-225,
US-50,Possible Memorial Designation
E 124TH AVE,
CO-115,
I-25,Possible Memorial Designation
BROAD ST,
CO-133,
W 120TH AVE,
US-550,
GLASGOW AVE,
US-40,Possible Memorial Designation
CO-149,
I-70 AND US-287,
I-70,Possible Memorial Designation
EDISON ST,
CO-82,
CO-96,
E PLATTE AVE,
CO-194,
CO-131,
CO-12,
E BELLEVIEW AVE,
N OVERO BLVD,
CR-2,
W MAIN ST,
MAIN AVE,
113A,
HIGHWAY 72,
COAL CREEK CANYON RD,
CO-142,
CO-318,
MAIN ST,
CO-63,
CO-45,
CO-7,
CO-145,
GRAND AVE,
CO-92,
CO-64,
US-50-BR,
CO-69,
BIG THOMPSON CANYON RD,
CO-71,
VALLEY HIGHWAY,
CO-109,
US-385,Possible Memorial Designation
ADAMS AVE,
S PARKER RD,
KIPLING ST,
US-138,
FEDERAL BLVD,
DENVER AVE,
LINCOLN AVE,
S BROADWAY ST,
CO-66,
CO-62,
S HAVANA ST,
069A,
CONSTITUTION AVE,
MESA RIDGE PKY AND LA MANGA PASS,
CO-13,
US-36,Possible Memorial Designation
CO-330,
CO-65,
US-85,
CO-141,
CO-9,
FOOTHILLS PKY,
E-470,
CO-184,
CO-167,
E 74TH AVE,
CO-392,
SIMMS ST,
GUNBARREL RD,
SAN JUAN AVE,
CO-325,
CO-144,
CO-83,
CO-52,
32 RD,
S SANTA FE DR,
N CLEVELAND AVE,
E BRIDGE ST,
E EISENHOWER BLVD,
C-470,
US-6,Possible Memorial Designation
CO-165,
CO-135,
CO-21,
096A,
I-76 AND COROUTE FOR 039A,
THATCHER AVE,
CO-119,
E FOUNTAIN BLVD,
US-24,Possible Memorial Designation
034A,
VICTOR AVE,
017B,
CO-139,
US-34,Possible Memorial Designation
WADSWORTH BLVD,
S WADSWORTH BLVD,
CO-239,
CR-55,
CO-67,
I-25 HOV LN,
CO-94,
CO-8,
N ST VRAIN AVE,
N ST VRAIN DR,
S GUNBARREL RD,
W HAMPDEN AVE,
E 46TH AVE,
I-76 AND COROUTE FOR 034A,
W COLFAX AVE,
S US-85-87,
E 1ST ST,
CO-207,
US-350,
N RAILWAYST,
2ND AVE,
CO-103,
GUNNISON AVE,
N SUMMIT BLVD,
4TH ST,
CO-59 AND CR-20,
N SANTA FE AVE,
EVERGREEN PKY,
N DANIELS PARK RD,
CO-10,
CO-59,
MAIN ST AND BERTHOUD PASS,
GOLDEN GATE CANYON RD,
US-491,
CO-347,
CO-134,
CO-72,
MOUNTAIN AVE,
LANE 9 N,
CO-120,
E COLFAX AVE,
SPRUCE ST,
FOUNTAIN AVE,
S GRAND MESA DR,
TRAIL RIDGE RD,
CENTRAL AVE,
S US-50-BR,
CO-113,
CARIBOU ST,
W HIGHWAY 24,
SPRING CREEK RD,
012A,
024C,
S TOWNSEND AVE,
CO-39,
S MAIN ST,
E MAIN ST,
023A,
S COLLEGE AVE,
W DENVER ST,
014C,
GREENHORN HWY,
2ND ST,
CO-125,
CO-61,
COLORADO BLVD,
CO-86,
CCO-13,
NORTHWEST PKY,
CO-151,
E CRANSTON AVE,
CR-14,
010A,
CO-14 AND CAMERON PASS,
CO-105,
E 6TH AVE,
CO-389,
14TH ST SE,
US-85-BR,
CO-114,
I-70 AND US-24,
S CAMINO DEL RIO,
CO-17,
CO-112,
BIG THOMPSON AVE,
E COLORADO ST,
COUNTY ROAD 6.75,
10TH MOUNTAIN DIVISION MEMORIAL HWY,
034B,
036D,
N PUEBLO BLVD,
CO-368,
CO-93,
6TH STREET,
6TH ST,
US-50 AND SANTA FE TRAIL,
BROADWAY ST,
AMBASSADOR THOMPSON BLVD,
S 6TH ST,
E VICTORY WAY,
CO-89,
BOULDER CANYON DR,
N BROADWAY,
