OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,XSP,LSTN_LEG_NAME,LSTN_START_DESCR,LSTN_END_DESCR,LSTN_YEAR,LSTN_ACT,LSTN_SECTION,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,Shape__Length
4466,15-N,62.3,66.77,CONT,WILBUR CROSS HIGHWAY,BGN OP HOUSATONIC RV & RR,SB-JCT SB US 5(NORTH BROAD ST),1937,S.A. 394,,079,MERIDEN,2024,a3ca64ad-9af2-4842-881f-86d062162787,23589.5437024771
4467,15-S,12.03,15.44,CONT,MERRITT PARKWAY,NEW YORK SL,BGN OP HOUSATONIC RV & RR,1933,S.A. 379,,089,NEW CANAAN,2024,054ea6e5-ec44-4439-8c35-72c16217be6d,18030.6904294096
4468,1-S,67.92,68.05,CONT,BLUE STAR HIGHWAY,WEST HAVEN - NEW HAVEN TL,RHODE ISLAND SL,1949,S.A. 209,,075,MADISON,2024,63717984-47ac-41eb-8f82-f5652c463070,718.25311796173
4469,1-S,92.62,93.11,CONT,BLUE STAR HIGHWAY,WEST HAVEN - NEW HAVEN TL,RHODE ISLAND SL,1949,S.A. 209,,044,EAST LYME,2024,dfab3832-a1c5-4932-ac0b-0e783bcbf56c,2712.96081409286
4470,1-S,102.95,103.31,CONT,BLUE STAR HIGHWAY,WEST HAVEN - NEW HAVEN TL,RHODE ISLAND SL,1949,S.A. 209,,058,GROTON,2024,7307a101-7fa0-488e-80a4-0706928af15b,2061.51288658246
4471,1-S,106.42,106.52,CONT,BLUE STAR HIGHWAY,WEST HAVEN - NEW HAVEN TL,RHODE ISLAND SL,1949,S.A. 209,,058,GROTON,2024,92b86370-5ebd-49cf-bbdb-92090956c1f0,511.835169047556
4472,1-S,109.36,109.44,CONT,BLUE STAR HIGHWAY,WEST HAVEN - NEW HAVEN TL,RHODE ISLAND SL,1949,S.A. 209,,137,STONINGTON,2024,361b8735-2b3c-4d0e-b059-6eac5fa41f32,433.502801474766
4473,115-N,0,0.85,CONT,VETERANS MEMORIAL HIGHWAY,RTE 34(MAIN ST),RTE 67(NORTH MAIN ST),2003,P.A. 115,9,036,DERBY,2024,b7099346-44c6-42db-8c4c-5f51e6782ecc,4538.76645615573
4474,116-N,2.25,4.25,CONT,ELIZABETH M LEONARD MEMORIAL HIGHWAY,BARLOW MOUNTAIN RD,NEW YORK SL,2007,P.A. 232,28,117,RIDGEFIELD,2024,52a4f69c-7c81-4657-b186-e71ea9fb23d8,10497.7168568618
4475,117-S,0.86,1.16,CONT,"""JOSEPH """"JO JO NICE"""" GINGERELLA MEMORIAL HIGHWAY""",US 1(FORT HILL RD),ACC TO SB I-95(266A),2019,P.A. 161,30,058,GROTON,2024,663658ca-75d1-476d-9a12-1e97a17aaf80,1620.82240091232
4476,12-N,0,2.66,CONT,UNITED STATES SUBMARINE VETERANS MEMORIAL HIGHWAY,SR 900(BONNIE CIR)(ONE-WAY SB),S JCT RTE 2A(EB),2002,P.A. 123,16,058,GROTON,2024,ba031fad-115d-4f55-8318-103789899f4c,14160.7382784752
4477,12-N,12.12,12.43,CONT,VETERANS OF FOREIGN WARS MEMORIAL HIGHWAY,COLUMBUS BLVD,US 1(WEST BROAD ST),1969,S.A. 262,,103,NORWICH,2024,0adaeece-08c9-4a86-b1f7-20ae645cb9e8,1660.38977448983
4478,12-N,42.67,46.95,CONT,MOHEGAN TRAIL,N JCT RTE 2(EAST MAIN ST),MASSACHUSETTS SL,1917,,,115,PUTNAM,2024,1f2e23e1-5c09-4afa-b8d4-5c111650b2fd,22616.801682562
4479,12-S,36.1,36.15,CONT,MOHEGAN TRAIL,N JCT RTE 2(EAST MAIN ST),MASSACHUSETTS SL,1917,,,068,KILLINGLY,2024,7623cc5b-f378-4620-8325-096ffd9351e1,273.352267933826
4480,123-N,1,1.34,CONT,PRIVATE RICHARD H. IRELAND MEMORIAL HIGHWAY,PONUS AVE/SR 809(RIVERSIDE AVE),BARTLETT AVE #2(SB),2021,P.A. 175,47,102,NORWALK,2024,a302a5b2-e1fe-43d3-a517-a59bc0e5ec92,1816.93860314178
4481,130-W,1.86,1.96,CONT,ALVIN W. PENN MEMORIAL HIGHWAY,FAIRFIELD - BRIDGEPORT TL,BRIDGEPORT - STRATFORD TL,2003,P.A. 115,21,015,BRIDGEPORT,2024,796f35e8-cf45-42cb-8029-2be9787244f7,517.874642195841
4482,138-E,5.78,5.93,CONT,MOHEGAN TRAIL,N JCT RTE 2(EAST MAIN ST),MASSACHUSETTS SL,1917,,,072,LISBON,2024,202c0b02-d01d-495e-88ec-27cfe450124e,785.986917819436
