State,Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Connecticut,82Nd Airborne,,,,,,
Connecticut,94Th Infantry Divison,,,,,,
Connecticut,A Peter Lomaglio,,,,,,
Connecticut,Aaron Dwight Stevens,abolitionist,male,,1831-03-15,1860-03-16,https://en.wikipedia.org/wiki/Aaron_Dwight_Stevens
Connecticut,Agent Orange,club DJ,male,,1972-01-01,,https://en.wikipedia.org/wiki/Cari_Lekebusch
Connecticut,All Airborne,,,,,,
Connecticut,Alvin W Penn,,,,,,
Connecticut,American Exprisoner War,,,,,,
Connecticut,American Legion Murrayreynolds Post 76,,,,,,
Connecticut,Amvets Post 1,,,,,,
Connecticut,Amvets Post No 9,,,,,,
Connecticut,Andrew Pedersenkeel,,,,,,
Connecticut,Anthony Fornabi,,,,,,
Connecticut,Antranig Ozanian,,,,,,
Connecticut,Avon Volunteer Fire Department,,,,,,
Connecticut,B Scott Santa Maria,,,,,,
Connecticut,Beverly D Tulli,,,,,,
Connecticut,Bohdan Bo Kolinsky,,,,,,
Connecticut,Branford Fire Department,,,,,,
Connecticut,Brian A Aselton,,,,,,
Connecticut,Bruce Hanley,,,,,,
Connecticut,Carl P Moller,,,,,,
Connecticut,Cary Prague,,,,,,
Connecticut,Charles E Rau,,,,,,
Connecticut,Charles F Hill,,,,,,
Connecticut,Charles W Wimler,,,,,,
Connecticut,Chester Bowles,politician,male,,1901-04-05,1986-05-25,https://en.wikipedia.org/wiki/Chester_B._Bowles
Connecticut,Christopher Columbus,explorer,male,,1451-00-00,1506-05-20,https://en.wikipedia.org/wiki/Christopher_Columbus
Connecticut,Ciara Mcdermott,,,,,,
Connecticut,Clarence B Sharp,,,,,,
Connecticut,Colchester Hayward Volunteer Fire Company,,,,,,
Connecticut,Connecticut Air National Guard,,,,,,
Connecticut,Conservation James V Spignesi,,,,,,
Connecticut,Constable Thomas D Jahelka,,,,,,
Connecticut,Corporal Stephen R Bixler,,,,,,
Connecticut,Ct Department Transportation Employees,,,,,,
Connecticut,Daniel R Dinardi,,,,,,
Connecticut,Danny Logue,,,,,,
Connecticut,David Lavine,,,,,,
Connecticut,Donna Askintowicz Witherell,,,,,,
Connecticut,Dr Martin Luther King Jr,,,,,,
Connecticut,Dudley Williams,physicist,male,,1912-04-12,2004-12-02,https://en.wikipedia.org/wiki/Dudley_Williams_(physicist)
