GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS
12001,"Alachua County, Florida",32.2,59659,266800,1.6,2.8,5.4,2.3,87.8,58.3,19.0,1.0,47.7,94.2,4.3,19.7,12,001
12003,"Baker County, Florida",38.1,70833,225000,0.7,1.0,1.3,0.7,96.3,77.7,11.5,3.4,15.3,85.2,4.3,13.1,12,003
12005,"Bay County, Florida",41.4,70188,276900,2.5,2.2,3.3,0.4,91.6,73.7,9.8,1.8,28.0,90.8,3.6,11.7,12,005
12007,"Bradford County, Florida",40.5,59740,180300,0.6,2.9,1.0,0.4,95.1,72.6,17.3,1.8,15.0,82.7,6.6,19.1,12,007
12009,"Brevard County, Florida",46.8,75817,304400,1.8,4.3,4.1,1.6,88.3,71.3,9.2,1.2,33.5,93.1,4.8,9.9,12,009
12011,"Broward County, Florida",41.3,74534,380400,2.0,4.6,19.1,6.2,68.1,31.9,27.6,1.3,35.8,90.3,5.6,12.2,12,011
12013,"Calhoun County, Florida",41.8,46901,134000,0.5,2.2,1.2,1.0,95.0,76.0,11.6,2.3,13.1,81.8,4.1,21.2,12,013
12015,"Charlotte County, Florida",60.0,66154,291000,1.2,2.1,2.9,1.6,92.2,82.4,5.1,1.0,25.3,92.2,5.6,9.6,12,015
12017,"Citrus County, Florida",56.9,55355,223200,1.1,2.5,2.2,0.8,93.5,85.7,2.1,1.4,20.4,90.9,6.8,15.5,12,017
12019,"Clay County, Florida",40.2,86094,281500,2.0,4.0,3.7,1.4,89.0,69.1,11.1,1.4,28.7,93.3,3.8,9.1,12,019
12021,"Collier County, Florida",53.1,86173,486800,9.9,1.9,9.3,6.3,72.5,62.4,6.4,1.8,39.5,90.0,4.0,10.5,12,021
