State,Island,Source_URL,Raw,Route,Road_or_Description,Parenthetical
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Interstate Route H-1 (Lunalilo Freeway and Queen Liliuokalani Freeway),H-1,Interstate Route H-1,Lunalilo Freeway and Queen Liliuokalani Freeway
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Interstate Route H-2 (Veterans Memorial Freeway),H-2,Interstate Route H-2,Veterans Memorial Freeway
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Interstate Route H-3 (John A. Burns Freeway),H-3,Interstate Route H-3,John A. Burns Freeway
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Interstate Route H-201 (Moanalua Freeway),H-201,Interstate Route H-201,Moanalua Freeway
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Ala Ike Street (Leeward Community College),,Ala Ike Street,Leeward Community College
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Ala Moana Boulevard from Richards Street to 135 Feet Makai of Kalakaua Avenue (Route 92),92,Ala Moana Boulevard from Richards Street to 135 Feet Makai of Kalakaua Avenue,Route 92
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Fort Barrette Road from Barbers Point Naval Reservation Boundary to Makakilo Drive Overpass (Route 901),901,Fort Barrette Road from Barbers Point Naval Reservation Boundary to Makakilo Drive Overpass,Route 901
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Bingham Street from Punahou Street to 360 Feet East of Isenberg Street,,Bingham Street from Punahou Street to 360 Feet East of Isenberg Street,
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Bougainville Drive from Radford Drive to Salt Lake Boulevard (Route 7350),7350,Bougainville Drive from Radford Drive to Salt Lake Boulevard,Route 7350
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Coral Sea Road (Route 8955),8955,Coral Sea Road,Route 8955
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Enterprise Avenue (Route 8945),8945,Enterprise Avenue,Route 8945
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,"Farrington Highway from Fort Weaver Road (Old) to Kamehameha Highway, Inbound Off-Ramp (Waiawa Interchange) (Routes 99, 7110 & 7101)",,"Farrington Highway from Fort Weaver Road (Old) to Kamehameha Highway, Inbound Off-Ramp (Waiawa Interchange)","Routes 99, 7110 & 7101"
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,"Farrington Highway at Kamokila Boulevard, 500 Feet on both sides of the intersection (Route 93)",93,"Farrington Highway at Kamokila Boulevard, 500 Feet on both sides of the intersection",Route 93
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Farrington Highway from H-1 Palailai Interchange to the Kaena Point State Park Boundary (Route 93),93,Farrington Highway from H-1 Palailai Interchange to the Kaena Point State Park Boundary,Route 93
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Farrington Highway from the Kaena Point State Park Boundary to Kaukonahua Road at Thompson Corner (Route 930),930,Farrington Highway from the Kaena Point State Park Boundary to Kaukonahua Road at Thompson Corner,Route 930
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Farrington Highway (Old) from H-1 Palailai Interchange to Kaena Point State Park Gate (Route 93),93,Farrington Highway (Old) from H-1 Palailai Interchange to Kaena Point State Park Gate,Route 93
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Fort Weaver Road from the Navy Reservation Gate to Farrington Highway (Route 76),76,Fort Weaver Road from the Navy Reservation Gate to Farrington Highway,Route 76
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Franklin D. Roosevelt Avenue (Route 8940),8940,Franklin D. Roosevelt Avenue,Route 8940
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Funchal Street from Pauoa Road to Pali Highway,,Funchal Street from Pauoa Road to Pali Highway,
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Halawa Heights Road from Kahuapaani Street to Gate No. 3 at Camp H. M. Smith (Route 7241),7241,Halawa Heights Road from Kahuapaani Street to Gate No. 3 at Camp H. M. Smith,Route 7241
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Halawa Valley Road from Ulune Street to Iwaiwa Street (Route 7239),7239,Halawa Valley Road from Ulune Street to Iwaiwa Street,Route 7239
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Halona Street (Route 98),98,Halona Street,Route 98
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Iroquois Road from Fort Weaver Road to Boundary of Naval Reservation Boundary (Route 7141),7141,Iroquois Road from Fort Weaver Road to Boundary of Naval Reservation Boundary,Route 7141
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Jarrett White Road from Puuloa Road to Tripler Hospital Boundary (Route 7345),7345,Jarrett White Road from Puuloa Road to Tripler Hospital Boundary,Route 7345
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Joseph P. Leong Highway (Route 83),83,Joseph P. Leong Highway,Route 83
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kahekili Highway from Kamehameha Highway to Likelike Highway (Route 83),83,Kahekili Highway from Kamehameha Highway to Likelike Highway,Route 83
