Number,Highway_Designation,Year Added
5-Jan,Blue Star Memorial Route,1948
6,Stumpf Boulevard,1956
12-Jul,Blue Star Memorial Route,1965
13,Horace Wilkinson Bridge,1968
14-15,Nolan's Trace,1975
16,Oscar Rivette Road,1979
17,Martin Luther King Jr. Boulevard,1982
18,Sam Houston Jones Parkway,1987
19-20,Tunica Trace,1988
21,Martin Luther King Jr. Highway,1988
22,Ronnie Hebert Boulevard,1988
23,LA Airborne Memorial Bridge,1989
24,John Leblanc Boulevard,1990
25,James Baker Drive,1990
26,University Parkway,1990
27,Martin Luther King Jr. Memorial Expressway,1991
28,West Florida Republic Parkway,1993
29,Vietnam Veterans Memorial Highway,1993
30,Beglis Parkway,1993
31,LA Korean War Veterans Memorial Highway,1995
32,Veterans Memorial Highway,1997
33,University Avenue,1997
34,Isle of Capri Boulevard,1997
35,Airline Drive,1997
36,Joseph D. Waggonner Jr. Highway,1997
37,Asbury Drive,1997
39,University Avenue,1997
40,St. Bernard Vet. Memorial Highway,1997
41,Toni Morrison Interchange,1997
42,Johnny B. Memorial Highway,1997
43,A.J. Davis Highway Captain USAF,1997
44,Chess Richardson Bridge,1998
45,Piney Hills Throughway,1998
46,Zach Road,1998
47,Sam Siracusa Overpass,1998
48,Veterans Memorial Highway,1999
49,Richard S. Thompson Bridge,1999
50,Blue Star Memorial Highway,2000
51,E.J. Lionel Grizzaffi Bridge,2000
52,Doug Fournet Memorial Parkway,2001
53,Crescent City Connection,2001
54,A.C. Schiro Memorial Highway,2001
55,Larose Link,2001
56,Cote Blanche Connection,2001
57,Tarpon Pass,2001
58,Blue Star Memorial Highway,2001
59,Veterans Highway,2001
60,Big John Overpass,2002
61,Simon S. Thomas Memorial Highway,2003
62,Congressman Jimmy Morrison Highway,2003
63,Clayton Iles Memorial Highway,2003
64,Horace Lynn Jones Memorial Highway,2003
65,C.E. Buddy Slaydon Memorial Drive,2003
66,Frank Hennigan Memorial Drive,2003
67,C.E. Buddy Slaydon Memorial Drive,2003
68,Ronald Reagan Highway,2003
69,Purple Heart Highway,2003
70,"R.H. ""Bill"" Strain Memorial Highway",2003
71,Ronald Reagan Highway,2004
72,Charles I. Hudson Highway,2004
73-74,Blue Star Memorial Highway,2004
75,Stephen E. Ambrose Memorial Parkway,2004
76,Veterans Memorial Highway 90,2004
77,Korean War Veterans Memorial Highway,2004
78,Dr. George B. Mowad Memorial Highway,2005
79,Korean War Veterans Memorial Highway,2005
80,Buddy Henagan Memorial Highway,2005
81,Veterans Memorial Highway,2006
82,Veterans Memorial Expressway,2006
83,Veterans Memorial Expressway,2006
84,Blue Star Memorial Highway,2006
86,Tomey J. Doucet Bridge,2006
87,Powell Barnes and Deal Memorial Highway,2007
88,Warren P. Martinez Memorial Overpass,2007
89,Purple Heart Recipients Highway,2007
90,Reverend A.L. O'Brien Memorial Highway,2007
91,Veterans Memorial Highway,2007
92,Vermilion Parkway,2007
93,Staff Sergeant William 'Bill' F. Manuel Memorial Highway,2007
94,Clarence 'Gatemouth' Brown Memorial Highway,2007
95,Veterans Memorial Highway 3235,2007
96,El Camino East/West Corridor,2007
97,Military Order of Purple Heart Memorial Interchange Chapter 177,2007
98,"Charles I. ""Doc"" Hudson Highway",2007
99,Doris Coleman Guillory Bridge,2007
100,Staff Sgt Timothy B. Cole Jr. Memorial Highway,2008
101,Leon Road,2008
102,Rodney Guilbeaux Memorial Highway,2008
103,Wilson Anthony 'Boozoo' Chavis Memorial Highway,2008
104,"B.B. ""Sixty"" Rayburn Memorial Highway",2008
105,Cecil B. Tramel Memorial Highway,2009
106,Conway LeBleu Memorial Bridge,2009
107,Blue Star Memorial Highway,2010
108,Senior Trooper Duane Dalton Memorial Highway,2010
109,Powell Barnes and Deal Memorial Highway,2010
110,George T. Gros Memorial Overpass,2010
111,"Elias ""Bo"" Ackal Bridge",2010
112,Joe Daigre Memorial Bridge,2011
113,"Staff Sergeant Robert ""Pete"" Sweat Memorial Highway",2011
114,Seven Oaks Boulevard,2011
115,Corporal J.R. Searcy Memorial Highway,2011
116,Trooper Rudolph H. Miller Memorial Highway,2011
117,Louisiana Maneuvers and Purple Heart Memorial Highway,2011
118,Griffin Pat Miller Memorial Highway,2011
119,"Staff Sergeant William Francis ""Bill"" Manuel Memorial Overpass",2011
120,John James Audubon Bridge,2011
121,General Robert H. Barrow Memorial Approach,2011
122,General John A. Lejeune Memorial Approach,2011
123,B.R. Harvey Memorial Highway,2012
124,Hadley J. Castille-Pecanaire Highway,2013
125,Sergeant Joshua Tomlinson Interchange,2013
126,James Peyton Smith Bridge,2013
127,Donald C. Cleveland Memorial Highway,2013
128,Thomas M. Alexander Memorial Highway,2013
129,West Carroll Veterans Memorial Highway,2013
130,Nickie Gene Voinche Memorial Bridge,2013
131,1st Lt. Doug Fournet Memorial Parkway,2013
132,Creole Nature Trail All-American Road Route,2014
133,Martin Luther King Jr. Drive,2014
134,Johnny Wyatt Memorial Highway,2014
135,George Rodrigue Memorial Overpass,2014
136,South Tyler Street,2014
137,Hadley J. Castille-Pacaniére Highway,2014
138,Tammany Parkway,2014
139,Martin Luther King Jr. Boulevard,2014
140,Curtis-Coleman Memorial Bridge,2014
141,"Frank Davis ""Naturally N'Awlins"" Memorial Bridge",2014
142,Veterans Memorial Lane,2015
143,Davina Chapman Memorial Highway,2015
144,Veterans Parkway,2015
145,"Albert ""Pyook"" Berard Highway",2015
146,Corporal Matthew Thomas Richard Memorial Highway,2015
147,Alvin Green Memorial Bridge,2015
148,State Representative Pinkie Wilkerson Memorial Interchange,2015
149,James 'Terry' Watson Memorial Highway,2015
